timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.78,20,262144,64,55439,3652942016,64,54,122,2,603,787755,36,5,11834,69,129,128769750,1208,1,68,8606,49560,4,765,603,34354,221205296,13517176,545551,1123374093,567,697,36,2,1,4,4,413,1,1118789644,1071321976,27752397,82669546,82685930,2,1,3637460024,73389,73389,4,4,4,82669546,11,3,419417,1940075,2735868,15192,8538,1118789644,772563,10780728,6282
10025.75,20,262144,64,86604,5706520440,64,54,127,2,603,1119754,36,5,20661,69,129,129566106,1208,1,68,13184,58847,4,765,603,52674,263266600,21541686,1158171,1725902383,567,697,36,2,1,4,4,413,1,1718837260,1671604121,73526593,129346996,129363380,2,1,5691267824,73389,73389,4,4,4,129346996,11,3,440304,2869324,2985964,23295,13116,1718837260,1096459,18555252,6282
15039.79,20,262144,64,96871,6382829428,64,54,129,2,603,1283837,36,5,23570,69,129,129831558,1208,1,68,14693,112166,4,765,603,58710,266114152,26764873,7120270,1924547965,567,697,36,2,1,4,4,413,1,1916624908,1869408011,148770902,144719889,144719889,2,1,6367675116,73389,73389,4,4,4,144719889,11,3,469055,5112856,3271258,28988,14625,1916624908,1254849,23493534,6282
20057.76,20,262144,64,103693,6832570540,64,54,130,2,603,1399123,36,5,25469,69,129,130097010,1208,1,68,15694,204019,4,765,603,62714,268015272,29273775,11958018,2056350168,567,697,36,2,1,4,4,413,1,2047827980,2000810121,184965403,154930107,154946491,2,1,6816924708,73389,73389,4,4,4,154930107,11,3,477662,7785889,3394997,33040,15626,2047827980,1366083,25878387,6282
25067.26,20,262144,64,110403,7274440716,64,54,131,2,603,1503850,36,5,27370,69,129,130097010,1208,1,68,16679,301234,4,765,603,66662,286839712,32376832,19002468,2186176755,567,697,36,2,1,4,4,413,1,2177064972,2129921508,216759441,164980803,164997187,2,1,7259155332,73389,73389,4,4,4,164980803,11,3,498540,10520280,3574439,36781,16612,2177064972,1467069,28801741,6282
30073.57,20,262144,64,123121,8112440248,64,54,133,2,603,1698861,36,5,30950,69,129,130362462,1208,1,68,18549,358426,4,765,603,74138,290379232,39343684,26884435,2432187703,567,697,36,2,1,4,4,413,1,2422038540,2374986445,290387347,184031460,184031460,2,1,8096663344,73389,73389,4,4,4,184015076,11,3,527612,12754032,3885392,50301,18481,2422038540,1648560,35458315,6282
35098.56,20,262144,64,149860,9874375690,64,54,138,2,603,2033059,36,5,38510,69,129,131158818,1208,1,68,22478,367986,4,765,603,89854,297467808,49680556,28931215,2949230643,567,697,36,2,1,4,4,413,1,2937020428,2890101054,351910674,224069960,224069960,2,1,9859078240,73389,73389,4,4,4,224069960,11,3,558620,13732064,4165532,56737,22410,2937020428,1976322,45516352,6282
40128.05,20,262144,64,162205,10687930294,64,54,140,2,603,2227749,36,5,41993,69,129,131424270,1208,1,68,24290,439037,4,765,603,97110,334831744,56039584,35748422,3187743630,567,697,36,2,1,4,4,413,1,3174522892,3127859668,410047300,242563561,242563561,2,1,10672075788,73389,73389,4,4,4,242547177,11,3,580375,16023073,4466284,62775,24222,3174522892,2164974,51573485,6282
45144.74,20,262144,64,175431,11559222114,64,54,142,2,603,2427527,36,5,45709,69,129,131689722,1208,1,68,26231,466861,4,765,603,104874,338509504,61337913,41788352,3443230242,567,697,36,2,1,4,4,413,1,3428933644,3382487665,443325022,262367882,262367882,2,1,11543465912,73389,73389,4,4,4,262351498,11,3,597811,18260442,4737074,69131,26163,3428933644,2358396,56602128,6282
50151.23,20,262144,64,207842,13694585670,64,54,148,2,603,2769360,36,5,54824,69,129,132751530,1208,1,68,30993,469933,4,765,603,123934,415088304,72607268,44127628,4069266049,567,697,36,2,1,4,4,413,1,4052375070,4006701683,494731998,310884214,310906631,2,1,13678905416,73389,73389,4,4,4,310884214,11,3,625717,19007344,5009209,76282,30925,4052375070,2693078,67599547,6282
