timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5021.54,43,262144,64,39694,2615237752,59,42,119,0,603,543754,19,7428,64,3,128250912,1208,1,63,6287,452945,4,330386,603,25054,80457416,10466240,10808569,818936748,603,1559,2,1,4,4,858,1,1,815489036,767916554,40406733,59083124,59099508,2,1,2599657456,73389,73389,4,4,4,59083124,20,3,359857,7884727,1856577,23534,6224,815489036,520220,8611105,10182
10030.13,43,262144,64,46880,3088833968,59,42,121,0,603,630474,19,9498,64,3,128516364,1208,1,63,7343,508618,4,330386,603,29278,82459592,12901345,16067346,957968536,603,1559,2,1,4,4,858,1,1,953901068,906424283,60305125,69850398,69866782,2,1,3073417512,73389,73389,4,4,4,69850398,20,3,369169,10662391,1974830,26747,7280,953901068,603727,10927523,10182
15249.06,43,262144,64,54406,3584724490,59,42,122,0,603,720636,19,11572,64,3,128769750,1208,1,63,8449,588515,4,330386,603,33706,84558920,15410818,21986714,1103716224,603,1559,2,1,4,4,858,1,1,1098997772,1051388135,94584819,81117384,81133768,2,1,3569164896,73389,73389,4,4,4,81117384,20,3,378085,13568883,2093615,30169,8387,1098997772,690467,13319323,10182
20279.64,43,262144,64,60376,3978351412,59,42,123,0,603,794716,19,13291,64,3,129035202,1208,1,63,9327,688543,4,330386,603,37214,86212296,17992952,29445370,1219205539,603,1559,2,1,4,4,858,1,1,1213947916,1166496551,147526781,90076385,90076385,2,1,3963360940,73389,73389,4,4,4,90076385,20,3,390180,16592035,2210330,33212,9264,1213947916,761504,15784407,10182
25404.17,43,262144,64,66356,4372114856,59,42,124,0,603,869309,19,14977,64,3,129035202,1208,1,63,10205,828049,4,330386,603,40726,87874184,21479032,37609869,1334822804,603,1559,2,1,4,4,858,1,1,1329029132,1281625621,229379865,99023320,99023320,2,1,4357026080,73389,73389,4,4,4,99023320,20,3,400658,19746509,2319891,36029,10142,1329029132,833280,19161261,10182
30486.54,43,262144,64,72281,4762804724,59,42,125,0,603,946232,19,16646,64,3,129300654,1208,1,63,11076,885219,4,330386,603,44210,89524872,24982015,48573080,1449512180,603,1559,2,1,4,4,858,1,1,1443192844,1395782735,289050593,107892209,107908593,2,1,4747257196,73389,73389,4,4,4,107892209,20,3,421112,22764477,2437778,39593,11013,1443192844,906639,22546905,10182
35505.36,43,262144,64,78620,5180361044,59,42,126,0,603,1015052,19,18413,64,3,129300654,1208,1,63,12006,1029409,4,330386,603,47930,91284360,28549351,55831749,1571975256,603,1559,2,1,4,4,858,1,1,1565089804,1517844288,348197486,117385849,117402233,2,1,5164977356,73389,73389,4,4,4,117385849,20,3,436212,25462313,2588136,42429,11944,1565089804,972623,25964497,10182
40524.30,43,262144,64,84957,5598051744,59,42,127,0,603,1091725,19,20213,64,3,129566106,1208,1,63,12937,1142159,4,330386,603,51654,93049480,30403603,62307052,1694564488,603,1559,2,1,4,4,858,1,1,1687117836,1639944975,382834467,126877330,126893714,2,1,5582602520,73389,73389,4,4,4,126877330,20,3,444215,28372577,2675057,45127,12875,1687117836,1046598,27732367,10182
45540.20,43,262144,64,92722,6109327852,59,42,128,0,603,1174066,19,22385,64,3,129566106,1208,1,63,14078,1291068,4,330386,603,56218,95210504,33747010,70735116,1844782485,603,1559,2,1,4,4,858,1,1,1836670988,1789413612,436281553,138506923,138506923,2,1,6093583716,73389,73389,4,4,4,138490539,20,3,456393,31370850,2798225,48131,14015,1836670988,1125935,30952453,10182
50565.32,43,262144,64,99846,6579126288,59,42,130,1,603,1254753,19,24440,64,3,130097010,1208,1,63,15126,1401897,4,330386,603,60410,97194504,37604525,78467782,1982765336,603,1559,2,1,4,4,858,1,1,1974034444,1926707923,503311331,149181926,149198310,2,1,6564004744,73389,73389,4,4,4,149181926,20,3,475742,34151418,2935534,53473,15063,1974034444,1201280,34672937,10182
