timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.56,0,0,0,0,0,0,116,0,0,0,6,0,0,5,0,0,2097278,2,1,4,4,0,4,19,0,32,16821216,0,0,1829,0,0,2,1,4,4,407,1,0,0,128,0,0,2,1,0,73389,73389,4,4,4,0,13,3,0,0,0,0,0,0,0,0,0
10025.90,0,0,0,0,0,0,116,0,0,0,6,0,0,5,0,0,2097278,2,1,4,4,0,4,19,0,32,16821216,0,0,1829,0,0,2,1,4,4,407,1,0,0,128,0,0,2,1,0,73389,73389,4,4,4,0,13,3,0,0,0,0,0,0,0,0,0
15035.77,0,0,0,0,0,0,116,0,0,0,6,0,0,5,0,0,2097278,2,1,4,4,0,4,19,0,32,16821216,0,0,1829,0,0,2,1,4,4,407,1,0,0,128,0,0,2,1,0,73389,73389,4,4,4,0,13,3,0,0,0,0,0,0,0,0,0
20044.20,0,0,0,0,0,0,116,0,0,0,6,0,0,5,0,0,2097278,2,1,4,4,0,4,19,0,32,16821216,0,0,1829,0,0,2,1,4,4,407,1,0,0,128,0,0,2,1,0,73389,73389,4,4,4,0,13,3,0,0,0,0,0,0,0,0,0
25053.24,0,0,0,0,0,0,116,0,0,0,6,0,0,5,0,0,2097278,2,1,4,4,0,4,19,0,32,16821216,0,0,1829,0,0,2,1,4,4,407,1,0,0,128,0,0,2,1,0,73389,73389,4,4,4,0,13,3,0,0,0,0,0,0,0,0,0
30062.51,12,0,0,12863,847272998,1,116,0,387,183236,6,1200,1,6,0,7577,82279602,776,1,5,2146,724,4,7609,387,8602,37435448,1283143,67,281405048,387,455,2,1,4,4,407,1,280363220,249849775,1808426,19036432,19052816,2,1,837603008,73389,73389,4,4,4,19036432,13,3,40180,334850,497013,3092,2141,280363220,180144,786127,1956
35069.17,36,262144,64,40255,2652534352,9,120,1,603,465902,6,7583,1,14,1,7577,128516364,1208,1,13,6319,1203,4,7736,603,25298,132089360,9680479,1881,829446038,603,1059,2,1,4,4,407,1,826236940,778807383,21549297,59930774,59947158,2,1,2636954056,73389,73389,4,4,4,59930774,13,3,88892,944533,974938,17029,6306,826236940,448873,8705375,3824
40074.12,36,262144,64,71162,4688939036,9,125,1,603,753255,6,16286,1,14,1,7577,129300654,1208,1,13,10859,1833,4,7736,603,43458,140225040,18999773,3215,1426934788,603,1059,2,1,4,4,407,1,1421303820,1374204699,41742415,106225359,106225359,2,1,4673915796,73389,73389,4,4,4,106225359,13,3,104707,1516957,1113414,22753,10846,1421303820,730502,17886570,3824
45079.04,36,262144,64,104436,6881529240,9,130,1,603,1064334,6,25637,1,14,1,7577,130097010,1208,1,13,15750,2296,4,7736,603,63026,165797096,28096280,3775,2070481769,603,1059,2,1,4,4,407,1,2062376972,2015072782,62244649,156050252,156066636,2,1,6866211088,73389,73389,4,4,4,156050252,13,3,121940,2131054,1282923,28272,15737,2062376972,1036062,26813082,3824
50086.52,36,262144,64,135295,8914788196,9,136,3,603,1390749,6,34331,1,14,1,7577,130627914,1208,1,13,20282,2605,4,7736,603,81162,208275248,37176838,4644,2667075164,603,1059,2,1,4,4,407,1,2656395276,2609558298,80475282,202262917,202262917,2,1,8899568348,73389,73389,4,4,4,202262917,13,3,133846,2745711,1452116,33934,20269,2656395276,1356815,35724852,3824
55093.53,36,262144,64,165789,10924138578,9,141,3,603,1693832,6,42971,1,14,1,7577,131689722,1208,1,13,24763,3029,4,7736,603,99090,233341776,46281759,5325,3256835008,603,1059,2,1,4,4,407,1,3243728908,3196853477,103093376,247934910,247934910,2,1,10908415144,73389,73389,4,4,4,247918526,13,3,152646,3335454,1626654,39573,24750,3243728908,1654259,44655562,3824
60101.46,36,262144,64,195321,12869641522,9,146,3,603,1993128,6,51299,1,14,1,7577,132486078,1208,1,13,29098,3422,4,7736,603,116430,241110096,55564623,5611,3826792309,603,1059,2,1,4,4,407,1,3811333662,3765549636,123561710,292150886,292150886,2,1,12854638984,73389,73389,4,4,4,292150886,13,3,169046,3923935,1790339,45845,29085,3811333662,1947283,53774828,3824
