timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.90,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10018.12,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15023.64,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20030.76,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25036.24,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30042.66,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
35050.23,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
40055.34,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
45061.88,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
50068.48,0,0,0,0,0,0,116,0,0,0,0,14,0,5,0,2097278,2,1,4,4,0,4,11,0,32,19199294,0,0,1709,0,0,0,2,1,4,4,392,1,0,0,85,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
