timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.58,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
10024.94,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
15032.68,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
20039.90,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
25046.62,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
30052.53,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
35058.55,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
40064.97,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
45073.25,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
50081.04,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
55087.34,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
60094.30,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
65101.07,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
70107.13,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
75113.41,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
80118.42,0,0,0,0,0,0,0,81,0,0,0,0,5,0,0,5,0,0,2097278,2,1,0,512,0,11,0,4,4,0,4,34,0,30,16840768,55,0,1822,0,0,0,3,1,4,4,1047,3,0,0,109,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,55,0,0,0,0,0,0
85134.04,69,262144,64,5278,348444934,3,0,102,1,576,125913,0,5,2070,3,8,0,463,99260596,1154,1,4,512,6388436,11,25489016,7,1291,7782,4,514,576,5472,1414069208,6338958,420511,144937417,576,1606,0,3,1,4,4,1047,3,144172072,112879769,7159294,6495368,6495368,3,1,337759168,73389,73389,4,4,4,6495372,10,3,21555,471474,299575,4826,1284,144172072,121087,6039306,5699
90148.96,119,262144,64,16666,1098533494,3,0,150,3,576,358392,0,5,6528,3,8,0,463,100515460,1154,1,4,512,20609929,11,82310680,7,3198,19609,4,514,576,13360,2637064096,20262915,1141493,382626692,576,1606,0,3,1,4,4,1047,3,380586759,348990384,22500288,20920148,20920148,3,1,1087847728,73389,73389,4,4,4,20920152,10,3,23031,1271935,522218,14324,3191,380586759,344068,19741899,5699
95162.64,175,262144,64,28418,1872489224,3,0,202,6,585,593633,0,5,11126,3,8,0,463,103581770,1172,1,4,512,35228236,11,140848464,7,5199,23549,4,514,585,22636,8616795132,34158674,1893337,631649422,585,1627,0,3,1,4,4,1047,3,628278749,592777384,37845595,35787296,35787296,3,1,1860939424,73389,73389,4,4,4,35787300,10,3,25781,2129028,718981,24636,5192,628278749,568997,33440558,5783
