timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.58,0,0,0,0,0,0,116,0,0,0,7,0,5,2097278,2,1,4,4,0,4,19,0,32,16830496,0,0,1803,0,0,2,1,4,4,379,1,0,0,107,0,0,2,1,0,73389,73389,4,4,4,0,34,3,0,0,0,0,0,0,0,0,0
10022.84,5,0,0,5227,344185582,1,116,0,162,75020,7,488,6,35386692,326,1,5,877,611,4,28,162,3526,35170680,759985,308,114505894,162,230,2,1,4,4,379,1,114074012,101488855,994056,7736678,7736678,2,1,339692936,73389,73389,4,4,4,7720294,34,3,62612,152881,381768,1286,872,114074012,73734,378252,1023
15031.84,29,262144,64,33381,2199650820,4,118,0,603,458848,7,5618,9,128250912,1208,1,8,5305,3171,4,51,603,21260,162739704,8171015,8135,696658376,603,849,2,1,4,4,379,1,693985292,646480124,11670235,49644669,49661053,2,1,2184365436,73389,73389,4,4,4,49644669,34,3,291705,911056,1682296,11226,5297,693985292,447622,6488937,3650
20040.76,29,262144,64,62961,4148558328,5,123,0,603,794309,7,13940,10,129035202,1208,1,9,9652,5625,4,61,603,38658,221879448,17703352,9947,1268648701,603,849,2,1,4,4,379,1,1263624204,1216241897,32024739,93944724,93944724,2,1,4133567856,73389,73389,4,4,4,93944724,34,3,308049,1613600,1889757,18195,9643,1263624204,776114,15814829,3650
25048.18,29,262144,64,92744,6110938568,5,128,0,603,1159980,7,22337,10,129566106,1208,1,9,14028,7146,4,61,603,56174,281105552,27469158,12237,1844555926,603,849,2,1,4,4,379,1,1837195276,1789867959,52284014,138523307,138545724,2,1,6095025508,73389,73389,4,4,4,138523307,34,3,325610,2344975,2093123,26044,14019,1837195276,1133936,25377141,3650
30057.32,29,262144,64,123294,8124043428,5,133,0,603,1541617,7,30944,10,130362462,1208,1,9,18514,8742,4,61,603,74122,307311216,37475946,14086,2434964118,603,849,2,1,4,4,379,1,2425184268,2378369176,73028744,184283253,184299637,2,1,8108463132,73389,73389,4,4,4,184283253,34,3,345235,3099285,2352119,34452,18505,2425184268,1507165,35125051,3650
35066.66,29,262144,64,152093,10021513934,5,138,0,603,1893387,7,39125,10,131158818,1208,1,9,22746,11024,4,61,603,91054,332160832,47354053,17749,2991881811,603,849,2,1,4,4,379,1,2979880972,2933074768,107147459,227414011,227414011,2,1,10005495588,73389,73389,4,4,4,227397627,34,3,374646,3817741,2615134,42710,22737,2979880972,1850677,44741173,3650
40076.04,29,262144,64,181136,11934969774,5,144,0,603,2278206,7,47321,10,132220626,1208,1,9,27012,12629,4,61,603,108114,339803712,57340847,20055,3552592591,603,849,2,1,4,4,379,1,3538310686,3492359777,128561934,270892707,270909091,2,1,11919279108,73389,73389,4,4,4,270892707,34,3,393346,4553065,2849996,50162,27003,3538310686,2228044,54495076,3650
45085.66,29,262144,64,206687,13618505478,5,148,2,603,2596048,7,54509,10,132751530,1208,1,9,30765,14393,4,61,603,123134,363486688,66968818,24383,4046626188,603,849,2,1,4,4,379,1,4030354974,3984455910,148979870,309157861,309174245,2,1,13602945884,73389,73389,4,4,4,309157861,34,3,410521,5206015,3077835,62446,30756,4030354974,2533602,63894925,3650
50094.39,29,262144,64,236151,15560076262,5,153,2,603,2963978,7,62819,10,133547886,1208,1,9,35094,16233,4,61,603,140454,388025744,76392410,27392,4616387315,603,849,2,1,4,4,379,1,4597765662,4552010959,184031537,353300109,353300109,2,1,15544483900,73389,73389,4,4,4,353283725,34,3,439921,5932893,3304907,69346,35085,4597765662,2894632,73091674,3650
