timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,MergingSortedMilliseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.89,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,9,0,32,16830496,0,0,0,1808,0,0,2,1,4,4,300,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10018.39,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,9,0,32,16830496,0,0,0,1808,0,0,2,1,4,4,300,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
15025.93,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,9,0,32,16830496,0,0,0,1808,0,0,2,1,4,4,300,1,0,0,71,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
20035.10,36,262144,64,26614,1753514188,3,117,0,603,378067,4,3708,8,127985460,1208,1,7,4310,2221,4,34,603,17274,127215800,0,4589580,1367,565854755,603,995,2,1,4,4,300,1,563699724,515989312,6637096,39508179,39508179,2,1,1737638980,73389,73389,4,4,4,39491795,7,3,123804,706859,1031743,6812,4303,563699724,371255,3557790,21131
25043.04,36,262144,64,54473,3589368788,4,122,0,603,714968,4,11571,9,128769750,1208,1,8,8405,4002,4,78,603,33676,237967704,0,13867203,6069,1104656096,603,995,2,1,4,4,300,1,1100308492,1052726947,24292032,81238105,81238105,2,1,3574476620,73389,73389,4,4,4,81238105,7,3,131273,1397799,1184584,14843,8397,1100308492,700125,12682735,21131
30051.62,36,262144,64,82298,5422729712,5,127,1,603,1075416,4,19435,10,129566106,1208,1,9,12492,6264,4,83,603,50022,245290456,0,23858230,9149,1642276379,603,995,2,1,4,4,300,1,1635868684,1588695053,46030849,122904654,122904654,2,1,5407804776,73389,73389,4,4,4,122904654,7,3,151619,2115230,1418250,24191,12483,1635868684,1051225,22439551,21131
35061.65,36,262144,64,112502,7413062588,5,132,1,603,1449846,4,27944,10,130362462,1208,1,9,16930,8010,4,83,603,67782,287140032,0,33434336,10663,2226466967,603,995,2,1,4,4,300,1,2217566220,2170558261,66575033,168117895,168134279,2,1,7397187380,73389,73389,4,4,4,168117895,7,3,168152,2857719,1661354,31994,16921,2217566220,1417852,31773187,21131
40069.10,36,262144,64,139563,9196088556,5,136,3,603,1762838,4,35565,10,130893366,1208,1,9,20904,9733,4,83,603,83698,380409096,0,42419335,15990,2749494084,603,995,2,1,4,4,300,1,2738446348,2691775740,86473553,208656107,208656107,2,1,9180147812,73389,73389,4,4,4,208639723,7,3,190373,3509519,1892335,41561,20895,2738446348,1721277,40528133,21131
45077.38,36,262144,64,169410,11162771694,5,141,3,603,2136772,4,43958,10,131689722,1208,1,9,25290,11875,4,83,603,101242,388269000,0,52916044,17354,3326668660,603,995,2,1,4,4,300,1,3313328140,3266647272,124280265,253355411,253355411,2,1,11147638084,73389,73389,4,4,4,253355411,7,3,210418,4252614,2135734,49769,25281,3313328140,2087003,50781366,21131
50085.43,36,262144,64,197859,13036768246,5,147,3,603,2513438,4,52044,10,132486078,1208,1,9,29468,14274,4,83,603,117954,395756168,0,62155647,19324,3875895436,603,995,2,1,4,4,300,1,3860354590,3814442324,145061658,295945497,295945497,2,1,13021601868,73389,73389,4,4,4,295945497,7,3,231386,4980128,2376952,58050,29459,3860354590,2455388,59780199,21131
