timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.75,0,0,0,0,0,0,116,0,0,0,5,0,5,2097278,2,1,4,4,0,4,14,0,32,16830496,0,0,1785,0,0,2,1,4,4,314,1,0,0,93,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10016.64,0,0,0,0,0,0,116,0,0,0,5,0,5,2097278,2,1,4,4,0,4,14,0,32,16830496,0,0,1785,0,0,2,1,4,4,314,1,0,0,93,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
15021.58,0,0,0,0,0,0,116,0,0,0,5,0,5,2097278,2,1,4,4,0,4,14,0,32,16830496,0,0,1785,0,0,2,1,4,4,314,1,0,0,93,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
20028.01,0,0,0,0,0,0,116,0,0,0,5,0,5,2097278,2,1,4,4,0,4,14,0,32,16830496,0,0,1785,0,0,2,1,4,4,314,1,0,0,93,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
25034.46,0,0,0,0,0,0,116,0,0,0,5,0,5,2097278,2,1,4,4,0,4,14,0,32,16830496,0,0,1785,0,0,2,1,4,4,314,1,0,0,93,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
30039.93,0,0,0,0,0,0,116,0,0,0,5,0,5,2097278,2,1,4,4,0,4,14,0,32,16830496,0,0,1785,0,0,2,1,4,4,314,1,0,0,93,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
35045.36,0,0,0,0,0,0,116,0,0,0,5,0,5,2097278,2,1,4,4,0,4,14,0,32,16830496,0,0,1785,0,0,2,1,4,4,314,1,0,0,93,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
40054.38,6,0,0,3529,232603804,1,116,0,108,50828,5,330,6,24457950,218,1,5,593,457,4,27,108,2386,34659960,481440,9,77007703,108,107,2,1,4,4,314,1,76718492,68518893,631103,5223893,5240277,2,1,229851292,73389,73389,4,4,4,5223893,7,3,57585,92208,251681,687,588,76718492,50141,229831,7639
45061.90,17,262144,64,34670,2284392176,3,119,0,603,493393,5,6023,8,128250912,1208,1,7,5491,2623,4,46,603,21996,129629608,7747845,1783,721244847,603,912,2,1,4,4,314,1,718495756,671172465,11521776,51575822,51575822,2,1,2268615272,73389,73389,4,4,4,51559438,7,3,202329,918045,1211694,9181,5484,718495756,484212,6536214,10470
50069.19,17,262144,64,63676,4195682020,4,123,1,603,906047,5,14135,9,129035202,1208,1,8,9756,4757,4,60,603,39062,170944936,17416191,3454,1282416808,603,912,2,1,4,4,314,1,1277386764,1230037242,31533739,95015717,95015717,2,1,4179970652,73389,73389,4,4,4,94999333,7,3,219395,1689289,1434600,17047,9748,1277386764,889000,15982199,10470
55074.74,17,262144,64,88590,5837205840,5,128,4,603,1247337,5,21232,10,129566106,1208,1,9,13415,6773,4,69,603,53692,177499112,27215714,8180,1763648698,603,912,2,1,4,4,314,1,1756717068,1709796275,52273463,132316374,132332758,2,1,5821920456,73389,73389,4,4,4,132316374,7,3,240767,2362399,1683313,29386,13406,1756717068,1217951,25531719,10470
60082.21,17,262144,64,117436,7738009924,5,133,4,603,1630761,5,29348,10,130362462,1208,1,9,17655,8475,4,69,603,70664,219377088,37290922,10095,2321771268,603,912,2,1,4,4,314,1,2312593420,2265498399,72762103,175518701,175535085,2,1,7722822844,73389,73389,4,4,4,175518701,7,3,264098,3096962,1925954,36782,17646,2312593420,1593979,35364164,10470
65089.78,17,262144,64,147362,9709870406,5,138,4,603,1996378,5,37781,10,131158818,1208,1,9,22052,9956,4,69,603,88252,227256512,46819707,12351,2900456864,603,912,2,1,4,4,314,1,2888917004,2841985996,105650092,220332693,220332693,2,1,9694638492,73389,73389,4,4,4,220332693,7,3,290146,3833919,2176286,44392,22043,2888917004,1951986,44641181,10470
70098.22,17,262144,64,173513,11432993162,5,142,5,603,2316712,5,45138,10,131689722,1208,1,9,25894,11524,4,69,603,103620,234142336,55966289,15739,3406081469,603,912,2,1,4,4,314,1,3392495628,3345572037,129777058,259488616,259505000,2,1,11417499104,73389,73389,4,4,4,259488616,7,3,316800,4489599,2444093,54464,25885,3392495628,2262248,53520681,10470
75104.51,17,262144,64,203393,13401302634,5,147,7,603,2735292,5,53555,10,132486078,1208,1,9,30281,13314,4,69,603,121172,258834696,66042046,18817,3982814084,603,912,2,1,4,4,314,1,3966916126,3921035980,157130626,304228880,304228880,2,1,13386070720,73389,73389,4,4,4,304228880,7,3,344488,5278649,2715139,63344,30272,3966916126,2671948,63326188,10470
80112.13,17,262144,64,232719,15333829450,5,152,7,603,3095904,5,61883,10,133282434,1208,1,9,34589,15095,4,69,603,138416,318442480,75251933,22813,4549809357,603,912,2,1,4,4,314,1,4531574302,4485877902,180357084,348158136,348158136,2,1,15318957984,73389,73389,4,4,4,348158136,7,3,363727,6003458,2931860,71466,34580,4531574302,3024438,72319696,10470
85127.39,17,262144,64,262970,17326977066,5,157,7,603,3457928,5,70352,10,134078790,1208,1,9,39033,17308,4,69,603,156208,394785112,85203307,27404,5134649790,603,912,2,1,4,4,314,1,5114058270,5068533496,205153730,393455456,393455456,2,1,17312040064,73389,73389,4,4,4,393455456,7,3,389758,6728746,3155713,79202,39024,5114058270,3378726,82047466,10470
90134.17,17,262144,64,292648,19282572554,5,162,8,603,3838143,5,78742,10,134875146,1208,1,9,43394,18954,4,69,603,173652,402600216,94450864,29910,5708565942,603,912,2,1,4,4,314,1,5685663262,5640193123,224563004,437892616,437909000,2,1,19267275104,73389,73389,4,4,4,437892616,7,3,409841,7473255,3403507,87603,43385,5685663262,3750540,91048898,10470
95141.67,17,262144,64,321811,21203916846,5,168,9,603,4277543,5,87002,10,135936954,1208,1,9,47675,20698,4,69,603,190780,427315600,104865703,32103,6271349415,603,912,2,1,4,4,314,1,6246180652,6201814006,260973485,481559728,481576112,2,1,21188628032,73389,73389,4,4,4,481559728,7,3,438791,8279962,3687299,96344,47666,6246180652,4181199,101179858,10470
100148.92,17,262144,64,351338,23149616398,5,173,9,603,4639521,5,95327,10,136733310,1208,1,9,52013,22465,4,69,603,208132,435089488,114450708,33713,6842285714,603,912,2,1,4,4,314,1,6814770988,6770670582,281611808,525783896,525783896,2,1,23134491424,73389,73389,4,4,4,525783896,7,3,464253,8996685,3899416,104101,52004,6814770988,4535420,110553576,10470
105157.38,17,262144,64,380304,25058031416,5,178,10,603,4987510,5,103504,10,137264214,1208,1,9,56269,24298,4,69,603,225156,459504152,123710653,36991,7402277942,603,912,2,1,4,4,314,1,7372482348,7328490909,301948924,569160414,569160414,2,1,25043058216,73389,73389,4,4,4,569160414,7,3,486822,9700595,4108236,112865,56260,7372482348,4874645,119605039,10470
