timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.73,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
10024.33,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
15033.49,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
20041.01,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
25047.99,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
30057.18,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
35065.83,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
40075.84,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
45085.14,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
50093.94,0,0,0,0,0,0,81,0,0,0,0,20,0,0,5,8,0,2097278,2,1,0,653,0,18,0,4,4,0,4,47,0,32,16831648,138,0,1806,0,0,0,3,1,4,4,1578,3,0,0,153,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,139,0,0,0,0,0,0
