timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.11,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
10028.20,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
15037.43,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
20044.80,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
25051.29,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
30059.57,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
35066.88,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
40075.21,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
45085.87,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
50093.34,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
55100.30,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
60106.41,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
65112.63,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
70118.81,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
75124.89,0,0,0,0,0,0,81,0,0,0,11,0,0,5,32,0,2097278,2,1,0,568,0,10,0,4,4,0,4,71,0,32,16831136,0,0,1818,0,0,3,1,4,4,1132,3,0,0,123,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
