timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.05,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
10016.74,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
15023.47,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
20030.20,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
25036.03,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
30041.43,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
35047.46,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
40054.30,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
45061.62,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
50068.15,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
55076.07,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
60083.33,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
65089.75,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
70094.83,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
75100.79,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
80105.85,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
85110.98,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
90117.82,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
95123.92,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
100129.17,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
105136.14,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
110146.11,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
115154.09,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
120163.63,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
125173.23,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
130180.37,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
135189.71,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
140197.86,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
145204.94,0,0,0,0,0,0,81,0,0,0,0,6,0,0,5,0,0,2097278,2,1,0,289,0,7,0,4,4,0,4,11,0,32,16840672,0,0,1728,0,0,0,3,1,4,4,705,3,0,0,59,0,0,3,1,0,73389,73389,4,4,4,0,8,3,0,0,0,0,0,0,0,0,0
