timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.66,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10019.93,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
15027.48,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
20033.90,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
25041.64,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
30049.01,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
35057.10,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
40065.74,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
45072.91,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
50080.83,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
55089.08,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
60095.65,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
65104.59,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
70111.97,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
75120.06,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
80127.89,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
85136.60,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
90145.64,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
95153.58,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
100162.59,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
105171.71,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
110177.93,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
115185.49,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
120192.96,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
125197.80,0,0,0,0,0,0,81,0,0,0,0,5,0,5,2097278,2,1,0,419,0,11,0,4,4,0,4,23,0,30,16839104,0,0,1766,0,0,0,3,1,4,4,924,3,0,0,84,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
