timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LoadedMarksCount,LoadedMarksFiles,LoadedMarksMemoryBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MarkCacheMisses,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.31,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10018.79,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15023.87,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20031.97,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25038.37,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30044.87,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
35053.92,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
40061.65,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
45068.54,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
50074.52,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
55083.62,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
60089.45,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
65097.70,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
70106.76,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
75114.78,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
80122.98,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
85132.08,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
90139.89,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
95144.97,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
100154.15,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
105162.38,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
110171.53,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
115179.81,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
120186.57,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
125193.58,0,0,0,0,0,0,81,0,0,0,0,8,0,0,5,0,2097278,2,1,0,443,0,11,0,0,0,0,4,4,0,4,22,0,0,32,19207934,0,0,1786,0,0,0,3,1,4,4,1049,3,0,0,101,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
