timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.15,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
10023.68,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
15031.01,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
20039.03,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
25049.98,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
30060.92,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
35067.95,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
40076.10,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
45084.61,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
50092.47,0,0,0,0,0,0,81,0,0,0,0,8,0,5,0,2097278,2,1,0,396,0,8,0,4,4,0,4,11,0,32,19207934,0,0,1800,0,0,0,3,1,4,4,797,3,0,0,89,0,0,3,1,0,73389,73389,4,4,4,0,6,3,0,0,0,0,0,0,0,0,0
