timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.54,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
10018.05,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
15023.83,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
20032.04,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
25039.67,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
30046.74,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
35054.02,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
40060.52,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
45070.41,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,2097278,2,1,4,4,0,4,14,0,32,16830560,0,0,1791,0,0,0,2,1,4,4,407,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
50078.23,18,262144,64,26978,1777634744,3,117,0,603,341569,2,5,3851,1,8,163,127985460,1208,1,7,4363,1508,4,204,603,17478,93837200,3900692,281,572784148,601,785,2,2,1,4,4,407,1,570646540,523079702,5244332,40038500,40054884,2,1,1761694000,73389,73389,4,4,4,40038500,9,3,198369,638506,1092875,5887,4356,570646540,335682,2807637,3008
