timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.18,0,0,0,0,0,0,116,0,0,0,0,7,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828736,0,0,1741,0,0,0,2,1,4,4,338,1,0,0,66,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10016.62,0,0,0,0,0,0,116,0,0,0,0,7,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828736,0,0,1741,0,0,0,2,1,4,4,338,1,0,0,66,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15021.54,0,0,0,0,0,0,116,0,0,0,0,7,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828736,0,0,1741,0,0,0,2,1,4,4,338,1,0,0,66,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20026.43,0,0,0,0,0,0,116,0,0,0,0,7,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828736,0,0,1741,0,0,0,2,1,4,4,338,1,0,0,66,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25031.93,0,0,0,0,0,0,116,0,0,0,0,7,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828736,0,0,1741,0,0,0,2,1,4,4,338,1,0,0,66,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30040.86,40,262144,64,20878,1375741528,9,116,0,603,918531,8,7,2078,1,14,93,1003,127985460,1208,1,13,3473,15487,4,1233,603,13900,75274976,4467015,230302,455012758,595,1824,8,2,1,4,4,338,1,453247188,405587620,7739043,30905308,30921692,2,1,1359833552,73389,73389,4,4,4,30905308,10,3,121974,1401782,1875640,8928,3460,453247188,909603,2592870,9637
35048.54,40,262144,64,48584,3201038216,9,121,1,603,1211585,8,7,9911,1,14,93,1003,128516364,1208,1,13,7543,16480,4,1233,603,30184,99777664,13633904,231646,990555921,595,1824,8,2,1,4,4,338,1,986669068,939197374,30557744,72401984,72418368,2,1,3185687296,73389,73389,4,4,4,72401984,10,3,135589,2019277,2122359,19469,7530,986669068,1192116,11512033,9637
40054.42,40,262144,64,70787,4664363036,9,125,2,603,1482942,8,7,16186,1,14,93,1003,129300654,1208,1,13,10807,17191,4,1233,603,43240,122468392,21344033,233316,1419971025,595,1824,8,2,1,4,4,338,1,1414357004,1366999043,49809551,105668303,105668303,2,1,4649405332,73389,73389,4,4,4,105668303,10,3,143875,2559512,2241453,30502,10794,1414357004,1452440,19103535,9637
45061.44,40,262144,64,94797,6246376860,9,129,4,603,1746065,8,7,23006,1,14,93,1003,129831558,1208,1,13,14333,17876,4,1233,603,57364,196859268,29620597,234057,1884116196,595,1824,8,2,1,4,4,338,1,1876647948,1829457550,68800655,141611247,141627631,2,1,6230894868,73389,73389,4,4,4,141611247,10,3,151814,3093503,2391125,41523,14320,1876647948,1704542,27230413,9637
50067.90,40,262144,64,111434,7342539236,9,132,6,603,1918381,8,7,27615,1,14,93,1003,130097010,1208,1,13,16777,18532,4,1233,603,67140,201238916,36594009,234641,2205752786,595,1824,8,2,1,4,4,338,1,2196987916,2149906961,80704073,166532965,166532965,2,1,7327450460,73389,73389,4,4,4,166532965,10,3,161682,3478932,2524169,55049,16764,2196987916,1863332,34071165,9637
55077.22,40,262144,64,130753,8615289652,9,135,9,603,2162355,8,7,33140,1,14,93,1003,130627914,1208,1,13,19614,18807,4,1233,603,78488,206322820,46297825,236723,2579083844,595,1824,8,2,1,4,4,338,1,2568839180,2522053133,131643231,195437710,195454094,2,1,8599259240,73389,73389,4,4,4,195437710,10,3,178548,3974244,2711814,73314,19601,2568839180,2089041,43587755,9637
60082.84,40,262144,64,149738,9866380298,9,138,10,603,2358633,8,7,38483,1,14,93,1003,131158818,1208,1,13,22403,19164,4,1233,603,89644,211320708,54799699,237811,2946106604,595,1824,8,2,1,4,4,338,1,2934398988,2887731192,157694048,223889736,223889736,2,1,9850427488,73389,73389,4,4,4,223873352,10,3,193037,4410698,2916689,91282,22390,2934398988,2267351,51884553,9637
65089.33,40,262144,64,182161,12002409626,9,144,10,603,2693200,8,7,47600,1,14,93,1003,132220626,1208,1,13,27167,19927,4,1233,603,108704,237425140,65077325,238410,3572449660,595,1824,8,2,1,4,4,338,1,3558233630,3512049817,183497139,272438836,272438836,2,1,11987308784,73389,73389,4,4,4,272438836,10,3,208233,5069530,3122757,97965,27154,3558233630,2595235,61955839,9637
70101.68,40,262144,64,213873,14091836242,9,149,10,603,3041217,8,7,56579,1,14,93,1003,132751530,1208,1,13,31822,20676,4,1233,603,127328,262703500,73717862,239403,4185059128,595,1824,8,2,1,4,4,338,1,4168373790,4122815551,201688467,319919102,319935486,2,1,14076440488,73389,73389,4,4,4,319919102,10,3,210479,5746701,3267483,106397,31809,4168373790,2934820,70451590,9637
75109.17,40,262144,64,244292,16096259358,9,154,10,603,3355333,8,7,65108,1,14,93,1003,133547886,1208,1,13,36295,21292,4,1233,603,145216,270717324,83865674,240134,4773580183,595,1824,8,2,1,4,4,338,1,4754527774,4708723275,233876664,365476407,365492791,2,1,16080961908,73389,73389,4,4,4,365476407,10,3,219773,6379630,3424060,113549,36282,4754527774,3241784,80444269,9637
