timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.29,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
10023.90,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
15031.21,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
20040.17,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
25050.11,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
30058.21,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
35065.69,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
40074.43,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
45082.84,0,0,0,0,0,0,116,0,0,0,0,5,0,5,2097278,2,1,4,4,0,4,12,0,32,16821216,43,0,1804,0,0,0,2,1,4,4,278,1,0,0,121,0,0,2,1,0,73389,73389,4,4,4,0,5,3,0,0,78,0,0,0,0,0,0
50091.30,10,0,0,9232,607984522,1,116,0,279,113146,2,5,862,6,59739318,560,1,5,1541,553,4,19,279,6182,36351288,776929,128,201848449,277,295,2,2,1,4,4,278,1,201105820,179276852,1119076,13665083,13681467,2,1,601263652,73389,73389,4,4,4,13665083,5,3,25224,222602,211124,2063,1536,201105820,111083,565780,1340
55100.05,28,262144,64,38607,2543734668,10,119,2,603,430748,4,5,7079,15,128250912,1208,1,14,6079,4402,4,106,603,24336,130580768,7954395,1048,797723638,599,790,4,2,1,4,4,278,1,794648588,746977668,16004690,57471459,57471459,2,1,2528023300,73389,73389,4,4,4,57455075,5,3,58235,883532,631627,14520,6065,794648588,416228,7323341,3053
60107.87,28,262144,64,75678,4986492324,10,126,2,603,781363,4,5,17573,15,129300654,1208,1,14,11527,5028,4,106,603,46144,208491632,16999152,1799,1514718598,599,790,4,2,1,4,4,278,1,1508728844,1461228918,37495302,112987189,112987189,2,1,4970715420,73389,73389,4,4,4,112970805,5,3,60909,1575963,775398,21164,11513,1508728844,760199,16225148,3053
65114.48,28,262144,64,109959,7245342732,10,131,2,603,1091789,4,5,27197,15,130097010,1208,1,14,16558,5511,4,106,603,66272,234419920,25937795,2517,2176839353,599,790,4,2,1,4,4,278,1,2168152076,2121483936,56182032,164325443,164325443,2,1,7230319492,73389,73389,4,4,4,164325443,5,3,70595,2202695,913430,27407,16544,2168152076,1064382,25026693,3053
70120.20,28,262144,64,144835,9543452512,10,137,2,603,1401062,4,5,37091,15,131158818,1208,1,14,21685,6106,4,106,603,86792,295078640,34571462,2874,2851553698,599,790,4,2,1,4,4,278,1,2840158220,2793324953,76824371,216554466,216554466,2,1,9527675608,73389,73389,4,4,4,216538082,5,3,82060,2841377,1088073,34236,21671,2840158220,1366826,33485706,3053
