timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.84,0,0,0,0,0,0,116,0,0,0,6,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1805,0,0,2,1,4,4,495,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
10018.01,0,0,0,0,0,0,116,0,0,0,6,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1805,0,0,2,1,4,4,495,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
15025.11,0,0,0,0,0,0,116,0,0,0,6,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1805,0,0,2,1,4,4,495,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
20032.19,0,0,0,0,0,0,116,0,0,0,6,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1805,0,0,2,1,4,4,495,1,0,0,84,0,0,2,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
25040.38,20,262144,64,22803,1502429232,3,117,0,603,336102,6,2704,8,127985460,1208,1,7,3748,1734,4,56,603,15022,126581656,3776942,1693,491759727,603,13670,2,1,4,4,495,1,489906188,442547150,5026414,33792766,33809150,2,1,1486881704,73389,73389,4,4,4,33792766,11,3,400565,613308,1722565,5096,3741,489906188,331006,2054641,2892
30048.25,20,262144,64,51023,3361942328,4,121,0,603,681788,6,10591,9,128516364,1208,1,8,7898,4107,4,81,603,31632,168139472,13664678,9126,1037898132,603,13670,2,1,4,4,495,1,1033854988,986264066,23677583,76063364,76079748,2,1,3346788016,73389,73389,4,4,4,76063364,11,3,421720,1325473,1931906,14610,7890,1033854988,667178,11732352,2892
35055.48,20,262144,64,81478,5368724740,5,126,0,603,1071611,6,19157,10,129300654,1208,1,9,12372,6638,4,86,603,49530,193000120,23046639,11913,1626561143,603,13670,2,1,4,4,495,1,1620140044,1572950804,45054160,121669821,121686205,2,1,5353472124,73389,73389,4,4,4,121669821,11,3,447702,2090985,2156135,21878,12363,1620140044,1049733,20889531,2892
40064.83,20,262144,64,110409,7274833932,5,131,0,603,1465854,6,27320,10,130097010,1208,1,9,16621,8172,4,86,603,66530,217850768,32847230,17566,2185747694,603,13670,2,1,4,4,495,1,2177064972,2130083049,68642088,164997187,164997187,2,1,7259876228,73389,73389,4,4,4,164997187,11,3,471775,2843987,2407467,30217,16612,2177064972,1435637,30438557,2892
45072.64,20,262144,64,139475,9190321388,5,136,0,603,1803933,6,35573,10,130893366,1208,1,9,20891,10032,4,86,603,83610,225502608,41339350,18397,2747691873,603,13670,2,1,4,4,495,1,2736742412,2690088759,87005070,208525035,208525035,2,1,9174380644,73389,73389,4,4,4,208508651,11,3,489505,3530915,2634633,37041,20882,2736742412,1766892,38704221,2892
50080.77,20,262144,64,169104,11142717678,5,141,0,603,2170274,6,43931,10,131689722,1208,1,9,25243,11465,4,86,603,101034,301631280,51488896,19874,3320441356,603,13670,2,1,4,4,495,1,3307167756,3260742361,108814347,252896659,252913043,2,1,11127452996,73389,73389,4,4,4,252896659,11,3,515844,4260558,2838410,44250,25234,3307167756,2126024,48650209,2892
