timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.20,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
10022.70,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
15028.91,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
20038.23,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
25047.99,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
30057.48,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
35065.79,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
40075.19,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
45082.69,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
50089.63,0,0,0,0,0,0,81,0,0,0,6,0,0,5,0,0,2097278,2,1,0,445,0,20,0,4,4,0,4,30,0,32,16840928,0,0,1805,0,0,3,1,4,4,1077,3,0,0,118,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,0,0,0,0,0,0,0
