timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.76,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10020.83,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
15027.54,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
20033.18,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
25040.60,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
30048.22,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
35056.56,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
40063.61,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
45069.71,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
50079.53,0,0,0,0,0,0,116,0,0,0,9,0,0,5,0,2097278,2,1,4,4,0,4,22,0,30,19197470,0,0,1818,0,0,2,1,4,4,299,1,0,0,94,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
