timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.69,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
10018.02,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
15023.00,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
20031.07,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
25037.28,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
30044.72,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
35051.81,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
40058.60,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
45067.58,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
50076.40,0,0,0,0,0,0,116,1,0,0,0,13,0,5,16,2097278,2,1,4,4,0,4,70,0,32,16816416,0,0,1770,0,0,0,2,1,4,4,892,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
55084.22,9,0,0,15428,1016446712,1,116,1,468,185694,2,13,1439,6,16,99294114,938,1,5,2575,1040,4,78,468,10318,38273208,1589769,237,337837437,466,569,2,2,1,4,4,892,1,336593108,299682462,2162530,22845268,22845268,2,1,1004470896,73389,73389,4,4,4,22828884,22,3,100095,355899,710102,3182,2570,336593108,182512,879915,1987
60092.28,11,262144,64,45683,3010121924,5,120,1,603,561102,2,13,9096,10,16,128516364,1208,1,9,7112,3611,4,108,603,28482,149139656,10362908,5786,934315684,601,734,2,2,1,4,4,892,1,930701324,883370820,19691747,68050317,68066701,2,1,2994213948,73389,73389,4,4,4,68050317,22,3,236062,1099529,1346267,10582,7103,930701324,550520,9017707,2538
65097.95,11,262144,64,74594,4915185848,6,125,2,603,906297,2,13,17222,11,16,129300654,1208,1,10,11364,5510,4,116,603,45500,207576784,20683827,14734,1493731021,601,734,2,2,1,4,4,892,1,1487888396,1440339282,42265023,111367332,111367332,2,1,4900162608,73389,73389,4,4,4,111367332,22,3,259822,1813572,1590251,19718,11354,1487888396,886579,19095058,2538
70105.52,11,262144,64,104564,6889917848,6,130,2,603,1291004,2,13,25724,11,16,130097010,1208,1,10,15767,7497,4,116,603,63124,266858008,30307193,17868,2073167038,601,734,2,2,1,4,4,892,1,2064998412,2017602356,64536686,156246860,156246860,2,1,6874140944,73389,73389,4,4,4,156230476,22,3,280377,2561136,1831946,27274,15757,2064998412,1263730,28476773,2538
75115.62,11,262144,64,132488,8729766836,6,135,4,603,1625218,2,13,33560,11,16,130627914,1208,1,10,19867,9288,4,116,603,79528,291072888,39936828,18844,2612739240,601,734,2,2,1,4,4,892,1,2602393612,2555497702,87889402,198044481,198060865,2,1,8713957164,73389,73389,4,4,4,198044481,22,3,304186,3246285,2064024,36733,19857,2602393612,1588485,37874063,2538
80125.17,11,262144,64,159768,10527422706,6,140,4,603,1945943,2,13,41276,11,16,131424270,1208,1,10,23875,11089,4,116,603,95556,298255544,49540348,25230,3140071775,601,734,2,2,1,4,4,892,1,3127599116,3080872708,114588661,238908214,238924598,2,1,10511961416,73389,73389,4,4,4,238908214,22,3,330711,3922238,2329011,45993,23865,3127599116,1899950,47213093,2538
85134.46,11,262144,64,189469,12484001234,6,145,4,603,2295496,2,13,49649,11,16,132220626,1208,1,10,28235,12868,4,116,603,113000,306070456,59220995,27029,3713362587,601,734,2,2,1,4,4,892,1,3698611742,3652811546,140644940,283386334,283386334,2,1,12468998696,73389,73389,4,4,4,283386334,22,3,352099,4632784,2588699,53760,28225,3698611742,2241736,56633818,2538
90143.60,11,262144,64,216374,14256803586,6,150,5,603,2614712,2,13,57260,11,16,133016982,1208,1,10,32188,14366,4,116,603,128812,313154424,68639637,28204,4233587127,601,734,2,2,1,4,4,892,1,4216739358,4171031912,168208025,323678786,323678786,2,1,14241866584,73389,73389,4,4,4,323678786,22,3,385713,5289333,2849650,62750,32178,4216739358,2551962,65790120,2538
95151.52,11,262144,64,245997,16208794594,6,155,6,603,2978952,2,13,65615,11,16,133813338,1208,1,10,36542,15976,4,116,603,146236,372995824,78092197,29194,4806486433,601,734,2,2,1,4,4,892,1,4787295774,4741617825,187670389,368034026,368050410,2,1,16193497144,73389,73389,4,4,4,368034026,22,3,404728,6013224,3086459,70446,36532,4787295774,2908506,75006306,2538
100161.19,11,262144,64,271591,17895148346,6,159,7,603,3279067,2,13,72815,11,16,134344242,1208,1,10,40302,17223,4,116,603,161280,379735536,87387373,32032,5301427813,601,734,2,2,1,4,4,892,1,5280257566,5234592854,217703942,406356524,406372908,2,1,17879687056,73389,73389,4,4,4,406356524,22,3,433297,6632000,3306906,78180,40292,5280257566,3200887,84081172,2538
105171.02,11,262144,64,302480,19930373382,6,164,7,603,3646683,2,13,81514,11,16,135140598,1208,1,10,44839,19378,4,116,603,179432,404811992,97004189,33245,5898527081,601,734,2,2,1,4,4,892,1,5874931230,5829605228,238222531,452610149,452626533,2,1,19914846556,73389,73389,4,4,4,452610149,22,3,461359,7369495,3582821,85518,44829,5874931230,3561165,93422820,2538
110179.49,11,262144,64,329356,21701040486,6,169,8,603,3993734,2,13,89134,11,16,135936954,1208,1,10,48785,21285,4,116,603,195228,463266864,105926165,35055,6417105880,601,734,2,2,1,4,4,892,1,6391539500,6347132717,312751192,492851290,492867674,2,1,21685456760,73389,73389,4,4,4,492851290,22,3,486975,8063438,3855069,95248,48775,6391539500,3898486,102071572,2538
115189.99,11,262144,64,359870,23711701588,6,174,8,603,4351404,2,13,97756,11,16,136733310,1208,1,10,53266,22826,4,116,603,213156,488525040,115610465,36267,7006979943,601,734,2,2,1,4,4,892,1,6978873132,6934896192,335425233,538556051,538572435,2,1,23696466244,73389,73389,4,4,4,538556051,22,3,519092,8780895,4115403,102831,53256,6978873132,4248573,111494884,2538
120197.39,11,262144,64,391679,25807497262,6,179,8,603,4810694,2,13,106658,11,16,137529666,1208,1,10,57940,24428,4,116,603,231856,513750040,126242073,40359,7622044518,601,734,2,2,1,4,4,892,1,7591503660,7547576412,363941494,586191965,586191965,2,1,25792446460,73389,73389,4,4,4,586191965,22,3,549686,9619802,4370896,110369,57930,7591503660,4700325,121872151,2538
