timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.24,10,262144,64,42202,2780663848,64,58,120,2,603,718712,36,20,8168,69,198,128516364,1208,1,68,6661,42578,4,565,603,26538,79772488,14215462,639699,867251214,567,1249,36,10,1,2,1,4,4,355,1,863854604,816268445,26898954,62842808,62859192,2,1,2765083552,73389,73389,4,4,4,62842808,11,3,388717,1867196,3771994,18479,6593,863854604,700233,10442458,8965
10018.87,10,262144,64,76342,5030273680,64,58,126,3,603,1065536,36,20,17756,69,198,129300654,1208,1,68,11677,42595,4,565,603,46622,173527520,23581512,640177,1527308702,567,1249,36,10,1,2,1,4,4,355,1,1521311756,1473950961,49838649,113976262,113992646,2,1,5014955528,73389,73389,4,4,4,113976262,11,3,397657,2565040,3930130,25276,11609,1521311756,1040260,19650866,8965
15024.52,10,262144,64,99558,6559998534,64,58,130,5,603,1324361,36,20,24305,69,198,129843624,1208,1,68,15088,42615,4,565,603,60270,196615840,31618228,640785,1976151792,567,1249,36,10,1,2,1,4,4,355,1,1968398348,1921119430,81618343,148749909,148749909,2,1,6544995996,73389,73389,4,4,4,148749909,11,3,412416,3105563,4099737,36854,15020,1968398348,1287507,27517552,8965
20031.57,10,262144,64,129982,8564471812,64,58,135,5,603,1684023,36,20,32876,69,198,130627914,1208,1,68,19557,42620,4,565,603,78146,204624288,41429925,641429,2564187814,567,1249,36,10,1,2,1,4,4,355,1,2554159116,2507185579,102971690,194301181,194301181,2,1,8548531068,73389,73389,4,4,4,194284797,11,3,429708,3787014,4260458,43484,19489,2554159116,1640539,37169392,8965
25037.28,10,262144,64,164415,10833561210,64,58,140,6,603,2041831,36,20,42543,69,198,131424270,1208,1,68,24615,42630,4,565,603,98386,247299312,50988004,641962,3229770656,567,1249,36,10,1,2,1,4,4,355,1,3217121292,3170404681,122911969,245874844,245874844,2,1,10818493136,73389,73389,4,4,4,245874844,11,3,445358,4493349,4407214,50204,24547,3217121292,1991627,46580926,8965
30042.79,10,262144,64,196916,12974702346,64,58,146,6,603,2404651,36,20,51788,69,198,132486078,1208,1,68,29388,42630,4,565,603,117478,255852528,59611864,642353,3857233857,567,1249,36,10,1,2,1,4,4,355,1,3842135582,3796271978,150752043,294522248,294538632,2,1,12958978912,73389,73389,4,4,4,294522248,11,3,456481,5194352,4558615,57389,29320,3842135582,2347262,55054341,8965
35047.84,10,262144,64,225591,14864299774,64,58,151,7,603,2743044,36,20,59885,69,198,133282434,1208,1,68,33601,42632,4,565,603,134330,263402224,68888384,642883,4411583031,567,1249,36,10,1,2,1,4,4,355,1,4394341918,4348600590,178472786,337478815,337495199,2,1,14849067860,73389,73389,4,4,4,337478815,11,3,474094,5849362,4702597,64665,33533,4394341918,2678379,64187416,8965
40054.22,10,262144,64,252368,16628448066,64,58,156,10,603,3065029,36,20,67449,69,198,133813338,1208,1,68,37535,42632,4,565,603,150066,270451952,78712569,643505,4929202818,567,1249,36,10,1,2,1,4,4,355,1,4909979166,4864247158,201772107,377576818,377593202,2,1,16613379992,73389,73389,4,4,4,377576818,11,3,494104,6464382,4831892,71832,37467,4909979166,2993197,73882646,8965
45060.57,10,262144,64,279085,18388929650,64,58,160,10,603,3378221,36,20,74966,69,198,134609694,1208,1,68,41460,42632,4,565,603,165766,277485552,87480883,643915,5445641166,567,1249,36,10,1,2,1,4,4,355,1,5424436766,5378976292,232102192,417590742,417590742,2,1,18373271752,73389,73389,4,4,4,417574358,11,3,511176,7069803,4957835,79089,41392,5424436766,3299132,82525593,8965
50065.50,10,262144,64,309005,20360650302,64,58,165,10,603,3714913,36,20,83402,69,198,135406050,1208,1,68,45855,42632,4,565,603,183346,285361392,97321391,644561,6023945647,567,1249,36,10,1,2,1,4,4,355,1,6000498206,5955301873,257586627,462394383,462410767,2,1,20345352852,73389,73389,4,4,4,462394383,11,3,529890,7714377,5124122,86026,45787,6000498206,3628887,92200166,8965
