timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.90,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,0,2097278,2,1,4,4,0,4,8,0,32,16830496,0,0,1746,0,0,0,2,1,4,4,370,1,0,0,57,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
10018.11,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,0,2097278,2,1,4,4,0,4,8,0,32,16830496,0,0,1746,0,0,0,2,1,4,4,370,1,0,0,57,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
15023.58,0,0,0,0,0,0,116,0,0,0,0,5,0,0,5,0,0,2097278,2,1,4,4,0,4,8,0,32,16830496,0,0,1746,0,0,0,2,1,4,4,370,1,0,0,57,0,0,2,1,0,73389,73389,4,4,4,0,22,3,0,0,0,0,0,0,0,0,0
20033.40,11,0,0,3658,240804562,9,116,0,164,213980,5,5,349,2,14,93,940,35028263,327,1,13,665,3743,4,1145,164,2646,18076128,922262,43959,85178790,159,485,5,2,1,4,4,370,1,84844956,71393357,1469861,5365316,5447236,2,1,233190320,73389,73389,4,4,4,5299780,22,3,48575,306702,473993,1557,652,84844956,212423,447462,2372
25040.12,39,262144,64,47369,3121146524,9,121,0,603,1115472,5,5,9578,2,14,93,940,128516364,1208,1,13,7362,20858,4,1145,603,29474,151716896,12805117,229861,966774285,598,1530,5,2,1,4,4,370,1,962945036,915895561,25198137,70593711,70593711,2,1,3106123284,73389,73389,4,4,4,70593711,22,3,137119,1911006,2158206,14120,7349,962945036,1101352,10645793,8556
30047.77,39,262144,64,80799,5323960344,9,126,0,603,1496620,5,5,18971,2,14,93,940,129300654,1208,1,13,12277,21720,4,1145,603,49134,160524576,22554258,230802,1613583942,598,1530,5,2,1,4,4,370,1,1607163916,1559837470,45559659,120647980,120664364,2,1,5308511120,73389,73389,4,4,4,120647980,22,3,147576,2657470,2358621,20569,12264,1607163916,1476051,20194107,8556
35053.81,39,262144,64,104269,6870584728,9,130,1,603,1734934,5,5,25646,2,14,93,940,130097010,1208,1,13,15725,22406,4,1145,603,62926,166703392,31231259,231219,2067296048,598,1530,5,2,1,4,4,370,1,2059100172,2011925574,65227269,155804492,155820876,2,1,6855397648,73389,73389,4,4,4,155804492,22,3,158712,3165520,2492404,33167,15712,2059100172,1701767,28736902,8556
40060.35,39,262144,64,132104,8704335560,9,135,2,603,2059703,5,5,33487,2,14,93,940,130627914,1208,1,13,19813,23180,4,1145,603,79278,174029088,40454171,233746,2605256458,598,1530,5,2,1,4,4,370,1,2594922508,2548038361,103534411,197481392,197481392,2,1,8688460352,73389,73389,4,4,4,197465008,22,3,172997,3797932,2660564,42782,19800,2594922508,2016921,37791915,8556
45067.82,39,262144,64,168540,11105489922,9,141,2,603,2484716,5,5,43721,2,14,93,940,131689722,1208,1,13,25167,23985,4,1145,603,100702,217811760,50333815,234452,3309825377,598,1530,5,2,1,4,4,370,1,3296681996,3249874159,142065879,252055042,252055042,2,1,11090421848,73389,73389,4,4,4,252055042,22,3,182533,4594029,2830345,49814,25154,3296681996,2434902,47502980,8556
50074.08,39,262144,64,203822,13429683030,9,148,2,603,2871924,5,5,53718,2,14,93,940,132486078,1208,1,13,30348,24948,4,1145,603,121442,295193304,59439263,234762,3991067156,598,1530,5,2,1,4,4,370,1,3975173662,3929309753,163227965,304873889,304873889,2,1,13414451116,73389,73389,4,4,4,304873889,22,3,192045,5332401,3016901,56449,30335,3975173662,2815475,56422085,8556
55080.70,39,262144,64,233656,15395502134,9,153,2,603,3189490,5,5,62141,2,14,93,940,133282434,1208,1,13,34730,25612,4,1145,603,138970,303046040,68106730,235508,4567710022,598,1530,5,2,1,4,4,370,1,4549531166,4503891417,196960009,349556809,349573193,2,1,15380499596,73389,73389,4,4,4,349556809,22,3,205494,5953200,3206627,64524,34717,4549531166,3124966,64898888,8556
