timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.82,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10020.36,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15026.93,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20033.07,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25040.20,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30047.61,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
35054.62,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
40064.46,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
45072.76,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
50080.67,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
55090.58,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
60097.56,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
65107.18,0,0,0,0,0,0,81,0,0,0,3,0,0,5,86,0,2097278,2,1,0,449,0,11,0,4,4,1,4,110,0,30,19206174,0,0,1793,0,0,3,1,4,4,1095,3,0,0,80,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
