timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LoadedMarksCount,LoadedMarksFiles,LoadedMarksMemoryBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MarkCacheMisses,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.64,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
10018.93,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
15024.84,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
20031.62,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
25038.49,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
30044.33,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
35050.39,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
40056.61,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
45061.76,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
50067.15,0,0,0,0,0,0,81,0,0,0,0,13,0,0,5,0,2097278,2,1,0,443,0,9,0,0,0,0,4,4,0,4,15,0,0,32,16840608,0,0,1731,0,0,0,3,1,4,4,959,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,9,3,0,0,0,0,0,0,0,0,0
