timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
34371.01,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0
36374.42,253952,62,23990,1579387910,0,0,0,0,29,29,5824,118,675,118565,20,2567,44,55,140034434,1352,1,0,43,43,13,14,157,675,0,0,0,2161254,118,512491964,0,675,327,11,1,2,1,14,14,354,1,516422448,465460036,2286791,35544139,35544139,1,2,1,1563942116,73389,73389,14,14,14,35544139,10,3,459022,120635,801509,3959,516422448,118565,1359832,1588
38378.62,253952,62,48052,3165075058,0,0,0,0,29,29,5824,122,675,199223,20,9350,44,55,140565338,1352,1,0,43,43,13,14,157,675,0,0,0,6393297,154,975738386,0,675,327,11,1,2,1,14,14,354,1,979893040,929044856,10036627,71566844,71583228,1,2,1,3148941136,73389,73389,14,14,14,71566844,10,3,464250,203406,897562,7495,979893040,199223,5495993,1588
40382.38,253952,62,72475,4774420702,1,1000068,0,1,29,29,5824,126,675,279822,20,16181,44,55,141361694,1352,1,0,43,43,13,14,157,675,0,0,0,10586223,265,1445670150,0,675,327,11,1,2,1,14,14,354,1,1450048304,1399548164,18014613,108154797,108154797,1,2,1,4758811068,73389,73389,14,14,14,108154797,10,3,468669,286113,1007584,11082,1450048304,279822,9579070,1588
42386.09,253952,62,96360,6348242526,1,1000068,0,1,29,29,5824,129,675,359288,20,22910,44,55,141892598,1352,1,0,43,43,13,14,157,675,0,0,0,14806821,341,1905640331,0,675,327,11,1,2,1,14,14,354,1,1909848880,1859572512,24023622,143925709,143925709,1,2,1,6332010300,73389,73389,14,14,14,143909325,10,3,470433,367682,1105479,14590,1909848880,359288,13701927,1588
44389.87,253952,62,120255,7922719710,2,2000275,0,2,29,29,5824,133,675,434452,20,29648,44,55,142423502,1352,1,0,43,43,13,14,157,675,0,0,0,19027893,373,2368987109,0,675,327,11,1,2,1,14,14,354,1,2369911600,2319901824,37767471,179704813,179721197,1,2,1,7907011772,73389,73389,14,14,14,179704813,10,3,476297,444887,1212074,18100,2369911600,434452,17816594,1588
46393.43,253952,62,144012,9488152926,2,2000275,0,5,29,29,5824,137,675,512131,20,36347,44,55,142942340,1352,1,0,43,43,13,14,157,675,0,0,0,23229634,459,2827124343,0,675,327,11,1,2,1,14,14,354,1,2826959664,2777506430,43717007,215279117,215295501,1,2,1,9472281148,73389,73389,14,14,14,215279117,10,3,483068,524759,1328680,21587,2826959664,512131,21901911,1588
48397.84,253952,62,167575,11040547786,7,7001212,0,7,29,29,5824,141,675,604000,20,42989,44,55,144004148,1352,1,0,43,43,13,14,157,675,0,0,0,27488188,541,3279337304,0,675,327,11,1,2,1,14,14,354,1,3279784912,3231123444,104719865,250572734,250572734,1,2,1,11024479400,73389,73389,14,14,14,250556350,10,3,490075,618791,1459984,25045,3279784912,604000,26029338,1588
50402.28,253952,62,191165,12594771038,7,7001212,0,8,29,29,5824,145,675,703932,20,49643,44,55,144535052,1352,1,0,43,43,13,14,157,675,0,0,0,31877601,686,3733806551,0,675,327,11,1,2,1,14,14,354,1,3734080464,3685473878,110892936,285895245,285895245,1,2,1,12579390780,73389,73389,14,14,14,285895245,10,3,495783,720934,1594140,28511,3734080464,703932,30284774,1588
52406.64,253952,62,214848,14155354590,10,10001715,0,10,29,29,5824,149,675,804077,20,56323,44,55,145065956,1352,1,0,43,43,13,14,157,675,0,0,0,36206967,776,4187883581,0,675,327,11,1,2,1,14,14,354,1,4189686736,4141696545,163905606,321363053,321379437,1,2,1,14139974332,73389,73389,14,14,14,321363053,10,3,500000,823283,1723277,31987,4189686736,804077,34485185,1588
