timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
8118.55,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
10121.79,0,253952,62,11433,753363462,1,1418631,0,29,3,3,6252,118,0,558,50120,0,23,4469,18,9,96675873,1118,1,0,4,472,14105664,6,56422656,17,17,14,44,558,0,0,3722652,30,266587887,0,558,84,0,3,1,14,14,864,0,3,266823211,239796098,5141386,14307933,14324317,1,3,1,0,744012548,73389,73389,14,14,14,14307937,4,3,80193,51223,170959,2242,266823211,50120,3551847,797
12124.99,0,253952,62,20789,1369028006,1,2825541,0,69,4,4,6252,196,0,558,89550,0,23,8167,19,9,98558169,1118,1,0,4,472,25767976,6,103071904,18,18,14,50,558,0,0,6787312,125,469997433,0,558,84,0,3,1,14,14,864,0,3,470106948,433647462,9613358,26152677,26169061,1,3,1,0,1359939236,73389,73389,14,14,14,26152681,4,3,83977,91682,216912,3960,470106948,89550,6570692,797
14128.74,1,253952,62,32768,2157848342,1,4374566,0,101,4,4,6252,238,0,567,136853,0,23,12836,19,9,101626045,1136,1,0,4,472,40707533,6,162765712,18,18,14,50,567,0,0,10695630,220,710808654,0,567,87,0,3,1,14,14,864,0,3,710499044,682066289,15068833,41322929,41322929,1,3,1,0,2148792340,73389,73389,14,14,14,41322933,4,3,86820,140100,278888,5893,710499044,136853,10417189,814
16132.27,3,253952,62,41689,2744727208,2,6632845,0,117,5,5,6252,314,0,567,175431,0,23,16357,19,9,102905041,1136,1,0,4,472,51822817,6,207226764,18,19,14,50,567,0,0,13679222,297,902709214,0,567,87,0,3,1,14,14,864,0,3,903333580,867238501,20311188,52580008,52596392,1,3,1,0,2734160448,73389,73389,14,14,14,52580012,4,3,91802,179631,328831,7517,903333580,175431,13350959,814
18136.00,3,253952,62,53652,3533126400,2,9039546,0,121,5,5,6252,411,0,567,226398,0,23,21092,19,9,104799403,1136,1,0,4,472,66750671,6,267002684,18,19,14,50,567,0,0,17716353,379,1153248128,0,567,87,0,3,1,14,14,864,0,3,1152672308,1115707222,26755282,67737750,67737750,1,3,1,0,3522363032,73389,73389,14,14,14,67737754,4,3,93824,231902,391809,9622,1152672308,226398,17325262,814
20139.81,3,253952,62,65609,4321228904,2,10563386,0,126,5,5,6252,454,0,567,276733,0,23,25761,19,9,107091943,1136,1,0,4,472,81694288,6,326712524,18,19,14,50,567,0,0,21725245,428,1396604569,0,567,87,0,3,1,14,14,864,0,3,1397844129,1364035983,32287628,82879108,82879108,1,3,1,0,4309713648,73389,73389,14,14,14,82879112,4,3,98567,283448,452793,11591,1397844129,276733,21273336,814
22143.33,3,253952,62,77026,5073145612,2,12931682,0,139,5,5,6252,549,0,567,327983,0,23,30268,19,9,108901843,1136,1,0,4,472,95916068,6,383599500,18,19,14,50,567,0,0,25803939,553,1635868059,0,567,87,0,3,1,14,14,864,0,3,1635503078,1600735196,38735326,97320272,97336656,1,3,1,0,5060654176,73389,73389,14,14,14,97320276,4,3,105553,336054,524785,13600,1635503078,327983,25280183,814
24147.17,3,253952,62,88500,5828882334,2,14993858,0,150,5,5,6252,630,0,567,380703,0,23,34793,19,9,110482489,1136,1,0,4,472,110234344,6,440872716,18,19,14,50,567,0,0,29868713,624,1879724748,0,567,87,0,3,1,14,14,864,0,3,1879243436,1838823928,44861959,111859740,111859740,1,3,1,0,5816706512,73389,73389,14,14,14,111859744,4,3,114707,390166,600766,15637,1879243436,380703,29269134,814
26151.04,3,253952,62,99023,6524779916,2,16365260,0,198,5,5,6252,681,0,567,427964,0,23,38923,19,9,114512533,1136,1,0,4,472,123373072,6,493492288,18,19,14,50,567,0,0,33657845,687,2099051985,0,567,87,0,3,1,14,14,864,0,3,2098939721,2058131884,49952967,125169520,125169520,1,3,1,0,6507963104,73389,73389,14,14,14,125153140,4,3,120435,438686,653712,17417,2098939721,427964,33005456,814
