timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
19956.88,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
21960.63,0,253952,62,11252,740886080,0,1888407,13,3,3,6318,121,0,558,59474,21,4388,18,25,96060507,1118,1,0,4,467,13852007,6,55278860,17,17,14,77,558,0,0,4004570,67,268013156,0,558,207,3,1,14,14,895,3,268528603,236122031,5508268,14066491,14066491,1,3,1,731457564,73389,73389,14,14,14,14066495,4,3,80551,60803,179966,2276,268528603,59474,3824749,1073
23964.48,0,253952,62,22736,1496988578,0,3572387,25,3,3,6318,216,0,558,111769,21,8936,18,25,97979001,1118,1,0,4,467,28189139,6,112756556,17,17,14,77,558,0,0,8074867,250,504572793,0,558,207,3,1,14,14,895,3,504930645,474196338,11648135,28608118,28608118,1,3,1,1487622168,73389,73389,14,14,14,28608122,4,3,86395,114435,232011,4291,504930645,111769,7843158,1073
25968.47,1,253952,62,33651,2215764894,0,5242011,66,3,3,6318,253,0,558,163625,21,13195,18,25,99547581,1118,1,0,4,467,41813343,6,167253372,17,17,14,77,558,0,0,11960789,318,732922160,0,558,207,3,1,14,14,895,3,733671629,700335530,17143226,42437041,42437041,1,3,1,2205874196,73389,73389,14,14,14,42420661,4,3,90646,167566,305995,6126,733671629,163625,11654533,1073
27972.29,1,253952,62,41821,2753655478,2,8009557,89,5,5,6318,325,0,567,199227,21,16418,19,25,102880909,1136,1,0,4,467,51981320,6,207860536,18,19,14,84,567,0,0,14906690,343,900886014,0,567,211,3,1,14,14,895,3,901119971,870096246,22778224,52758073,52758073,1,3,1,2743419828,73389,73389,14,14,14,52758077,4,3,96727,204132,359155,7555,901119971,199227,14548092,1093
29976.47,1,253952,62,53045,3493008200,2,9905570,112,5,5,6318,377,0,567,251113,21,20823,19,25,104775271,1136,1,0,4,467,65992520,6,263970080,18,19,14,84,567,0,0,19040109,432,1139170741,0,567,211,3,1,14,14,895,3,1138865745,1102919543,28860388,66969861,66969861,1,3,1,3482432804,73389,73389,14,14,14,66969865,4,3,103614,257346,434293,9493,1138865745,251113,18606523,1093
31980.75,1,253952,62,64242,4231194750,2,11822202,133,5,5,6318,457,0,567,300914,21,25245,19,25,106645501,1136,1,0,4,467,80001016,6,319939492,18,19,14,84,567,0,0,23157638,535,1370187661,0,567,211,3,1,14,14,895,3,1369475764,1335085302,34978628,81177331,81193715,1,3,1,4221221244,73389,73389,14,14,14,81177335,4,3,107188,308444,494404,11421,1369475764,300914,22664091,1093
33984.84,1,253952,62,75586,4979039224,2,13738794,150,5,5,6318,551,0,567,351990,21,29728,19,25,108226147,1136,1,0,4,467,94153533,6,376549392,18,19,14,84,567,0,0,27262563,697,1612711475,0,567,211,3,1,14,14,895,3,1612247060,1571012986,40627198,95532257,95532257,1,3,1,4967677396,73389,73389,14,14,14,95532261,4,3,111701,360853,568565,13477,1612247060,351990,26695000,1093
35988.43,1,253952,62,84096,5539574028,3,15426700,185,5,5,6318,574,0,567,388255,21,33030,19,25,109794727,1136,1,0,4,467,104731234,6,418924936,18,19,14,84,567,0,0,30246445,934,1786105187,0,567,211,3,1,14,14,895,3,1785133127,1747526949,45670908,106309882,106309882,1,3,1,5528113896,73389,73389,14,14,14,106309886,4,3,113661,398007,603637,14849,1785133127,388255,29643922,1093
37992.55,1,253952,62,94496,6224092532,3,17858079,206,6,6,6318,659,0,567,436176,21,37155,19,25,110856535,1136,1,0,4,467,117747683,6,470990732,18,20,14,84,567,0,0,34120515,1114,2006299436,0,567,211,3,1,14,14,895,3,2005454109,1963081897,51976696,119463187,119463187,1,3,1,6212085756,73389,73389,14,14,14,119463191,4,3,117779,447114,667727,16707,2005454109,436176,33454035,1093
