timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
91754.64,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,1081,0,0,0,0,0,0,0,0,0,0,0,0,1081,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
93760.31,1,253952,62,10358,681404012,0,1055909,93,3,3,4336,121,0,558,82000,0,13,4051,18,18,96108771,1118,1,1081,0,4,459,12743918,6,50975672,17,17,0,14,77,558,1081,5,0,0,4882087,262,245608216,0,558,454,0,3,1,14,14,940,3,245391854,217121161,5937963,12926088,12942472,1,3,1,672156608,73389,73389,14,14,14,12926092,6,3,80110,83792,218985,2088,245391854,82000,4663365,1472
95765.27,2,253952,62,21018,1384675248,0,1962867,188,3,3,4336,164,1,558,152168,0,13,8225,18,18,98871885,1118,1,1081,0,4,459,26071051,6,104219756,17,17,0,14,77,558,1081,5,0,0,9845509,2148,465824304,0,558,454,0,3,1,14,14,940,3,466547096,438553428,11808118,26459655,26459655,1,3,1,1375902092,73389,73389,14,14,14,26459659,6,3,85251,155799,294017,3863,466547096,152168,9551980,1472
97770.07,2,253952,62,27372,1802080404,1,4495619,208,3,3,4336,228,1,558,185836,0,13,10741,18,18,99559647,1118,1,1081,0,4,459,33979699,6,135918796,17,17,0,14,77,558,1081,5,0,0,12337731,2244,606133253,0,558,454,0,3,1,14,14,940,3,605609001,570163181,16831861,34481338,34481338,1,3,1,1793029608,73389,73389,14,14,14,34481342,6,3,88178,190436,336988,5063,605609001,185836,12001329,1472
99775.42,2,253952,62,37729,2485180516,1,5504729,297,4,4,4336,269,1,567,256635,0,13,14800,19,18,103206691,1136,1,1081,0,4,459,46928784,6,187650636,18,18,0,14,89,567,1081,5,0,0,17173327,3336,815917981,0,567,461,0,3,1,14,14,940,3,815580769,785104829,22664939,47615656,47615656,1,3,1,2476014144,73389,73389,14,14,14,47615660,6,3,93690,262925,446034,6768,815580769,256635,16728080,1505
101781.39,4,253952,62,48470,3191938202,1,6522826,400,4,4,4336,364,1,576,333339,0,13,19050,19,18,106228435,1154,1,1081,0,4,459,60333680,6,241270120,18,18,0,14,89,576,1081,5,0,0,22173610,6672,1041597136,0,576,471,0,3,1,14,14,940,3,1041042849,1007663603,28694627,61211329,61211329,1,3,1,3182989140,73389,73389,14,14,14,61211333,6,3,115457,341543,556872,8675,1041042849,333339,21617740,1534
103789.23,4,253952,62,59282,3903964310,1,7547356,503,4,4,4336,410,1,585,402884,0,13,23281,19,18,109854068,1172,1,1081,0,4,459,73829861,6,295254996,18,18,0,14,89,585,1081,5,0,0,27162653,8360,1261624365,0,585,478,0,3,1,14,14,940,3,1260981140,1231782091,34707027,74900988,74900988,1,3,1,3894851408,73389,73389,14,14,14,74900992,6,3,119318,412951,650938,10473,1260981140,402884,26512942,1564
105793.72,5,253952,62,65848,4336216312,2,9650035,526,4,4,4336,475,2,585,438806,0,13,25881,19,18,110505632,1172,1,1081,0,4,459,82007855,6,328031420,18,18,0,14,89,585,1081,5,0,0,29768927,8513,1403675489,0,585,478,0,3,1,14,14,940,3,1402670707,1368284928,39416219,83194722,83194722,1,3,1,4326125576,73389,73389,14,14,14,83194726,6,3,123529,449924,695837,11683,1402670707,438806,29074417,1564
107806.49,5,253952,62,75866,4996954684,2,11026439,605,5,5,4336,516,2,603,507912,0,13,29804,19,18,116000506,1208,1,1081,0,4,459,94495317,6,377916648,18,19,0,14,89,603,1081,5,0,0,34385251,18487,1611429630,0,603,495,0,3,1,14,14,940,3,1610754052,1576309735,45417711,95892705,95892705,1,3,1,4985568724,73389,73389,14,14,14,95876325,6,3,132706,520660,794880,13387,1610754052,507912,33591895,1633
109812.77,6,253952,62,86565,5701901006,2,12174322,705,5,5,4336,609,3,603,580082,0,13,34037,19,18,116953720,1208,1,1081,0,4,459,107846491,6,431321024,18,19,0,14,89,603,1081,5,0,0,39272896,30229,1832664359,0,603,495,0,3,1,14,14,940,3,1831352461,1798356147,51461409,109434908,109434908,1,3,1,5690615248,73389,73389,14,14,14,109434912,6,3,135753,594652,889907,15249,1831352461,580082,38384735,1633
111819.81,7,253952,62,97003,6389718300,2,13445073,792,5,5,4336,653,3,603,652306,0,13,38117,19,18,118510234,1208,1,1081,0,4,459,120872833,6,483426776,18,19,0,14,89,603,1081,5,0,0,44023707,32476,2056251529,0,603,495,0,3,1,14,14,940,3,2054360411,2015131777,57483010,122630888,122647272,1,3,1,6376806208,73389,73389,14,14,14,122630892,6,3,142534,668718,986959,17058,2054360411,652306,43038711,1633
113828.12,13,253952,62,107606,7087504414,2,14474215,892,5,5,4336,746,3,603,728235,0,13,42307,19,18,119222128,1208,1,1081,0,4,459,134082804,6,536266432,18,19,0,14,89,603,1081,5,0,0,48988977,47467,2276850962,0,603,495,0,3,1,14,14,940,3,2275117534,2235259418,63478597,136029953,136029953,1,3,1,7073557588,73389,73389,14,14,14,136029957,6,3,146013,746539,1091972,18932,2275117534,728235,47899178,1633
115833.96,14,253952,62,118174,7785651288,2,15750460,985,5,5,4336,792,3,603,795823,0,13,46464,19,18,121924912,1208,1,1081,0,4,459,147306945,6,589227780,18,19,0,14,89,603,1081,5,0,0,53746898,48468,2496787962,0,603,495,0,3,1,14,14,940,3,2494601394,2455141004,69521433,149442355,149458739,1,3,1,7771002492,73389,73389,14,14,14,149442359,6,3,150734,815866,1167128,20717,2494601394,795823,52582164,1633
117838.92,15,253952,62,128791,8483643012,2,17066125,1064,5,5,4336,882,3,603,864226,0,13,50640,19,18,121924912,1208,1,1081,0,4,459,160505398,6,642021592,18,19,0,14,89,603,1081,5,0,0,58422443,50346,2720732045,0,603,495,0,3,1,14,14,940,3,2719400631,2675411683,75512990,162829354,162845738,1,3,1,8467126440,73389,73389,14,14,14,162829358,6,3,154708,886061,1237182,22618,2719400631,864226,57187858,1633
119843.39,15,253952,62,139418,9184486108,2,18592215,1124,5,5,4336,929,3,603,925746,0,13,54808,19,18,121924912,1208,1,1081,0,4,459,173785506,6,695142024,18,19,0,14,89,603,1081,5,0,0,62919541,50419,2940984197,0,603,495,0,3,1,14,14,940,3,2939460260,2895966690,81533490,176332312,176332312,1,3,1,9169280256,73389,73389,14,14,14,176332316,6,3,161571,949153,1311339,24406,2939460260,925746,61610985,1633
