timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
65496.53,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
67501.47,0,253952,62,10024,659189206,0,1388735,0,79,3,3,3286,118,0,558,72012,26,3909,18,11,95770923,1118,1,0,4,507,12309525,6,49173524,17,17,14,62,558,0,0,4496897,89,240266731,0,558,353,3,1,14,14,973,3,240465833,210181701,5870012,12502263,12502263,1,3,1,650117708,73389,73389,14,14,14,12502267,7,3,79578,73635,238717,2042,240465833,72012,4258442,1337
69506.17,0,253952,62,20132,1325657138,0,2871615,0,150,3,3,3286,155,0,558,137550,26,7871,18,11,97930737,1118,1,0,4,507,24961973,6,99847892,17,17,14,62,558,0,0,9042195,187,449586331,0,558,353,3,1,14,14,973,3,449852922,419847670,11913235,25319252,25335636,1,3,1,1316601136,73389,73389,14,14,14,25319256,7,3,82420,140776,306012,3716,449852922,137550,8736642,1337
71510.75,1,253952,62,28066,1847272804,1,4870622,0,202,3,3,3286,233,0,558,185771,26,11005,18,11,98328915,1118,1,0,4,507,34804470,6,139217880,17,17,14,62,558,0,0,12361781,244,620263816,0,558,353,3,1,14,14,973,3,620394809,584293833,17229644,35351849,35351849,1,3,1,1838296180,73389,73389,14,14,14,35351853,7,3,83492,190282,366175,5185,620394809,185771,11996197,1337
73516.11,2,253952,62,36772,2421835132,1,6505811,0,254,4,4,3286,270,0,567,237075,26,14426,19,11,102579259,1136,1,0,4,507,45703761,6,182815044,18,18,14,71,567,0,0,16193561,312,795864040,0,567,361,3,1,14,14,973,3,795706074,765362327,22696209,46391174,46391174,1,3,1,2412341080,73389,73389,14,14,14,46391178,7,3,90515,242955,433999,6614,795706074,237075,15760316,1362
75521.21,3,253952,62,47139,3103792770,1,7826879,0,340,4,4,3286,354,0,567,308834,26,18512,19,11,103870321,1136,1,0,4,507,58625088,6,234500352,18,18,14,71,567,0,0,20899110,458,1017570489,0,567,361,3,1,14,14,973,3,1017997226,979960646,28720353,59513870,59513870,1,3,1,3093017336,73389,73389,14,14,14,59481106,7,3,92512,316542,527022,8474,1017997226,308834,20373062,1362
77526.16,3,253952,62,57438,3783091794,1,9052301,0,416,5,5,3286,396,0,576,375542,26,22553,20,11,107830946,1154,1,0,4,507,71510126,6,286040504,19,19,14,79,576,0,0,25642980,2614,1228824081,0,576,368,3,1,14,14,973,3,1227870892,1193864996,34689951,72566268,72566268,1,3,1,3773445968,73389,73389,14,14,14,72566272,7,3,101151,384870,623011,10184,1227870892,375542,25021143,1385
79530.69,5,253952,62,63943,4211321968,4,12477664,0,435,6,6,3286,460,0,576,409687,26,25122,20,11,109435724,1154,1,0,4,507,79574805,6,318299220,19,20,14,79,576,0,0,28216064,2673,1362134796,0,576,368,3,1,14,14,973,3,1360952056,1329265406,40686715,80761698,80761698,1,3,1,4199608328,73389,73389,14,14,14,80761702,7,3,104122,419931,664232,11316,1360952056,409687,27553107,1385
81535.55,5,253952,62,74141,4883108972,4,13926784,0,493,7,7,3286,532,0,576,477843,26,29145,20,11,110992238,1154,1,0,4,507,92330788,6,369323152,19,21,14,79,576,0,0,32698776,3408,1575830122,0,576,368,3,1,14,14,973,3,1574716332,1540758481,46618162,93697693,93697693,1,3,1,4872280068,73389,73389,14,14,14,93697697,7,3,110490,489695,751242,13106,1574716332,477843,31949011,1385
83539.76,5,253952,62,82563,5438036652,5,16051165,0,547,7,7,3286,580,0,585,527259,26,32454,20,11,114361408,1172,1,0,4,507,102862069,6,411383644,19,21,14,79,585,0,0,36283110,3488,1747219800,0,585,370,3,1,14,14,973,3,1746611702,1715410819,52325312,104364504,104364504,1,3,1,5426954240,73389,73389,14,14,14,104364508,7,3,121984,540303,824307,14514,1746611702,527259,35460434,1407
