timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
211.19,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2214.67,3,253952,62,46699,3075873946,0,0,0,0,60,60,7,121,675,326939,126,91,8927,75,212,140565338,1352,1,0,74,74,70,14,382,675,0,0,0,7244467,1080,898149789,0,549,324,126,2,1,14,14,282,1,954071856,902966890,11023364,69547738,69564122,1,2,1,3060100472,73389,73389,14,14,14,69547738,3,3,436829,332179,2040338,7298,954071856,326939,5204447,2657
4217.58,3,253952,62,70265,4628813918,0,0,0,0,60,60,7,125,675,404987,126,91,15575,75,212,141361694,1352,1,0,74,74,70,14,382,675,0,0,0,11586260,1217,1351076951,0,549,324,126,2,1,14,14,282,1,1407449904,1357017085,21270100,104843514,104865931,1,2,1,4613114616,73389,73389,14,14,14,104843514,3,3,444926,412072,2148911,10757,1407449904,404987,9437873,2657
6220.42,3,253952,62,95535,6293909874,0,0,0,0,60,60,7,129,675,489402,126,91,22685,75,212,141892598,1352,1,0,74,74,70,14,382,675,0,0,0,15674779,1641,1838833616,0,549,324,126,2,1,14,14,282,1,1893989168,1843706008,27303688,142690876,142690876,1,2,1,6278398544,73389,73389,14,14,14,142690876,3,3,445462,498312,2243901,14469,1893989168,489402,13431579,2657
8223.82,3,253952,62,118186,7786329370,0,0,0,0,60,60,7,133,675,568111,126,91,29081,75,212,142423502,1352,1,0,74,74,70,14,382,675,0,0,0,19810731,1722,2274819205,0,549,324,126,2,1,14,14,282,1,2330065712,2279991979,40895375,176606522,176606522,1,2,1,7770686968,73389,73389,14,14,14,176606522,3,3,453911,579132,2366111,17796,2330065712,568111,17445488,2657
10226.87,3,253952,62,142336,9377518234,0,0,0,0,60,60,7,137,675,650169,126,91,35888,75,212,142942340,1352,1,0,74,74,70,14,382,675,0,0,0,23982148,1837,2737801303,0,549,324,126,2,1,14,14,282,1,2794453808,2745164200,49450216,212754266,212770650,1,2,1,9361187704,73389,73389,14,14,14,212754266,3,3,455728,663296,2471481,21339,2794453808,650169,21511711,2657
12230.25,3,253952,62,166237,10952329714,0,0,0,0,60,60,7,141,675,736272,126,91,42626,75,212,144004148,1352,1,0,74,74,70,14,382,675,0,0,0,28242952,1914,3196431028,0,549,324,126,2,1,14,14,282,1,3254094800,3205364207,55373899,248561820,248578204,1,2,1,10936720080,73389,73389,14,14,14,248561820,3,3,455869,751741,2583950,24849,3254094800,736272,25660223,2657
14234.41,3,253952,62,190173,12529493874,0,0,0,0,60,60,7,145,675,822335,126,91,49373,75,212,144535052,1352,1,0,74,74,70,14,382,675,0,0,0,32636978,1932,3658499551,0,549,324,126,2,1,14,14,282,1,3714812880,3666395699,61543273,284398268,284414652,1,2,1,12513523792,73389,73389,14,14,14,284398268,3,3,459192,840107,2702340,28364,3714812880,822335,29936033,2657
16238.04,3,253952,62,213982,14098334962,0,0,0,0,60,60,7,149,675,910593,126,91,56087,75,212,145065956,1352,1,0,74,74,70,14,382,675,0,0,0,36986340,2063,4117423315,0,549,324,126,2,1,14,14,282,1,4173040592,4124991899,72715416,320062684,320079068,1,2,1,14082758096,73389,73389,14,14,14,320062684,3,3,463880,930697,2831892,31860,4173040592,910593,34156012,2657
18241.85,3,253952,62,237985,15679890034,0,0,0,0,60,60,7,153,675,1000168,126,91,62828,75,212,145596860,1352,1,0,74,74,70,14,382,675,0,0,0,41297472,2175,4580542271,0,549,324,126,2,1,14,14,282,1,4635200464,4587311386,91294444,356013820,356013820,1,2,1,15664608080,73389,73389,14,14,14,356013820,3,3,472496,1022491,2960630,35386,4635200464,1000168,38338581,2657
