event,value,description
RecomputeWeight,3907,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,8303949,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,1824,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,459,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,459,"Same as Query, but only for SELECT queries."
InitialQuery,459,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1138,Count queries with all subqueries
SelectQueriesWithSubqueries,1138,Count SELECT queries with all subqueries
QueryTimeMicroseconds,12590620599,Total time of all queries.
SelectQueryTimeMicroseconds,12590620599,Total time of SELECT queries.
FileOpen,1412,Number of files opened.
Seek,72445,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,1137762,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,4047114028000,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,3997599639616,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,199182525,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,13124586102748,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,271759,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1268,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,257131,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,550810,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,62808881439,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,29184,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,119537664,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,67168201,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,272822,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,22,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,908,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,916,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,273053,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,2675945733,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,15609,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,66458,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,499463,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,535892,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1140,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,338200,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,578306,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,32495,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,15034364,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,31447,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,31299,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,4984343,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,511639459,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,32362954,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,550531064386,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,628688522,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
