event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,864687,864687,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,119537664,119537664,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,29184,29184,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,2089027,2089027,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,3,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,53,53,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2944,210271,207327,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,32,466,434,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,31228,31228,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,90,199240522,199240432,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,4224850,13128459136754,13128454911904,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,29043,29043,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,42706477062,42706477062,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,1172308,1172308,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,29043,29043,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,29043,29043,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,34104101468,34104101468,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,0,456,456,Total number of query slots acquired
ConcurrentQueryWaitMicroseconds,0,32569,32569,Total time a query was waiting for a query slots
ContextLock,1872,792113,790241,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,2,162615,162613,Context lock wait time in microseconds
CreatedReadBufferOrdinary,187,273197,273010,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,691127,5604462982,5603771855,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,15,15,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,0,16177105,16177105,Number of dequeues invoked at all FairPolicyNodes
FileOpen,236,834,598,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,4828,4828,Time spent filtering parts by PK.
FunctionExecute,0,67168201,67168201,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,655,1242,587,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,7971527,12719143,4747616,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,708,23187,22479,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,586,552770,552184,Total time threads have spent waiting for locks in the global thread pool.
