event,value,description
RecomputeWeight,8817,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,38839527,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,24764,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,1938,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1938,"Same as Query, but only for SELECT queries."
InitialQuery,1938,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,4802,Count queries with all subqueries
SelectQueriesWithSubqueries,4802,Count SELECT queries with all subqueries
FailedQuery,46342,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,46342,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,409767844517,Total time of all queries.
SelectQueryTimeMicroseconds,409767844517,Total time of SELECT queries.
FileOpen,2266,Number of files opened.
Seek,289762,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,3256305,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,17130228572682,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,61,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,16902950747637,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,842411828,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,55508517620036,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,1150608,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1926,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,11612695,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,2464015,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,410982752630,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,123520,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,505937920,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
