event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,6556,11564,5008,Total time spent analyzing index of patch parts
ArenaAllocBytes,46219264,90660864,44441600,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,11284,22134,10850,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,150,150,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,18651,19801,1150,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,177,179,2,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,59649,59649,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,81078069,158186624,77108555,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,5341395418509,10421244014915,5079848596406,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,8109,17378,9269,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,11751002098,26270536529,14519534431,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,311231,614368,303137,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,315331,625028,309697,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,8109,17378,9269,Total number of CPU slots acquired
ConcurrencyControlUpscales,8109,17378,9269,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,9516866994,18236274777,8719407783,Total time a query was waiting on resource requests for CPU slots.
ContextLock,637529,1324521,686992,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,17691,56971,39280,Context lock wait time in microseconds
CreatedReadBufferOrdinary,246007,452530,206523,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,625439209,1253773062,628333853,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
