timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5061.44,21,262144,64,23348,1538411804,112,0,603,2833159,30,2863,60,68,556981,127985460,1208,1,67,3888,3307137,3,734905,603,15436,45243296,5471203,25838921,502725960,603,1725,2,1,4,4,729,1,500391948,453130839,43501513,34617999,34617999,2,1,1523191956,73389,73389,4,4,4,34617999,18,3,217377,23926015,1661752,24131,3820,500391948,2809028,3810245,14370
10128.97,21,262144,64,29278,1929163900,113,0,603,2920182,30,4532,60,68,556981,128250912,1208,1,67,4761,3400347,3,734905,603,18932,64090512,7505029,31318704,617684521,603,1725,2,1,4,4,729,1,614817804,567395449,68734728,43497239,43497239,2,1,1913878516,73389,73389,4,4,4,43497239,18,3,232836,26732023,1815226,27946,4693,614817804,2892236,5691400,14370
15184.47,21,262144,64,34670,2284392176,114,0,603,3005660,30,6057,60,68,556981,128250912,1208,1,67,5552,3539179,3,734905,603,22096,65589584,10588128,38681953,721847682,603,1725,2,1,4,4,729,1,718495756,671172465,102767741,51559438,51575822,2,1,2268615272,73389,73389,4,4,4,51559438,18,3,244207,29844354,1926531,31713,5484,718495756,2973947,8663242,14370
20211.83,21,262144,64,39946,2632018276,115,0,603,3096869,30,7523,60,68,556981,128250912,1208,1,67,6327,3643573,3,734905,603,25200,67064848,11837710,43718495,824037128,603,1725,2,1,4,4,729,1,820207628,772813229,127080520,59465989,59482373,2,1,2616503516,73389,73389,4,4,4,59465989,18,3,247422,32843007,2012258,46858,6260,820207628,3050011,9827935,14370
25225.21,21,262144,64,44654,2942419928,115,0,603,3168857,30,8837,60,68,556981,128516364,1208,1,67,7021,3818401,3,734905,603,27972,68379664,13982411,50218886,915300130,603,1725,2,1,4,4,729,1,911040524,863546915,166373292,66520572,66536956,2,1,2926905168,73389,73389,4,4,4,66520572,18,3,254495,36015103,2104458,49540,6953,911040524,3119317,11880779,14370
30357.88,21,262144,64,49074,3233416308,116,0,603,3234621,30,10099,60,68,556981,128516364,1208,1,67,7670,3930146,3,734905,603,30572,69613968,15566349,55907530,1000904534,603,1725,2,1,4,4,729,1,996237324,948709823,213199778,73145297,73145297,2,1,3218393068,73389,73389,4,4,4,73145297,18,3,257656,38951350,2187900,52157,7603,996237324,3182464,13381746,14370
35389.57,21,262144,64,53895,3551223528,117,0,603,3306322,30,11468,60,68,556981,128769750,1208,1,67,8378,4057681,3,734905,603,33400,70956752,19337468,64548536,1094011176,603,1725,2,1,4,4,729,1,1088905228,1041533713,280464788,80363720,80380104,2,1,3536003680,73389,73389,4,4,4,80363720,18,3,266862,42013476,2318527,54964,8310,1088905228,3251358,17022207,14370
40776.44,21,262144,64,58150,3831671920,118,0,603,3372923,30,12639,60,68,556981,129035202,1208,1,67,9004,4200458,3,734905,603,35912,89645792,21944250,72871001,1176596628,603,1725,2,1,4,4,729,1,1171087372,1123605949,327785878,86732334,86748718,2,1,3816222696,73389,73389,4,4,4,86732334,18,3,270938,45285740,2413710,57492,8937,1171087372,3315431,19533556,14370
46026.93,21,262144,64,62599,4124834296,118,0,603,3445113,30,13897,60,68,556981,129035202,1208,1,67,9659,4433132,3,734905,603,38528,90886496,24278383,80511015,1262725969,603,1725,2,1,4,4,729,1,1256808460,1209326630,370628316,93404052,93420436,2,1,4109778288,73389,73389,4,4,4,93404052,18,3,274273,48479254,2512223,60090,9591,1256808460,3385023,21769741,14370
51355.12,21,262144,64,66595,4388043412,119,0,603,3510234,30,15012,60,68,556981,129035202,1208,1,67,10245,4553618,3,734905,603,40872,92001312,26084406,89229342,1339897740,603,1725,2,1,4,4,729,1,1333616652,1286267102,449779660,99373417,99389801,2,1,4372430348,73389,73389,4,4,4,99373417,18,3,278009,52007831,2593224,62384,10177,1333616652,3447850,23494298,14370
56432.65,21,262144,64,70865,4669474844,120,0,603,3578528,30,16259,60,68,556981,129300654,1208,1,67,10872,4779218,3,734905,603,43380,93193824,28991682,99020307,1422473357,603,1725,2,1,4,4,729,1,1415798796,1368525314,522188609,105782991,105782991,2,1,4653730708,73389,73389,4,4,4,105766607,18,3,289755,55081890,2729516,65272,10804,1415798796,3513256,26265519,14370
61500.09,21,262144,64,74615,4916562104,120,0,603,3644249,30,17284,60,68,556981,129300654,1208,1,67,11423,4977005,3,734905,603,45588,94237920,31363336,106966576,1495180255,603,1725,2,1,4,4,729,1,1488150540,1440730771,589419575,111400100,111400100,2,1,4901604400,73389,73389,4,4,4,111400100,18,3,299975,58079429,2825267,67538,11356,1488150540,3576711,28542043,14370
