timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.73,8,262144,64,52059,3430103076,117,0,603,790468,36,4,10913,69,290,128516364,1208,1,68,8109,30997,4,673,603,32344,117797992,13583327,608075,1057983533,567,1112,36,2,1,4,4,278,1,1053646860,1006161059,27526592,77609493,77625877,2,1,3414817692,73389,73389,4,4,4,77609493,9,3,409959,1936446,2894020,17850,8041,1053646860,772618,10689409,8167
10020.23,8,262144,64,85566,5637963168,122,0,603,1195417,36,4,20370,69,290,129566106,1208,1,68,13031,46635,4,673,603,52040,177762792,21921358,1001935,1705633629,567,1112,36,2,1,4,4,278,1,1698652172,1651657332,54196667,127778450,127794834,2,1,5622251800,73389,73389,4,4,4,127778450,9,3,433882,2985049,3119330,24977,12963,1698652172,1170440,18802725,8167
15069.54,8,262144,64,96728,6373457780,124,0,603,1373857,36,4,23531,69,290,129831558,1208,1,68,14673,97059,4,673,603,58612,180865256,25891031,5735785,1921911133,567,1112,36,2,1,4,4,278,1,1914003468,1866648216,115583299,144506897,144506897,2,1,6358303468,73389,73389,4,4,4,144506897,9,3,445485,5398326,3366961,31478,14605,1914003468,1342379,22526894,8167
20076.99,8,262144,64,103549,6823133356,125,0,603,1499004,36,4,25448,69,290,130097010,1208,1,68,15673,183273,4,673,603,62612,182750760,30332587,12816570,2053584509,567,1112,36,2,1,4,4,278,1,2045075468,1998077979,154054090,154717115,154733499,2,1,6807553060,73389,73389,4,4,4,154717115,9,3,448199,8203968,3518069,36049,15606,2045075468,1462955,26816265,8167
25104.50,8,262144,64,109596,7221287712,126,0,603,1606722,36,4,27150,69,290,130097010,1208,1,68,16560,278617,4,673,603,66168,218867816,33516575,19023485,2170386692,567,1112,36,2,1,4,4,278,1,2161336332,2114439989,185950151,163778738,163778738,2,1,7206264472,73389,73389,4,4,4,163778738,9,3,451113,10787405,3619071,40324,16492,2161336332,1566398,29899661,8167
30117.78,8,262144,64,121767,8023439052,128,0,603,1813680,36,4,30581,69,290,130362462,1208,1,68,18349,335137,4,673,603,73324,222248808,40958248,26143916,2405874223,567,1112,36,2,1,4,4,278,1,2395824140,2348925323,296443836,182010195,182010195,2,1,8007727684,73389,73389,4,4,4,181993811,9,3,462552,12975271,3895806,48466,18281,2395824140,1765214,37064506,8167
35139.97,8,262144,64,140821,9278798296,131,2,603,2051784,36,4,35934,69,290,130893366,1208,1,68,21149,354846,4,673,603,84524,227309992,48755393,27671683,2774377999,567,1112,36,2,1,4,4,278,1,2762825740,2715901115,355113361,210529916,210546300,2,1,9263316304,73389,73389,4,4,4,210529916,9,3,478145,13972074,4099881,60537,21081,2762825740,1991247,44658676,8167
40150.57,8,262144,64,153616,10122121618,134,2,603,2243766,36,4,39572,69,290,131424270,1208,1,68,23030,432570,4,673,603,92048,230871400,54998572,33860915,3021969288,567,1112,36,2,1,4,4,278,1,3009372172,2962431556,417278121,229693102,229709486,2,1,10106496488,73389,73389,4,4,4,229693102,9,3,502474,16209872,4396294,67103,22962,3009372172,2176663,50605637,8167
45155.34,8,262144,64,166930,10999446058,136,2,603,2447644,36,4,43319,69,290,131689722,1208,1,68,24984,501198,4,673,603,99864,251344032,61312610,40430596,3279040002,567,1112,36,2,1,4,4,278,1,3265355788,3218860057,472018031,249634528,249650912,2,1,10983919232,73389,73389,4,4,4,249634528,9,3,517990,18443766,4698453,74225,24916,3265355788,2373419,56617283,8167
50161.52,8,262144,64,198853,13102176482,142,2,603,2827392,36,4,52319,69,290,132486078,1208,1,68,29673,502412,4,673,603,118628,276945840,72042096,41277576,3895652997,567,1112,36,2,1,4,4,278,1,3879491102,3833585058,501695503,297426090,297442474,2,1,13086747960,73389,73389,4,4,4,297426090,9,3,543693,19181996,4914922,81604,29605,3879491102,2745788,67130013,8167
