timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5187.83,42,262144,64,24106,1588353544,112,2,603,684337,29,3064,41,68,2,24644,127985460,1208,1,67,4002,866185,3,378352,603,15902,62741304,6728488,23606804,517849950,603,2086,2,1,4,4,1049,1,515465228,467704045,45018657,35754528,35754528,2,1,1573199232,73389,73389,4,4,4,35754528,24,1,3,285345,23986686,2574880,35442,3935,515465228,648895,4154025,51621
10232.59,42,262144,64,28655,1888069520,113,2,603,760441,29,4320,41,68,2,24644,128250912,1208,1,67,4670,1025414,3,378352,603,18570,64011832,9205711,30498839,605693105,603,2086,2,1,4,4,1049,1,602890252,555329068,72906662,42557318,42573702,2,1,1872521992,73389,73389,4,4,4,42557318,24,1,3,307681,27145669,2737875,38165,4602,602890252,722276,6468590,51621
15257.51,42,262144,64,32681,2153510168,113,2,603,823791,29,5460,41,68,2,24644,128250912,1208,1,67,5263,1180509,3,378352,603,20942,65139960,10435636,35824027,683798170,603,2086,2,1,4,4,1049,1,680615948,632917146,101796199,48590060,48606444,2,1,2137962640,73389,73389,4,4,4,48590060,24,1,3,313872,30028345,2809617,40638,5195,680615948,783153,7626829,51621
20396.02,42,262144,64,37612,2478260896,114,2,603,900572,29,6863,41,68,2,24644,128250912,1208,1,67,5984,1472235,3,378352,603,23826,66506296,12106022,41377899,778749364,603,2086,2,1,4,4,1049,1,775118860,727795303,141167611,55974482,55990866,2,1,2462877208,73389,73389,4,4,4,55974482,24,1,3,322741,33063327,2899285,43484,5916,775118860,857088,9208456,51621
25437.99,42,262144,64,42790,2819464468,115,2,603,978232,29,8327,41,68,2,24644,128516364,1208,1,67,6747,1604085,3,378352,603,26878,67951544,15136589,48371456,879231008,603,2086,2,1,4,4,1049,1,875126796,827645723,199360472,63733577,63733577,2,1,2803556492,73389,73389,4,4,4,63717193,24,1,3,331631,35983605,3007519,47076,6679,875126796,931156,12130672,51621
30523.17,42,262144,64,48697,3208443784,116,2,603,1068703,29,9995,41,68,2,24644,128516364,1208,1,67,7614,1760499,3,378352,603,30350,69593592,17056997,53916956,993530314,603,2086,2,1,4,4,1049,1,988897292,941405247,226579077,72565824,72582208,2,1,3192896256,73389,73389,4,4,4,72565824,24,1,3,338096,39162585,3119171,50170,7547,988897292,1018533,13939910,51621
35611.15,42,262144,64,53968,3556007656,117,2,603,1158876,29,11484,41,68,2,24644,128769750,1208,1,67,8389,1889517,3,378352,603,33450,71062648,18960934,59652669,1095589794,603,2086,2,1,4,4,1049,1,1090478092,1042991891,248571749,80478408,80478408,2,1,3541049952,73389,73389,4,4,4,80478408,24,1,3,343300,42376911,3220574,61645,8322,1090478092,1097231,15742358,51621
40646.84,42,262144,64,59236,3903109468,118,2,603,1244943,29,12980,41,68,2,24644,129035202,1208,1,67,9163,2042967,3,378352,603,36542,72524088,21029410,66503396,1197384229,603,2086,2,1,4,4,1049,1,1191796748,1144428409,311731623,88360383,88376767,2,1,3887856852,73389,73389,4,4,4,88360383,24,1,3,348580,45473405,3325240,64748,9095,1191796748,1180195,17706212,51621
45883.80,42,262144,64,64153,4226942692,119,2,603,1366436,29,14375,41,68,2,24644,129035202,1208,1,67,9886,2183901,3,378352,603,39438,73900216,23914756,73738097,1292729368,603,2086,2,1,4,4,1049,1,1286692876,1239192412,397437594,95712037,95728421,2,1,4211329628,73389,73389,4,4,4,95712037,24,1,3,354927,48584104,3431236,111377,9819,1286692876,1255059,20485602,51621
50920.17,42,262144,64,68561,4517418092,119,2,603,1440360,29,15576,41,68,2,24644,129035202,1208,1,67,10534,2410843,3,378352,603,42026,75124152,26301110,80585371,1377939913,603,2086,2,1,4,4,1049,1,1371496460,1324070506,469524040,102318219,102334603,2,1,4502001636,73389,73389,4,4,4,102318219,24,1,3,361745,51648383,3509824,113953,10466,1371496460,1326407,22793445,51621
55940.93,42,262144,64,73027,4811960032,120,2,603,1511316,29,16850,41,68,2,24644,129300654,1208,1,67,11191,2552166,3,378352,603,44654,76372152,28378759,87012509,1464468122,603,2086,2,1,4,4,1049,1,1457610764,1410145094,560652036,109012354,109028738,2,1,4796543576,73389,73389,4,4,4,109012354,24,1,3,367737,54367137,3620205,116650,11123,1457610764,1394666,24760894,51621
61061.04,42,262144,64,77855,5129960552,121,2,603,1582788,29,18221,41,68,2,24644,129300654,1208,1,67,11899,2669469,3,378352,603,47490,77720056,30624908,93630456,1557841656,603,2086,2,1,4,4,1049,1,1550540812,1503176157,585140345,116232936,116249320,2,1,5114249184,73389,73389,4,4,4,116232936,24,1,3,374125,57536158,3731429,119382,11832,1550540812,1463406,26896308,51621
67268.13,42,262144,64,82992,5468477148,122,2,603,1672442,29,19658,41,68,2,24644,129566106,1208,1,67,12652,2822719,3,378352,603,50498,79156152,33583304,103179621,1656878961,603,2086,2,1,4,4,1049,1,1649106956,1602089657,671987344,123942879,123942879,2,1,5452765780,73389,73389,4,4,4,123926495,24,1,3,387338,61619525,3859803,123407,12584,1649106956,1549035,29726840,51621
72503.79,42,262144,64,87574,5770355812,123,2,603,1746462,29,20923,41,68,2,24644,129566106,1208,1,67,13327,2963956,3,378352,603,53198,80438328,35563306,111402070,1745773005,603,2086,2,1,4,4,1049,1,1737580556,1690326139,716132601,130803013,130803013,2,1,5755332572,73389,73389,4,4,4,130803013,24,1,3,391790,64807640,3929422,126193,13259,1737580556,1620269,31636345,51621
77548.06,42,262144,64,92248,6078263788,123,2,603,1825245,29,22250,41,68,2,24644,129566106,1208,1,67,14015,3143690,3,378352,603,55950,81745720,37270685,117200853,1836378501,603,2086,2,1,4,4,1049,1,1827758092,1780300157,737059495,137802411,137802411,2,1,6063306084,73389,73389,4,4,4,137802411,24,1,3,396886,67991899,4013918,132192,13947,1827758092,1693053,33259723,51621
82679.93,42,262144,64,96337,6347833204,124,3,603,1897976,29,23416,41,68,2,24644,129831558,1208,1,67,14615,3580886,3,378352,603,58354,82883960,40171494,126891166,1915535408,603,2086,2,1,4,4,1049,1,1906532364,1859121924,811926588,143917073,143933457,2,1,6332351212,73389,73389,4,4,4,143917073,24,1,3,404226,71122029,4127427,134711,14548,1906532364,1763265,36046124,51621
87731.46,42,262144,64,100702,6635490556,125,3,603,1972823,29,24673,41,68,2,24644,130097010,1208,1,67,15254,3743901,3,378352,603,60906,84096376,42031000,135025434,1999563846,603,2086,2,1,4,4,1049,1,1990156300,1943189416,850982158,150465911,150465911,2,1,6620500084,73389,73389,4,4,4,150465911,24,1,3,410158,74450780,4191594,137461,15186,1990156300,1835362,37841553,51621
92797.36,42,262144,64,104782,6904470148,125,3,603,2040208,29,25784,41,68,2,24644,130097010,1208,1,67,15855,3975447,3,378352,603,63310,85240376,43969567,140874775,2078719192,603,2086,2,1,4,4,1049,1,2068930572,2021820294,887016820,156564189,156580573,2,1,6888824316,73389,73389,4,4,4,156564189,24,1,3,416124,77913084,4269496,139949,15788,2068930572,1900259,39702784,51621
97848.22,42,262144,64,109479,7213620000,126,3,603,2114112,29,27118,41,68,2,24644,130097010,1208,1,67,16543,4170509,3,378352,603,66066,86551096,47294283,151428147,2169456023,603,2086,2,1,4,4,1049,1,2159239180,2112138764,950373399,163598514,163614898,2,1,7198334616,73389,73389,4,4,4,163598514,24,1,3,425880,81316216,4378796,142866,16476,2159239180,1971246,42918721,51621
103428.15,42,262144,64,113600,7485286568,127,3,603,2183523,29,28292,41,68,2,24644,130362462,1208,1,67,17151,4419546,3,378352,603,68494,87705656,49268254,159152902,2249397499,603,2086,2,1,4,4,1049,1,2238799884,2191678991,1129087388,169762328,169778712,2,1,7469542432,73389,73389,4,4,4,169762328,24,1,3,430144,84871171,4470395,145460,17083,2238799884,2038063,44800462,51621
108533.77,42,262144,64,118620,7815870000,128,3,603,2261803,29,29719,41,68,2,24644,130362462,1208,1,67,17885,4547615,3,378352,603,71434,89098040,51038522,165963139,2346199133,603,2086,2,1,4,4,1049,1,2335137804,2288248007,1160006181,177294206,177294206,2,1,7800945064,73389,73389,4,4,4,177294206,24,1,3,434420,88243642,4558705,148178,17818,2335137804,2113625,46482398,51621
113572.36,42,262144,64,123756,8154586512,129,4,603,2346357,29,31176,41,68,2,24644,130627914,1208,1,67,18642,4653484,3,378352,603,74462,107484184,53244177,172676727,2445762534,603,2086,2,1,4,4,1049,1,2434228236,2387287289,1191519499,184977414,184993798,2,1,8139006216,73389,73389,4,4,4,184977414,24,1,3,443188,91124303,4682178,151034,18574,2434228236,2195323,48564807,51621
118611.91,42,262144,64,130040,8568538352,130,5,603,2441157,29,32948,41,68,2,24644,130627914,1208,1,67,19564,4713591,3,378352,603,78150,109226264,57862482,181585186,2567171884,603,2086,2,1,4,4,1049,1,2555076620,2508357134,1277766337,194389134,194405518,2,1,8553121896,73389,73389,4,4,4,194389134,24,1,3,457430,94097533,4864517,154444,19496,2555076620,2286713,53000711,51621
123621.42,42,262144,64,145000,9554278018,132,5,603,2668338,29,37106,41,68,2,24644,131158818,1208,1,67,21761,4778154,3,378352,603,86942,130136656,63782530,186265608,2856335936,603,2086,2,1,4,4,1049,1,2843041804,2796467364,1360624096,216783842,216800226,2,1,9538489048,73389,73389,4,4,4,216783842,24,1,3,478561,96074910,5165081,161365,21693,2843041804,2506973,58619861,51621
128632.25,42,262144,64,167078,11009145386,136,5,603,3007899,29,43322,41,68,2,24644,131689722,1208,1,67,25005,4793898,3,378352,603,99922,153295192,75431849,188000761,3283288134,603,2086,2,1,4,4,1049,1,3268239372,3221737775,1393789537,249863904,249863904,2,1,10994011776,73389,73389,4,4,4,249863904,24,1,3,501891,97078919,5613103,169688,24937,3268239372,2838211,69821031,51621
133639.87,42,262144,64,189722,12500581842,140,5,603,3346064,29,49762,41,68,2,24644,132220626,1208,1,67,28332,4799797,3,378352,603,113238,210589344,84542439,188867719,3720493648,603,2086,2,1,4,4,1049,1,3703592478,3657644484,1416009039,283763166,283763166,2,1,12485579304,73389,73389,4,4,4,283763166,24,1,3,510781,97980209,5937685,177670,28264,3703592478,3168394,78606625,51621
138647.94,42,262144,64,213689,14079777618,144,5,603,3707350,29,56474,41,68,2,24644,132751530,1208,1,67,31851,4804752,3,378352,603,127318,217011808,95804364,189911898,4183760831,603,2086,2,1,4,4,1049,1,4164965918,4119362818,1455364984,319640574,319656958,2,1,14064185256,73389,73389,4,4,4,319640574,24,1,3,537837,98904396,6367837,185621,31783,4164965918,3521729,89439331,51621
143655.96,42,262144,64,237553,15652488638,148,6,603,4057313,29,63203,41,68,2,24644,133547886,1208,1,67,35357,4809796,3,378352,603,141346,240330072,106784482,190518461,4645194121,603,2086,2,1,4,4,1049,1,4624504350,4578970547,1510106702,355392943,355409327,2,1,15637289492,73389,73389,4,4,4,355392943,24,1,3,562749,99735976,6702108,194040,35289,4624504350,3863273,100083294,51621
