event,value,description
RecomputeWeight,604,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,1964884,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,2340,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,1295,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1295,"Same as Query, but only for SELECT queries."
InitialQuery,1295,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,3221,Count queries with all subqueries
SelectQueriesWithSubqueries,3221,Count SELECT queries with all subqueries
QueryTimeMicroseconds,5082355834,Total time of all queries.
SelectQueryTimeMicroseconds,5082355834,Total time of SELECT queries.
FileOpen,5034,Number of files opened.
Seek,14122,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,121348,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1206763487534,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,59,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,1142269015065,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,56972944,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3735335347826,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,902560,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,4947,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,687242,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1827920,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,170786299160,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,80042,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,327852032,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,19341189,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,907177,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,77,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,9025,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,9049,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
