event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,36726,40033,3307,Total time spent analyzing index of patch parts
ArenaAllocBytes,30728192,327852032,297123840,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,7502,80042,72540,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,144,144,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,4057,10303,6246,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,47,102,55,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,132750,132750,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,5386442,56972944,51586502,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,353149339864,3735335347826,3382186007962,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,40600,40600,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,13869620662,13869620662,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,125041,125041,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,40600,40600,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,40600,40600,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,4460824347,4460824347,Total time a query was waiting on resource requests for CPU slots.
ContextLock,40155,404495,364340,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,15408,18501,3093,Context lock wait time in microseconds
CreatedReadBufferOrdinary,78861,907527,828666,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
