event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,0,36726,36726,Total time spent analyzing index of patch parts
ArenaAllocBytes,0,30728192,30728192,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,0,7502,7502,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,144,144,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,2108,4057,1949,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,38,47,9,Time spent resetting task for Common executor.
CompileExpressionsBytes,0,16384,16384,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,0,132750,132750,Total time spent for compilation of expressions to LLVM code.
CompileFunction,0,2,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,43,5386442,5386399,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,291100,353149339864,353149048764,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ContextLock,1378,40111,38733,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1,15408,15407,Context lock wait time in microseconds
CreatedReadBufferOrdinary,196,78861,78665,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,287686,433024916,432737230,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
FileOpen,253,769,516,Number of files opened.
FilteringMarksWithPrimaryKeyMicroseconds,0,1960,1960,Time spent filtering parts by PK.
FunctionExecute,0,1872529,1872529,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,660,1842,1182,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,939015,22651968,21712953,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,692,9853,9161,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,147,766209,766062,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,0,198,198,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,29692,8006610,7976918,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,21,20,Number of created server HTTP connections
HTTPServerConnectionsExpired,0,2,2,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,0,120,120,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,0,1,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,0,102,102,Number of reused server HTTP connections
IOBufferAllocBytes,19781471,14942779460,14922997989,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,290,158836,158546,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,123,122,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,250,127152,126902,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,0,146392,146392,Number of bytes sent through HTTP interfaces
