event,value,description
RecomputeWeight,117,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,402803,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,104,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,3689,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,3689,"Same as Query, but only for SELECT queries."
InitialQuery,3689,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,3846,Count queries with all subqueries
SelectQueriesWithSubqueries,3846,Count SELECT queries with all subqueries
QueryTimeMicroseconds,4586332366,Total time of all queries.
SelectQueryTimeMicroseconds,4586332366,Total time of SELECT queries.
FileOpen,2364,Number of files opened.
Seek,86095,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,668947,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,939085839731,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,929026199895,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,43233348,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2857212647772,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,92283,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,2217,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,298333,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,246864,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,43191548150,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,37472,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,91140960256,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
