event,start_value,end_value,diff,description
AggregationHashTablesInitializedAsTwoLevel,1178,1240,62,How many hash tables were inited as two-level for aggregation.
AggregationPreallocatedElementsInHashTables,233943422,246388992,12445570,How many elements were preallocated in hash tables for aggregation.
AnalyzePatchRangesMicroseconds,224276,224278,2,Total time spent analyzing index of patch parts
ArenaAllocBytes,91140960256,95697551360,4556591104,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,37472,38997,1525,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,160,160,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,4,4,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,54,54,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,17462,17462,0,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,149,149,0,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,57343,57343,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,43233348,43286000,52652,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2857212647772,2861120843943,3908196171,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,3234,3296,62,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,979565535,979573610,8075,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptionResumes,19945,19966,21,Total number of CPU preemption resumed
ConcurrencyControlPreemptions,19945,19966,21,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,3234,3296,62,Total number of CPU slots acquired
ConcurrencyControlUpscales,3234,3296,62,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,513672311,513732817,60506,Total time a query was waiting on resource requests for CPU slots.
ContextLock,521043,521987,944,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1741770,1741770,0,Context lock wait time in microseconds
CreatedReadBufferOrdinary,94520,95543,1023,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1232946324,1233507090,560766,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,10,10,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,402803,405337,2534,Number of dequeues invoked at all FairPolicyNodes
FileOpen,2364,2411,47,Number of files opened.
FilterTransformPassedBytes,354444455,367407390,12962935,Number of bytes that passed the filter in the query
FilterTransformPassedRows,945631,992740,47109,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,2333,2368,35,Time spent filtering parts by PK.
FunctionExecute,16201751,16208401,6650,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,2153,2153,0,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,24267764,24296192,28428,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,35139,35612,473,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,1344781,1345838,1057,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,516,516,0,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,11216890,11216890,0,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,3623,3627,4,Number of created server HTTP connections
HTTPServerConnectionsExpired,3578,3581,3,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,121,122,1,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,3567,3570,3,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,110,111,1,Number of reused server HTTP connections
HashJoinPreallocatedElementsInHashTables,396047104,418047104,22000000,How many elements were preallocated in hash tables for hash join.
IOBufferAllocBytes,43191548150,43442267711,250719561,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,246864,248956,2092,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,3689,3693,4,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,1149655,1151612,1957,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,68041522,70877378,2835856,Number of bytes sent through HTTP interfaces
JoinBuildTableRowCount,1641277736,1723341613,82063877,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,827653,829093,1440,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,34045649801,34298513886,252864085,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,799,813,14,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,119495983244,119673108786,177125542,Total number of rows in the result of a JOIN operation.
LoadedDataParts,31,31,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,14480,14480,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,852736,852736,0,Number of marks loaded (total across columns).
LoadedMarksFiles,125,125,0,Number of mark files loaded.
LoadedMarksMemoryBytes,3798648,3798648,0,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,255937084366,255975048364,37963998,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,30862,31331,469,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,26131924,26187724,55800,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,32429,32898,469,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,1396308,1402623,6315,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,30814,31283,469,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,18165978,18167836,1858,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogError,2,2,0,Number of log messages with level Error
LogInfo,48,48,0,Number of log messages with level Info
LogWarning,2,2,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,1259198,1259198,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,93994,95017,1023,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,125,125,0,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryWorkerRun,86095,86117,22,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,5816342,5818538,2196,Total time spent by MemoryWorker for background work
MergerMutatorPartsInRangesForMergeCount,1418,1418,0,Amount of candidate parts for merge
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1927,1927,0,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorRangesForMergeCount,367,367,0,Amount of candidate ranges for merge
MergerMutatorSelectPartsForMergeElapsedMicroseconds,4059,4059,0,Time spent to select parts from ranges which can be merged.
MergerMutatorsGetPartsForMergeElapsedMicroseconds,17794,17794,0,Time spent to take data parts snapshot to build ranges from them.
MergingSortedMilliseconds,19093,19108,15,Total time spent while merging sorted columns
NetworkReceiveBytes,1149655,1151612,1957,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveElapsedMicroseconds,61852,61883,31,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,68041522,70877378,2835856,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,751741,753172,1431,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
OSCPUVirtualTimeMicroseconds,20372712070,20400232072,27520002,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSCPUWaitMicroseconds,47751666711,47751776465,109754,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSReadChars,938166085222,940172452922,2006367700,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,29504,29536,32,"Number of bytes written to filesystem, including page cache, as well as network and other files."
OpenedFileCacheHits,92283,93259,976,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMicroseconds,298333,298663,330,Amount of time spent executing OpenedFileCache methods.
OpenedFileCacheMisses,2217,2264,47,"Number of times a file has been found in the opened file cache, so we had to open it again."
PartsLockHoldMicroseconds,12566,12568,2,Total time spent holding data parts lock in MergeTree tables
PartsLocks,370,375,5,Number of times data parts lock has been acquired for MergeTree tables
QueriesWithSubqueries,3846,3851,5,Count queries with all subqueries
Query,3689,3693,4,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
QueryConditionCacheHits,910,917,7,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,1002,1009,7,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryPlanOptimizeMicroseconds,2492498,2507350,14852,Total time spent executing query plan optimizations.
QueryTimeMicroseconds,4586332366,4587122371,790005,Total time of all queries.
RWLockAcquiredReadLocks,4330,4342,12,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,2,2,0,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
ReadBufferFromFileDescriptorRead,668947,669117,170,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,939085839731,941091601040,2005761309,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
ReadCompressedBytes,929026199895,930959463113,1933263218,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
RealTimeMicroseconds,265039876475,265079148454,39271979,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
