timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
8946.97,2,253952,62,20664,1360268904,0,168160,34,38,24,24,538,198,0,558,150771,0,33,8083,0,33,0,100100596,1118,1,0,4,582,25514692,8,101929668,32,32,0,8,172,558,0,0,9369196,7973,454880337,0,558,294,0,3,1,6,10,1152,3,462319692,431320613,9548840,25894851,25993155,1,3,1,1346532284,73389,73389,8,8,8,25894855,10,3,133649,153770,418159,3912,462319692,150771,8951431,1859
9456.71,2,253952,62,44875,2956324216,0,2703988,93,94,31,31,538,342,6,558,339587,0,33,17592,0,40,0,104118574,1118,1,0,4,582,55787670,8,222698656,39,39,0,8,267,558,0,0,22369883,231948,958129702,0,558,294,0,3,1,6,10,1152,3,961231949,933667370,25297533,56632001,56697537,1,3,1,2943160148,73389,73389,8,8,8,56599237,10,3,170625,346737,686967,8028,961231949,339587,21683794,1859
9962.43,3,253952,62,69799,4598551660,0,3365342,167,173,36,36,538,504,7,558,562943,0,33,27409,0,45,0,108522664,1118,1,0,4,582,86884564,8,347288704,44,44,0,8,324,558,0,0,36868009,1476867,1472057983,0,558,294,0,3,1,6,10,1152,3,1478500224,1450662554,41796632,88192669,88274589,1,3,1,4584314884,73389,73389,8,8,8,88159905,10,3,197581,576633,1018690,12320,1478500224,562943,35850680,1859
10470.25,4,253952,62,94525,6227465128,0,4378105,238,246,36,36,538,660,8,558,786376,0,33,37120,0,45,0,113216338,1118,1,0,4,582,117760564,8,470654272,44,44,0,8,324,558,0,0,51178465,2138002,1987762871,0,558,294,0,3,1,6,10,1152,3,1991799906,1963577711,57713927,119493352,119608040,1,3,1,6212802368,73389,73389,8,8,8,119476972,10,3,200983,804594,1256992,16574,1991799906,786376,49923326,1859
10979.90,6,253952,62,116598,7681594572,3,7783047,323,339,36,36,538,800,9,558,972883,0,33,45802,0,45,0,113831704,1118,1,0,4,582,145299530,8,580810732,44,44,0,8,324,558,0,0,63618120,2257913,2446493509,0,558,294,0,3,1,6,10,1152,3,2448364150,2421311505,73671916,147507328,147540096,1,3,1,7668677152,73389,73389,8,8,8,147474564,10,3,206483,995097,1500974,20354,2448364150,972883,62119444,1859
11484.93,8,253952,62,132703,8742976258,8,13187483,397,408,36,36,538,908,9,567,1113866,0,33,52182,0,45,0,115330593,1136,1,0,4,582,165459990,8,661452816,44,44,0,8,324,567,0,0,72836843,2336609,2779760160,0,567,299,0,3,1,6,10,1152,3,2782322954,2755474784,88427211,167905347,167954499,1,3,1,8729374140,73389,73389,8,8,8,167872583,10,3,208872,1139010,1682670,23131,2782322954,1113866,71156793,1893
11995.12,10,253952,62,148781,9801671456,16,22559074,468,470,36,36,538,1011,10,576,1257163,0,33,58545,0,45,0,116829647,1154,1,0,4,582,185594359,8,742248284,44,44,0,8,324,576,0,0,81909828,2399111,3115455650,0,576,302,0,3,1,6,10,1152,3,3117523948,3089057334,106918078,188293459,188293459,1,3,1,9790407932,73389,73389,8,8,8,188277079,10,3,211349,1285264,1853186,25914,3117523948,1257163,80059587,1927
12505.10,10,253952,62,164877,10864068096,16,22996516,526,527,36,36,538,1112,10,576,1402631,0,33,64865,0,45,0,117143363,1154,1,0,4,582,205623143,8,822298600,44,44,0,8,324,576,0,0,91099763,2459556,3449845944,0,576,302,0,3,1,6,10,1152,3,3450882715,3423237538,116591812,208656107,208770795,1,3,1,10848413660,73389,73389,8,8,8,208623343,10,3,212458,1433698,2014528,28667,3450882715,1402631,89088493,1927
13011.38,11,253952,62,181121,11933364752,17,24517167,589,590,36,36,538,1216,10,585,1549994,0,33,71260,0,45,0,118955444,1172,1,0,4,582,225986575,8,903493992,44,44,0,8,324,585,0,0,100262263,2513069,3787526013,0,585,309,0,3,1,6,10,1152,3,3788026572,3759940421,127341646,229275754,229308522,1,3,1,11921487272,73389,73389,8,8,8,229259374,10,3,214288,1584077,2187535,31466,3788026572,1549994,98078308,1964
13519.81,13,253952,62,197162,12990262550,17,25246809,655,657,38,38,538,1322,10,594,1703380,0,33,77572,0,45,0,121021617,1190,1,0,4,582,245957003,8,983505004,44,46,0,8,324,594,0,0,109544712,3001852,4123236458,0,594,315,0,3,1,6,10,1152,3,4122282236,4092570995,137861973,249577628,249659548,1,3,1,12977184720,73389,73389,8,8,8,249561248,10,3,227083,1740537,2413154,34233,4122282236,1703380,107135453,1996
