timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LoadedMarksCount,LoadedMarksFiles,LoadedMarksMemoryBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MarkCacheMisses,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
6586.35,13,253952,62,48128,3169494322,0,215823,62,62,59,59,4,360,1,564,481435,18,26,18716,0,68,121,0,110455197,1130,1,0,4,666,59324684,4,236588148,73174,6,338824,67,67,47,8,273,552,6,0,0,26568003,86502,1004528698,0,546,273,18,3,1,2,14,1091,3,1030068026,1000238318,26905785,60662465,60793537,1,3,1,3151892308,73389,73389,8,8,8,60613317,3,3,307258,489663,1296934,8586,1030068026,481435,25271577,21470
7095.19,22,253952,62,97684,6434396421,0,404087,132,132,62,62,22878,677,1,564,945998,18,26,38188,0,71,121,0,114449043,1130,1,0,4,666,121155276,4,483458032,73174,6,338824,70,70,47,8,314,552,6,0,0,56045579,1464922,2024046128,0,546,273,18,3,1,2,14,1091,3,2056367759,2028018897,58009745,123425512,123605736,1,3,1,6418126656,73389,73389,8,8,8,123425516,3,3,347348,965230,1900267,17092,2056367759,945998,54145279,21470
7599.06,30,253952,62,144067,9491750970,0,522247,194,214,62,62,37597,979,6,564,1328452,18,26,56573,0,71,121,0,114449043,1130,1,0,4,666,179415847,4,717016960,73174,6,338824,70,70,47,8,314,552,6,0,0,83115465,1997059,2984346636,0,546,273,18,3,1,2,14,1091,3,3014095328,2990595254,85732115,182287008,182352544,1,3,1,9478924448,73389,73389,8,8,8,182287012,3,3,359999,1355041,2353732,25035,3014095328,1328452,80763166,21470
8102.90,30,253952,62,185911,12248796072,0,815967,234,256,62,62,37597,1250,7,564,1621494,18,26,73129,0,71,121,0,114449043,1130,1,0,4,666,231865145,4,927202244,73174,6,338824,70,70,47,8,314,552,6,0,0,103491164,1997490,3871405390,0,546,273,18,3,1,2,14,1091,3,3886968585,3858745833,106401637,235269695,235367999,1,3,1,12231468268,73389,73389,8,8,8,235220547,3,3,368223,1654271,2664935,32273,3886968585,1621494,100828338,21470
8607.70,36,253952,62,221936,14621598210,20,21142842,289,311,62,62,37597,1476,7,591,1860493,18,26,87301,0,71,121,0,118897793,1184,1,0,4,666,276877209,4,1107186068,73174,6,338824,70,70,47,8,314,579,6,0,0,120953014,2017232,4630455542,0,573,309,18,3,1,2,14,1091,3,4635889209,4605798195,144221746,280939973,280989125,1,3,1,14608878628,73389,73389,8,8,8,280939977,3,3,369459,1898646,2938786,38473,4635889209,1860493,118017052,21595
9115.13,37,253952,62,243240,16026566408,22,26871247,336,350,62,62,37597,1618,7,591,2006735,18,26,95703,0,71,121,0,119199443,1184,1,0,4,666,303487175,4,1213561416,73174,6,338824,70,70,47,8,314,579,6,0,0,131129967,2018306,5075104582,0,573,309,18,3,1,2,14,1091,3,5077531138,5047905820,159500263,307945889,308027809,1,3,1,16009778388,73389,73389,8,8,8,307880357,3,3,369788,2048222,3098863,42140,5077531138,2006735,128034335,21595
9625.74,40,253952,62,267555,17629485728,30,39972710,426,427,62,62,37597,1773,15,600,2226682,18,26,105287,0,71,121,0,121011524,1202,1,0,4,666,333880471,4,1335070100,73174,6,338824,70,70,47,8,314,588,6,0,0,145569363,2582472,5580694107,0,582,314,18,3,1,2,14,1091,3,5582279335,5553044620,188216494,338773151,338805919,1,3,1,17614499948,73389,73389,8,8,8,338740387,3,3,375172,2272801,3371086,46306,5582279335,2226682,142200980,21629
10134.08,49,253952,62,292024,19240772154,30,41001036,498,503,64,64,37597,1934,16,600,2449568,18,26,114890,0,71,121,0,121325240,1202,1,0,4,666,364373710,4,1456913284,73174,6,338824,70,72,47,8,314,588,6,0,0,160199810,3603328,6087997710,0,582,314,18,3,1,2,14,1091,3,6090046372,6060368369,204960134,369752631,369816008,1,3,1,19225432908,73389,73389,8,8,8,369719867,3,3,384331,2500420,3617814,50517,6090046372,2449568,156586173,21629
10639.28,49,253952,62,315658,20798578818,30,41735371,563,571,64,64,37597,2086,16,600,2658170,18,26,124233,0,71,121,0,121638956,1202,1,0,4,666,393987712,4,1575442160,73174,6,338824,70,72,47,8,314,588,6,0,0,174246697,3912694,6579332759,0,582,314,18,3,1,2,14,1091,3,6579448593,6550552096,219895797,399707667,399754660,1,3,1,20783946748,73389,73389,8,8,8,399691287,3,3,391125,2713512,3894113,54572,6579448593,2658170,170357209,21629
11146.26,51,253952,62,334415,22034461804,32,44398909,653,666,64,64,37597,2208,18,600,2825654,18,26,131623,0,71,121,0,121638956,1202,1,0,4,666,417363328,4,1669259404,73174,6,338824,70,72,47,8,314,588,6,0,0,185011431,3986085,6970113792,0,582,314,18,3,1,2,14,1091,3,6969380649,6939621338,233367675,423482505,423548041,1,3,1,22020238324,73389,73389,8,8,8,423466125,3,3,391716,2884577,4075212,57803,6969380649,2825654,180941212,21629
