timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
21050.60,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
21559.17,0,253952,62,8328,548064282,0,640610,33,53,30,30,910,112,0,558,276101,3,3232,18,34,1,19410,96661786,1118,1,0,4,1541,10161978,9,40518684,33,38,1,3,52201,558,0,0,4838185,1470532,202849375,0,558,411,3,1,8,8,2141,3,207863013,175526284,7135176,10339575,10355959,1,3,1,535953996,73389,73389,8,8,8,10306811,7,3,112258,278000,355262,1782,207863013,276101,4483663,9536
22065.32,2,253952,62,17692,1165761364,0,1689843,84,101,30,30,910,166,0,558,356637,3,6915,18,34,1,19410,100052332,1118,1,0,4,1541,21862620,9,87321552,33,38,1,3,52201,558,0,0,10235722,1774753,396206182,0,558,411,3,1,8,8,2141,3,401014120,369915803,13896284,22222676,22239060,1,3,1,1155579184,73389,73389,8,8,8,22222680,7,3,119765,360339,458047,3371,401014120,356637,9778617,9536
22574.35,3,253952,62,27000,1778605962,17,19589722,148,149,30,30,910,222,0,558,434751,3,10571,18,34,1,19410,102887842,1118,1,0,4,1541,33457275,9,133699872,33,38,1,3,52201,558,0,0,15779207,2220232,592416782,0,558,411,3,1,8,8,2141,3,593048653,563013926,37823403,33999725,34016109,1,3,1,1767133764,73389,73389,8,8,8,33983345,7,3,137613,442190,599487,4956,593048653,434751,15180859,9536
23089.52,3,253952,62,36416,2398190600,17,20021544,200,205,31,31,910,279,0,558,516073,3,14269,18,34,1,19410,104444356,1118,1,0,4,1541,45230794,9,180664724,33,39,1,3,52201,558,0,0,21174552,2625761,786830451,0,558,411,3,1,8,8,2141,3,787539232,758009924,44046443,45926389,45926389,1,3,1,2387320292,73389,73389,8,8,8,45910009,7,3,142343,525304,725389,6559,787539232,516073,20450483,9536
23604.63,4,253952,62,45669,3006501636,17,21793786,251,253,31,31,910,343,0,558,599186,3,17914,18,34,1,19410,106025002,1118,1,0,4,1541,56719545,9,226878180,33,39,1,3,52201,558,0,0,26571993,3414666,978708673,0,558,411,3,1,8,8,2141,3,979762641,949601301,52041755,57578843,57644379,1,3,1,2993247900,73389,73389,8,8,8,57562463,7,3,145833,610214,829053,8159,979762641,599186,25744462,9536
24117.75,5,253952,62,55118,3628936724,17,22664756,300,302,31,31,910,401,0,558,687705,3,21639,18,34,1,19410,107303998,1118,1,0,4,1541,68571271,9,274220624,33,39,1,3,52201,558,0,0,32028827,3867990,1175630170,0,558,411,3,1,8,8,2141,3,1175682957,1145391702,58817456,69583109,69648645,1,3,1,3617469732,73389,73389,8,8,8,69566729,7,3,148465,700542,931096,9780,1175682957,687705,31098457,9536
24624.40,762,253952,62,65969,4346607632,17,23910682,353,356,33,33,910,475,0,558,784692,3,25929,18,34,1,19410,111334042,1118,1,0,4,1541,82191679,9,328573196,33,41,1,3,52201,558,0,0,38319874,4325227,1398712081,0,558,411,3,1,8,8,2141,3,1399478682,1371461933,66782822,83398634,83398634,1,3,1,4336729000,73389,73389,8,8,8,83398638,7,3,158267,799602,1079343,11644,1399478682,784692,37242471,9536
25138.04,762,253952,62,77208,5087220912,17,25266669,415,416,33,33,910,543,8,558,890634,3,30344,18,34,1,19410,111647758,1118,1,0,4,1541,96216681,9,384672708,33,41,1,3,52201,558,0,0,44983385,4741650,1631842436,0,558,411,3,1,8,8,2141,3,1633886521,1604454069,75224048,97641031,97657415,1,3,1,5076481676,73389,73389,8,8,8,97624651,7,3,163034,907695,1195634,13579,1633886521,890634,43788919,9536
25648.30,762,253952,62,88833,5852250270,17,25941112,481,484,34,34,910,627,8,558,1000161,3,34932,18,34,1,19410,111985606,1118,1,0,4,1541,110701028,9,442739564,33,42,1,3,52201,558,0,0,51826540,5222189,1873396459,0,558,411,3,1,8,8,2141,3,1873919389,1845576383,83216204,112332273,112365041,1,3,1,5841278228,73389,73389,8,8,8,112332277,7,3,166448,1019528,1331850,15590,1873919389,1000161,50497105,9536
