timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
53719.81,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
54228.68,0,0,3343,219895270,1,1,5692,116,108,30910,8,313,10,0,23748466,218,1,0,9,9,8,4438,108,0,0,0,461317,19460,71308545,0,108,73,2,1,8,8,450,1,72988902,64884643,481665,4949683,4949683,1,2,1,217786052,73389,73389,8,8,8,4949683,9,3,63100,31396,180860,560,72988902,30910,280476,401
54733.81,0,0,7078,465242518,1,1,131745,117,216,63429,8,661,10,0,45480707,434,1,0,9,9,8,4438,216,0,0,0,975141,19614,153127478,0,216,141,2,1,8,8,450,1,153082222,137102130,995190,10478839,10478839,1,2,1,460348020,73389,73389,8,8,8,10462455,9,3,134794,64423,391769,1179,153082222,63429,583410,820
55242.30,0,0,10712,704727602,1,1,369505,117,331,96575,8,1001,10,0,69374074,663,1,0,9,9,8,4438,331,0,0,0,1471821,19905,230612238,0,331,230,2,1,8,8,450,1,233036142,207790212,1491813,15850188,15866572,1,2,1,697408272,73389,73389,8,8,8,15850188,9,3,203056,98131,568835,1789,233036142,96575,903050,1296
55750.09,0,0,14350,944474830,1,1,598650,117,441,129786,8,1340,10,0,92414777,884,1,0,9,9,8,4438,441,0,0,0,1980377,20335,310587848,0,441,296,2,1,8,8,450,1,312334702,278373987,2001140,21254305,21254305,1,2,1,934468524,73389,73389,8,8,8,21237921,9,3,273124,131897,793724,2394,312334702,129786,1186739,1738
56254.85,0,0,17993,1184308418,1,1,829101,117,549,162294,8,1680,10,0,114754901,1100,1,0,9,9,8,4438,549,0,0,0,2482562,23827,390956701,0,549,370,2,1,8,8,450,1,391764334,349147720,2511564,26636005,26652389,1,2,1,1171984220,73389,73389,8,8,8,26636005,9,3,343740,164950,1001737,3000,391764334,162294,1480933,2159
56760.78,253952,62,21712,1429364062,50,50,976947,117,621,196555,8,2247,59,257,130251617,1244,1,0,58,58,8,8192,621,0,0,0,2988952,121842,468049304,0,621,425,2,1,8,8,450,1,469490030,421163184,3200886,32171194,32171194,1,2,1,1414811640,73389,73389,8,8,8,32154810,9,3,402976,199772,1181130,3593,469490030,196555,1807954,2481
57265.84,253952,62,25451,1675730426,50,50,976947,118,621,223154,8,3299,59,257,130251617,1244,1,0,58,58,8,8192,621,0,0,0,4119631,878791,536100459,0,621,425,2,1,8,8,450,1,541579630,493142467,7649321,37755535,37771919,1,2,1,1661243540,73389,73389,8,8,8,37755535,9,3,441125,226914,1323685,4143,541579630,223154,2796100,2481
57771.32,253952,62,29164,1920392854,50,50,976947,119,621,255767,8,4343,59,257,130251617,1244,1,0,58,58,8,8192,621,0,0,0,5181448,1532674,609003629,0,621,425,2,1,8,8,450,1,613013870,564672819,11478535,43331684,43331684,1,2,1,1906594096,73389,73389,8,8,8,43331684,9,3,453921,260109,1395952,4688,613013870,255767,3785678,2481
58280.69,253952,62,32971,2171215666,50,50,976947,119,621,291621,8,5423,59,257,130517069,1244,1,0,58,58,8,8192,621,0,0,0,6079129,2096673,677710638,0,621,425,2,1,8,8,450,1,686283118,638010581,15755648,49030713,49030713,1,2,1,2157351372,73389,73389,8,8,8,49030713,9,3,460702,296506,1444606,5247,686283118,291621,4634730,2481
