timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompileExpressionsBytes,CompileExpressionsMicroseconds,CompileFunction,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
14104.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
14610.07,0,0,0,8192,35225,1,3030,199370436,0,0,0,0,1,1,6617,116,99,32073,4,284,7,0,21965218,200,1,0,6,9,0,5,1550,99,0,0,0,409780,41564,64360797,0,99,63,2,1,6,10,427,1,66304230,58819081,451420,4490931,4490931,1,2,1,196880068,73389,73389,8,8,8,4474547,9,3,57043,32531,158628,509,66304230,32073,251171,353
15115.19,0,0,0,8192,35225,1,6811,447744406,0,0,0,0,1,1,133453,117,216,68326,4,637,7,0,45480707,434,1,0,6,9,0,5,1550,216,0,0,0,917025,43104,146704075,0,216,153,2,1,6,10,427,1,148232558,131979479,961949,10069239,10085623,1,2,1,443046516,73389,73389,8,8,8,10069239,9,3,129513,69294,368862,1142,148232558,68326,548206,799
15623.24,0,0,0,8192,35225,1,10509,691182474,0,0,0,0,1,1,350823,117,324,102268,4,981,7,0,67820831,650,1,0,6,9,0,5,1550,324,0,0,0,1418253,44101,227334582,0,324,226,2,1,6,10,427,1,228579694,203799852,1464965,15549243,15549243,1,2,1,683445796,73389,73389,8,8,8,15532859,9,3,200154,103766,569302,1755,228579694,102268,849016,1224
16128.88,1,0,0,8192,35225,1,14219,935624162,0,0,0,0,1,1,569839,117,432,136593,4,1328,7,0,90378143,866,1,0,6,9,0,5,1550,432,0,0,0,1929323,44973,308620492,0,432,291,2,1,6,10,427,1,309057902,275698756,1976431,21051664,21068048,1,2,1,926273216,73389,73389,8,8,8,21051664,9,3,271466,138602,762782,2369,309057902,136593,1166628,1628
16636.17,1,0,0,8192,35225,1,17807,1172118722,0,0,0,0,1,1,789770,117,540,170923,4,1662,7,0,112983719,1082,1,0,6,9,0,5,1550,540,0,0,0,2432488,47422,387285020,0,540,389,2,1,6,10,427,1,387570030,345483300,2482494,26373861,26373861,1,2,1,1159728988,73389,73389,8,8,8,26357477,9,3,340487,173435,984412,2968,387570030,170923,1448187,2046
17144.31,1,253952,62,8192,35225,1,21448,1412062558,0,0,0,0,13,13,945516,117,621,205520,4,2173,19,64,130251617,1244,1,0,18,21,0,5,2099,621,0,0,0,2903998,115507,459527984,0,621,462,2,1,6,10,427,1,464509294,416101683,3041736,31777978,31777978,1,2,1,1398231032,73389,73389,8,8,8,31777978,9,3,395211,208569,1159627,3555,464509294,205520,1744504,2368
17655.19,1,253952,62,8192,35225,1,24852,1636208910,0,0,0,0,13,13,945516,118,621,239383,4,3147,19,64,130251617,1244,1,0,18,21,0,5,2099,621,0,0,0,3848089,737963,524956147,0,621,462,2,1,6,10,427,1,529783150,481580339,6097173,36864766,36881150,1,2,1,1622049704,73389,73389,8,8,8,36864766,9,3,432874,242935,1282237,4053,529783150,239383,2566003,2368
18172.00,1,253952,62,8192,35225,1,28437,1872482730,0,0,0,0,13,13,945516,118,621,275218,4,4111,19,64,130251617,1244,1,0,18,21,0,5,2099,621,0,0,0,5013478,1600590,594843143,0,621,462,2,1,6,10,427,1,598858094,550619527,10852663,42236115,42252499,1,2,1,1858389060,73389,73389,8,8,8,42236115,9,3,451196,279342,1379414,4580,598858094,275218,3634242,2368
18686.35,1,253952,62,8192,35225,1,31672,2085818950,0,0,0,0,13,13,945516,119,621,308540,4,5055,19,64,130517069,1244,1,0,18,21,0,5,2099,621,0,0,0,6064989,2456505,656602273,0,621,462,2,1,6,10,427,1,661379438,613025474,15269079,47091368,47091368,1,2,1,2071299296,73389,73389,8,8,8,47074984,9,3,462008,313142,1447962,5057,661379438,308540,4617230,2368
