timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompileExpressionsBytes,CompileExpressionsMicroseconds,CompileFunction,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
15327.14,3,253952,62,8192,22118,1,10058,661417430,0,381868,48,51,16,16,902,135,0,558,127531,0,17,3915,11,22,0,7761,96637654,1118,1,0,4,4474,12343002,9,49049088,21,24,5,10831,558,0,0,5781169,92571,241637083,0,558,435,0,3,1,7,9,5085,3,244296208,211175629,6279768,12518647,12535031,1,3,1,650969676,73389,73389,8,8,8,12518651,9,3,104125,129504,343564,2110,244296208,127531,5438377,2014
15834.27,4,253952,62,8192,22118,1,21395,1408779020,0,862001,98,102,16,16,902,201,0,558,226604,0,17,8378,11,22,0,7761,99750682,1118,1,0,4,4474,26480276,9,105727340,21,24,5,10831,558,0,0,12374351,153901,477000190,0,558,435,0,3,1,7,9,5085,3,479994398,446423254,13407471,26906341,26922725,1,3,1,1399129764,73389,73389,8,8,8,26906345,9,3,110066,230657,476895,4050,479994398,226604,11898446,2014
16339.63,6,253952,62,8192,22118,1,36031,2373007504,0,3336099,164,165,19,19,902,286,0,558,351738,0,17,14126,11,25,0,7761,101620912,1118,1,0,4,4474,44763851,9,178732588,24,27,5,10923,558,0,0,21002381,247327,776028924,0,558,435,0,3,1,7,9,5085,3,777606186,749805714,24592865,45402101,45467637,1,3,1,2360909284,73389,73389,8,8,8,45402105,9,3,127986,358504,646842,6503,777606186,351738,20356925,2014
16845.14,7,253952,62,8192,22118,1,50968,3357831076,0,4221610,228,229,19,19,902,374,2,558,481021,0,17,20003,11,25,0,7761,103491142,1118,1,0,4,4474,63429560,9,253330368,24,27,5,10923,558,0,0,29767337,323347,1087836387,0,558,435,0,3,1,7,9,5085,3,1088841739,1060034135,34300501,64366520,64399288,1,3,1,3346207104,73389,73389,8,8,8,64350140,9,3,131091,490557,807097,9065,1088841739,481021,28961919,2014
17351.95,7,253952,62,8192,22118,1,65979,4344789462,0,4822300,285,289,22,22,902,467,2,558,618230,0,17,25869,11,28,0,7761,103841056,1118,1,0,4,4474,82098780,9,327942188,27,30,5,10963,558,0,0,38691998,828282,1398020984,0,558,435,0,3,1,7,9,5085,3,1400825216,1370884363,44381020,83350370,83383138,1,3,1,4333367304,73389,73389,8,8,8,83333990,9,3,137908,630604,992624,11650,1400825216,618230,37701356,2014
17860.70,10,253952,62,8192,22118,1,80663,5314613072,0,6227531,360,364,24,24,902,568,2,558,753778,0,17,31707,11,30,0,7761,107593582,1118,1,0,4,4474,100541430,9,401842828,29,32,5,16704,558,0,0,47560619,1721845,1702793402,0,558,435,0,3,1,7,9,5085,3,1704273217,1675919366,55596217,102025466,102025466,1,3,1,5303620328,73389,73389,8,8,8,101992702,9,3,150719,769014,1199197,14174,1704273217,753778,46363722,2014
18367.55,12,253952,62,8192,22118,1,95739,6307387812,0,6814286,431,436,24,24,902,668,4,558,897196,0,17,37596,11,30,0,7761,110706610,1118,1,0,4,4474,119278854,9,476792232,29,32,5,16704,558,0,0,56556959,2742006,2015568105,0,558,435,0,3,1,7,9,5085,3,2018305135,1988883156,66244078,121096825,121113209,1,3,1,6295330996,73389,73389,8,8,8,121064061,9,3,156898,915318,1372920,16782,2018305135,897196,55186668,2014
18875.58,20,253952,62,8192,22118,1,110639,7289460770,2,10982469,499,501,24,24,902,761,5,558,1031496,0,17,43519,11,30,0,7761,112588906,1118,1,0,4,4474,137978013,9,551718100,29,32,5,16704,558,0,0,65503124,3202685,2324815945,0,558,435,0,3,1,7,9,5085,3,2325026057,2297809897,79920842,139981483,139997867,1,3,1,7279037148,73389,73389,8,8,8,139981487,9,3,164397,1052428,1530213,19322,2325026057,1031496,63975825,2014
19385.25,22,253952,62,8192,22118,1,125678,8281632644,2,11828209,559,562,24,24,902,860,5,558,1183169,0,17,49437,11,30,0,7761,113831704,1118,1,0,4,4474,156754099,9,626757956,29,32,5,16704,558,0,0,74462241,3607529,2635628388,0,558,435,0,3,1,7,9,5085,3,2637206359,2610141516,90133232,159039888,159089040,1,3,1,8270074208,73389,73389,8,8,8,159039892,9,3,168280,1207064,1688697,21914,2637206359,1183169,72776760,2014
19892.00,25,253952,62,8192,22118,1,140807,9277542944,4,14461017,615,617,24,24,902,960,5,567,1320527,0,17,55391,11,30,0,7761,115330593,1136,1,0,4,4474,175629916,9,702260880,29,32,5,16704,567,0,0,83463895,4175404,2951377509,0,567,441,0,3,1,7,9,5085,3,2951409866,2923847001,102343905,178187134,178236286,1,3,1,9264879032,73389,73389,8,8,8,178170754,9,3,172850,1347264,1872534,24522,2951409866,1320527,81594887,2043
