timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LoadedMarksCount,LoadedMarksFiles,LoadedMarksMemoryBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MarkCacheMisses,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
220.34,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724.35,1,253952,62,25796,1697113034,0,911,4,4,62,62,19972,118,0,669,199961,120,44,3340,71,241,133597801,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,3882545,27275,495257778,0,549,473,120,19,1,2,1,16,335,1,545674086,497284731,4514727,38001295,38017679,1,2,1,1672056980,73389,73389,8,8,8,38001295,5,3,400638,203890,1937733,4215,545674086,199961,1944984,237894
1227.59,1,253952,62,31651,2082949930,0,911,4,4,62,62,21455,119,0,669,216627,120,44,4993,71,241,133863253,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,4897985,27419,607236114,0,549,473,120,19,1,2,1,16,335,1,658527078,610063485,6124740,46774039,46790423,1,2,1,2058057716,73389,73389,8,8,8,46774039,5,3,400680,220956,1955735,5076,658527078,216627,2942464,237894
1730.88,1,253952,62,37478,2467217270,0,911,4,4,62,62,22768,120,0,669,233211,120,44,6637,71,241,134116639,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,5887780,27478,720263000,0,549,473,120,19,1,2,1,16,335,1,770331494,722382114,7660728,55520048,55520048,1,2,1,2442882112,73389,73389,8,8,8,55520048,5,3,401266,237955,1982543,5929,770331494,233211,3905495,237894
2234.06,1,253952,62,43307,2851084778,0,911,4,4,62,62,24097,121,0,669,249880,120,44,8281,71,241,134116639,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,6850409,27478,831323361,0,549,473,120,19,1,2,1,16,335,1,882660198,834599494,9143681,64245799,64245799,1,2,1,2826815156,73389,73389,8,8,8,64245799,5,3,401356,255023,2005088,6786,882660198,249880,4845624,237894
2737.11,1,253952,62,48372,3184882782,0,911,4,4,62,62,25098,122,0,669,265815,120,44,9718,71,241,134382091,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,7947897,27537,932701250,0,549,473,120,19,1,2,1,16,335,1,980308838,932217957,13060173,71816478,71832862,1,2,1,3159925032,73389,73389,8,8,8,71816478,5,3,404188,271364,2028176,7531,980308838,265815,5920086,237894
3240.26,1,253952,62,53688,3535130322,0,911,4,4,62,62,25858,122,0,669,283062,120,44,11169,71,241,134382091,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,9031767,27563,1033290782,0,549,473,120,19,1,2,1,16,335,1,1082544998,1034649558,15076343,79788565,79804949,1,2,1,3510696860,73389,73389,8,8,8,79788565,5,3,407964,289050,2062312,8311,1082544998,283062,6969879,237894
3743.36,1,253952,62,58750,3868731718,0,911,4,4,62,62,26804,123,0,669,299130,120,44,12607,71,241,134647543,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,10081227,27670,1131912338,0,549,473,120,19,1,2,1,16,335,1,1180062566,1132130069,17084201,87375628,87392012,1,2,1,3844527632,73389,73389,8,8,8,87375628,5,3,409280,305541,2083616,9055,1180062566,299130,7998092,237894
4246.27,1,253952,62,63813,4202398650,0,911,4,4,62,62,27734,124,0,669,314860,120,44,14041,71,241,134647543,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,11142602,27697,1227912931,0,549,473,120,19,1,2,1,16,335,1,1277186918,1229548596,19116251,94954499,94970883,1,2,1,4177997956,73389,73389,8,8,8,94954499,5,3,410411,321680,2105730,9796,1277186918,314860,9037409,237894
4749.43,1,253952,62,68854,4534611724,0,911,4,4,62,62,28617,125,0,669,331119,120,44,15469,71,241,134900929,1340,1,0,440382,48,1935856,70,70,23,8,402,573,48,0,0,0,12236603,27814,1326930093,0,549,473,120,19,1,2,1,16,335,1,1374573414,1326731984,21136126,102508794,102508794,1,2,1,4509666040,73389,73389,8,8,8,102492410,5,3,412978,338370,2140274,10539,1374573414,331119,10096933,237894
