timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.13,0,262144,64,17265,1138127406,1,4391604,92,2,2,9665,150,576,111677,0,1,6744,5,103789122,1154,1,4,309,21319017,5,85276068,4,3246,96,2,20,576,5005707,192,389722728,576,108,0,3,1,2,2,769,3,387989783,361512420,9789116,21671653,21671653,3,1,1126925988,73389,73389,2,2,2,21671657,3,3,28817,246781,102371,3289,3242,387989783,108388,4903431,1103
10010.44,0,262144,64,32423,2136529484,1,4950544,396,2,2,9665,276,576,195932,0,1,12720,5,108506928,1154,1,4,309,40199692,5,160798768,4,5953,210,2,20,576,9252477,361,711864812,576,108,0,3,1,2,2,769,3,708684400,675942683,14909048,40871925,40871925,3,1,2125340132,73389,73389,2,2,2,40871929,3,3,29030,446459,126952,6089,5949,708684400,189843,9125790,1103
15014.40,0,262144,64,46571,3068776400,1,5799093,708,3,3,9665,339,576,269663,0,1,18276,6,113550516,1154,1,4,309,57887550,5,231550200,5,8270,413,2,24,576,13231972,467,998688080,576,108,0,3,1,2,2,769,3,994254556,969356455,20009300,58810629,58810629,3,1,3058152740,73389,73389,2,2,2,58810633,3,3,30222,618974,154228,8626,8265,994254556,261037,13078004,1103
20017.44,0,262144,64,60608,3993688490,3,9209590,855,5,5,9665,458,576,343428,0,1,23859,6,116904864,1154,1,4,309,75428244,5,301712976,5,10728,545,2,24,576,17263896,1385,1289649182,576,108,0,3,1,2,2,769,3,1283896445,1260463899,27741208,76601877,76601877,3,1,3983297636,73389,73389,2,2,2,76601881,3,3,33835,801520,190116,11371,10721,1283896445,332057,17074250,1103
25020.74,0,262144,64,75873,5000080266,4,12786736,1039,5,5,9665,531,576,423099,0,1,29819,6,116928996,1154,1,4,309,94416274,5,377665096,5,13334,681,2,24,576,21579382,1514,1612025718,576,108,0,3,1,2,2,769,3,1604868081,1577459790,35940710,95943128,95943128,3,1,4989042688,73389,73389,2,2,2,95943132,3,3,37186,996228,231985,14204,13327,1604868081,408895,21348061,1103
30024.53,0,262144,64,84026,5536892936,4,15385806,1250,5,5,9665,594,576,464716,0,1,33054,6,116928996,1154,1,4,309,104591527,5,418366108,5,14744,701,2,24,576,23863567,1601,1780217539,576,108,0,3,1,2,2,769,3,1772302570,1746328318,40982208,106280544,106280544,3,1,5526588320,73389,73389,2,2,2,106280548,3,3,37674,1097889,252072,15766,14737,1772302570,448950,23612284,1103
35028.81,0,262144,64,88948,5861029708,4,18976844,1376,5,5,9665,599,576,489011,0,1,34960,6,117218580,1154,1,4,309,110735350,5,442941400,5,15567,703,2,24,576,25240118,1682,1884238530,576,108,0,3,1,2,2,769,3,1875879306,1848414182,46044895,112503861,112503861,3,1,5850200804,73389,73389,2,2,2,112503865,3,3,37977,1157146,267724,16653,15560,1875879306,472358,24973212,1103
40033.47,0,262144,64,98123,6465785450,4,21296527,1608,5,5,9665,659,576,535350,0,1,38583,6,117218580,1154,1,4,309,122196856,5,488787424,5,17139,719,2,24,576,27810418,1783,2074453340,576,108,0,3,1,2,2,769,3,2065248864,2038831009,51115579,124137328,124137328,3,1,6455141088,73389,73389,2,2,2,124137332,3,3,38251,1270754,285808,18318,17132,2065248864,517032,27525634,1103
45037.40,0,262144,64,111088,7319875846,4,22530175,1938,5,5,9665,781,576,603738,0,1,43709,6,117218580,1154,1,4,309,138384689,5,553474132,5,19444,751,2,24,576,31405142,1914,2347273082,576,108,0,3,1,2,2,769,3,2336836304,2307718592,56205961,140556638,140556638,3,1,7308945208,73389,73389,2,2,2,140556642,3,3,39661,1437789,314765,20807,19437,2336836304,582931,31091482,1103
50041.51,0,262144,64,122947,8102340112,4,24077337,2243,5,5,9665,846,576,662797,0,1,48379,6,117508164,1154,1,4,309,153185033,5,612675548,5,21448,834,2,24,576,34720953,1971,2592825071,576,108,0,3,1,2,2,769,3,2581308410,2553955847,61296506,155601407,155601407,3,1,8091273196,73389,73389,2,2,2,155601411,3,3,39955,1581683,344161,22932,21441,2581308410,639865,34378065,1103
