timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.66,0,262144,64,19843,1307730778,0,3936799,137,2,2,9742,166,576,137310,0,2,7764,5,103813254,1154,1,4,222,24537207,3,98084568,4,3710,141,2,12,576,5689225,170,446500728,576,48,0,3,1,2,2,534,3,444510736,414916441,10109643,24935943,24935943,3,1,1296669068,73389,73389,2,2,2,24935947,4,3,17364,303989,84762,4110,3706,444510736,133200,5604651,855
10013.66,2,262144,64,40785,2687111574,1,8495233,281,3,3,9742,320,576,263176,0,2,16032,6,109170558,1154,1,4,222,50682285,3,202664464,5,7316,544,2,25,576,12077784,380,879306249,576,48,0,3,1,2,2,534,3,875355377,849201876,21535990,51471485,51471485,3,1,2676517252,73389,73389,2,2,2,51471489,4,3,24186,600816,145129,8358,7311,875355377,254818,11933083,855
15018.26,2,262144,64,60683,3999255254,1,12321307,425,3,3,9742,449,576,376915,0,2,23881,6,115107030,1154,1,4,222,75537354,3,302084720,5,10795,776,2,25,576,17998497,554,1300496517,576,48,0,3,1,2,2,534,3,1294657639,1262227946,31730368,76695863,76712247,3,1,3988184908,73389,73389,2,2,2,76695867,4,3,33665,879514,216807,12493,10790,1294657639,364422,17782492,855
20022.81,2,262144,64,78127,5148389644,1,16150729,541,3,3,9742,542,576,473749,0,2,30728,6,116928996,1154,1,4,222,97295807,3,389183228,5,13715,991,2,25,576,23019531,737,1659145610,576,48,0,3,1,2,2,534,3,1651723761,1624188955,40953472,98797818,98797818,3,1,5137486568,73389,73389,2,2,2,98797822,4,3,43825,1113245,269856,15638,13710,1651723761,458111,22750725,855
25027.05,2,262144,64,91072,6001470970,2,18394676,873,3,3,9742,636,576,544262,0,2,35830,6,116928996,1154,1,4,222,113440613,3,453762452,5,15980,1041,2,25,576,26606125,828,1930683554,576,48,0,3,1,2,2,534,3,1922051137,1892677916,47054461,115206777,115206777,3,1,5990752436,73389,73389,2,2,2,115206781,4,3,43836,1285635,298531,18089,15975,1922051137,526173,26308753,855
30032.16,2,262144,64,107187,7062639264,2,19987594,1122,4,4,9742,740,576,632399,0,2,42185,6,117218580,1154,1,4,222,133532789,3,534066532,5,18738,1340,2,25,576,31279582,954,2266228856,576,48,0,3,1,2,2,534,3,2256106418,2226879830,53667477,135603081,135603081,3,1,7051360244,73389,73389,2,2,2,135603085,4,3,46658,1502222,337556,21188,18732,2256106418,611211,30943317,855
35036.99,2,262144,64,129032,8502116084,2,23039820,1326,4,4,9742,896,576,759859,0,2,50811,6,117508164,1154,1,4,222,160787247,3,643148988,5,22479,1671,2,25,576,37906240,1089,2715446502,576,48,0,3,1,2,2,534,3,2703283215,2679789022,63844609,163295410,163295410,3,1,8491361352,73389,73389,2,2,2,163295414,4,3,54644,1816394,403384,25616,22473,2703283215,734243,37504308,855
40042.00,2,262144,64,153182,10093292882,2,25219472,1550,4,4,9742,1022,576,900724,0,2,60296,6,117508164,1154,1,4,222,190943829,3,763775316,5,26591,2132,2,25,576,45382742,1296,3219739354,576,48,0,3,1,2,2,534,3,3205325321,3180821961,74048589,193899773,193899773,3,1,10081936260,73389,73389,2,2,2,193883393,4,3,61795,2165723,477046,30596,26585,3205325321,870128,44907471,855
45046.50,2,262144,64,169223,11151107696,3,29126508,1774,4,4,9742,1153,576,987182,0,2,66648,6,117508164,1154,1,4,222,210987189,3,843948756,5,29417,2296,2,25,576,50081271,1632,3556808390,576,48,0,3,1,2,2,534,3,3540868438,3513761284,82998366,214244322,214244322,3,1,11140704776,73389,73389,2,2,2,214244326,4,3,63425,2382336,519417,33729,29411,3540868438,953453,49563864,855
50050.54,2,262144,64,179578,11832894268,3,31144956,2042,4,4,9742,1216,576,1035816,0,2,70672,6,117508164,1154,1,4,222,223871858,3,895487432,5,31142,2358,2,25,576,52931684,1709,3766086980,576,48,0,3,1,2,2,534,3,3749217044,3728441912,88057645,227346316,227346316,3,1,11822008464,73389,73389,2,2,2,227346320,4,3,63680,2503708,538860,35519,31136,3749217044,1000297,52394879,855
