timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.63,2,262144,64,14873,980110430,0,511479,286,1,1,12434,147,0,576,100906,2,5816,4,102534258,1154,1,4,237,18371680,3,73486720,3,2938,72,2,9,576,4252210,243,350070645,576,162,3,1,2,2,570,3,348520076,311702413,5119070,18649249,18649249,3,1,969760980,73389,73389,2,2,2,18649253,3,3,10796,227435,73975,3141,2935,348520076,97765,4178626,1187
10012.86,2,262144,64,29934,1972469232,0,1161789,613,2,2,12434,220,0,576,180546,2,11716,5,107855364,1154,1,4,237,37120560,3,148482240,4,5481,155,2,13,576,8427484,367,662061799,576,162,3,1,2,2,570,3,659144314,624128546,10240266,37724482,37724482,3,1,1961673096,73389,73389,2,2,2,37724486,3,3,13012,414497,102809,5792,5477,659144314,174754,8325415,1187
15017.60,2,262144,64,42829,2822273758,2,4506638,798,3,3,12434,338,0,576,248516,2,16853,6,112283586,1154,1,4,237,53243001,3,212972004,5,7727,209,2,17,576,12103262,466,927720495,576,162,3,1,2,2,570,3,923598108,891617296,17524535,54067905,54067905,3,1,2811531092,73389,73389,2,2,2,54067909,3,3,14745,580680,132708,8374,7722,923598108,240142,11971452,1187
20022.59,2,262144,64,59167,3898937398,3,8817420,944,4,4,12434,405,0,576,332736,2,23251,6,116928996,1154,1,4,237,73645419,3,294517264,5,10445,317,2,17,576,16679019,588,1264838178,576,162,3,1,2,2,570,3,1259247384,1230528341,26735568,74785412,74785412,3,1,3888841456,73389,73389,2,2,2,74785416,3,3,19411,784428,169312,11292,10439,1259247384,321444,16510717,1187
25027.43,2,262144,64,68555,4517628176,3,11080010,1184,4,4,12434,468,0,576,379956,2,26949,6,116928996,1154,1,4,237,85341424,3,341365696,5,12048,346,2,17,576,19286302,630,1459322412,576,162,3,1,2,2,570,3,1452871162,1425510021,31787161,86672831,86672831,3,1,4506987244,73389,73389,2,2,2,86672835,3,3,19419,900619,181392,12979,12042,1452871162,366977,19106036,1187
30033.49,2,262144,64,73109,4817406380,3,14777807,1301,4,4,12434,530,0,576,401505,2,28770,6,116928996,1154,1,4,237,91010972,3,364043888,5,12850,348,2,17,576,20554389,660,1549086498,576,162,3,1,2,2,570,3,1542206040,1519956265,36840908,92423171,92423171,3,1,4806004924,73389,73389,2,2,2,92423175,3,3,19757,956291,190979,13848,12844,1542206040,387657,20364627,1187
35037.90,2,262144,64,81641,5379986276,3,17281541,1521,4,4,12434,592,0,576,447089,2,32135,6,116928996,1154,1,4,237,101639510,3,406558040,5,14391,430,2,17,576,22929790,776,1734414326,576,162,3,1,2,2,570,3,1726710550,1697034826,41895229,103253822,103253822,3,1,5369198776,73389,73389,2,2,2,103253826,3,3,21469,1066667,212751,15546,14385,1726710550,431543,22718254,1187
40042.70,2,262144,64,94030,6196255540,3,18605242,1839,4,4,12434,656,0,576,509809,2,36999,6,117218580,1154,1,4,237,117117055,3,468468220,5,16487,501,2,17,576,26451645,892,1992296920,576,162,3,1,2,2,570,3,1983463738,1953941413,46982998,118952236,118952236,3,1,6185516304,73389,73389,2,2,2,118952240,3,3,21993,1219875,239004,17787,16481,1983463738,492022,26213916,1187
45047.97,2,262144,64,106759,7034867374,3,19892803,2163,4,4,12434,720,0,576,575581,2,41997,6,117508164,1154,1,4,237,132965714,3,531862856,5,18631,538,2,17,576,30014324,1059,2255607909,576,162,3,1,2,2,570,3,2245620852,2217885426,52081516,135076634,135076634,3,1,7023985000,73389,73389,2,2,2,135076638,3,3,23991,1376679,267479,20175,18625,2245620852,555406,29748294,1187
50052.11,2,262144,64,115788,7629427428,3,22287858,2396,4,4,12434,783,0,576,622144,2,45551,6,117508164,1154,1,4,237,144254127,3,577016508,5,20204,557,2,17,576,32509035,1136,2446223226,576,162,3,1,2,2,570,3,2435391933,2405230950,57147728,146509619,146509619,3,1,7618500220,73389,73389,2,2,2,146509623,3,3,24463,1488532,284523,21923,20198,2435391933,600221,32226039,1187
