event,value,description
Query,7,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,3,"Same as Query, but only for SELECT queries."
InitialQuery,7,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,14,Count queries with all subqueries
SelectQueriesWithSubqueries,10,Count SELECT queries with all subqueries
QueryTimeMicroseconds,14654,Total time of all queries.
SelectQueryTimeMicroseconds,12965,Total time of SELECT queries.
OtherQueryTimeMicroseconds,1689,Total time of queries that are not SELECT or INSERT.
FileOpen,301,Number of files opened.
Seek,808,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,5759,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,11352635,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,5,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,283,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,4,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,1126,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,296026,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,82,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2591067,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheMisses,224,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,35,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,354,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,25155916,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,17,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,552960,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,19,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
CreatedReadBufferOrdinary,244,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,584818,Total time spent waiting for read syscall. This include reads from page cache.
