timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
103862.08,0,0,0,0,0,0,0,0,0,0,39,0,0,15,0,9,0,2097278,2,1,626,0,9,14,0,0,264,0,0,626,16,0,0,0,0,5326,0,0,0,2,1,14,14,427,1,0,0,156,0,0,1,2,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
105866.27,0,0,19688,1295847260,0,0,0,1,1,3885,117,594,124772,24,1838,11,0,122489018,1190,1,626,0,10,15,0,9,3614,594,0,626,16,0,0,1987957,30,426634227,0,594,344,2,1,14,14,427,1,426934468,382155379,1988699,29134565,29150949,1,2,1,1281920860,73389,73389,14,14,14,29134565,9,3,375144,126890,801213,3275,426934468,124772,1186826,1717
107873.63,253952,62,35506,2338347718,25,26903111,51,29,29,3885,120,675,247473,24,5816,39,19,140299886,1352,1,626,0,38,43,8,9,3703,675,0,626,16,0,0,5956577,706648,737763611,0,675,373,2,1,14,14,427,1,738589488,687443550,36876864,52770139,52786523,1,2,1,2321886116,73389,73389,14,14,14,52770139,9,3,499559,251996,1185557,5654,738589488,247473,4771224,1919
109879.32,253952,62,50039,3296091446,25,29527242,104,29,29,3885,122,675,369699,24,9893,39,19,140830790,1352,1,626,0,38,43,8,9,3703,675,0,626,16,0,0,10059187,1410825,1015642764,0,675,373,2,1,14,14,427,1,1018428208,967355652,46488223,74550447,74566831,1,2,1,3280219668,73389,73389,14,14,14,74550447,9,3,505029,376758,1354559,7789,1018428208,369699,8704974,1919
111884.81,253952,62,65208,4295516070,25,31158131,139,32,32,3885,124,675,492190,24,14138,39,19,141096242,1352,1,626,0,38,46,8,9,3703,675,0,626,16,0,0,14305417,2358505,1306887407,0,675,373,2,1,14,14,427,1,1310194480,1259529743,54767257,97272835,97272835,1,2,1,4280004740,73389,73389,14,14,14,97272835,9,3,521928,501777,1550291,10015,1310194480,492190,12755604,1919
113893.41,253952,62,78812,5191845950,29,37127411,183,34,34,3885,127,675,602902,24,18017,39,19,141361694,1352,1,626,0,38,48,8,9,3703,675,0,626,16,0,0,18332557,3071314,1570994886,0,675,373,2,1,14,14,427,1,1571945264,1521563209,65790193,117632053,117648437,1,2,1,5175810332,73389,73389,14,14,14,117632053,9,3,529780,614879,1707739,12012,1571945264,602902,16625429,1919
115899.32,253952,62,92354,6084378050,31,40191882,231,35,35,3885,129,675,738221,24,21818,39,19,141892598,1352,1,626,0,38,49,8,9,3703,675,0,626,16,0,0,22484163,3824941,1830773241,0,675,373,2,1,14,14,427,1,1832516400,1782445035,74197570,137915384,137931768,1,2,1,6068276896,73389,73389,14,14,14,137915384,9,3,544114,752574,1900885,14000,1832516400,738221,20584015,1919
117908.63,253952,62,105790,6969697882,31,43236858,274,35,35,3885,131,675,862358,24,25596,39,19,142158050,1352,1,626,0,38,49,8,9,3703,675,0,626,16,0,0,26502163,4308860,2090818662,0,675,373,2,1,14,14,427,1,2091645744,2041326912,81066914,158037034,158053418,1,2,1,6953629496,73389,73389,14,14,14,158037034,9,3,553051,879175,2067119,15977,2091645744,862358,24435921,1919
119919.31,253952,62,119077,7844987398,31,46049421,319,36,36,3885,133,675,982294,24,29324,39,19,142423502,1352,1,626,0,38,50,8,9,3703,675,0,626,16,0,0,30530410,4920596,2346531394,0,675,373,2,1,14,14,427,1,2347105072,2297159869,89834895,177939659,177939659,1,2,1,7829344996,73389,73389,14,14,14,177939659,9,3,562295,1001464,2250121,17926,2347105072,982294,28281293,1919
121931.16,253952,62,132409,8723491486,32,49867091,363,36,36,3885,135,675,1103162,24,33073,39,19,142688954,1352,1,626,0,38,50,8,9,3703,675,0,626,16,0,0,34643309,5449823,2602382512,0,675,373,2,1,14,14,427,1,2603612976,2553964307,96971777,197905661,197905661,1,2,1,8707128188,73389,73389,14,14,14,197889277,9,3,564316,1124770,2408225,19883,2603612976,1103162,32236229,1919
