timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
63070.18,2,253952,62,40189,2646085360,1,5132438,0,211,15,15,1058,302,3,576,372345,0,9,15746,22,105890642,1154,1,0,4,4806,49925871,9,199445012,21,29,0,6,10301,576,0,0,22774302,569350,865199623,0,576,522,0,3,1,14,14,5444,0,3,865727214,835947407,28446671,50706199,50706199,1,3,1,0,2635870412,73389,73389,14,14,14,50689819,8,3,106883,380617,674652,7214,865727214,372345,22100424,5971
65075.59,8,253952,62,80689,5314398514,2,8549826,0,429,15,15,1058,570,5,576,751105,0,9,31697,22,112792394,1154,1,0,4,4806,100473169,9,401634240,21,29,0,6,10301,576,0,0,46126575,980590,1706909340,0,576,522,0,3,1,14,14,5444,0,3,1706783006,1676016769,55627776,101989268,102038420,1,3,1,0,5301738032,73389,73389,14,14,14,101956504,8,3,142659,767655,1208537,14209,1706783006,751105,44919602,5971
67085.15,25,253952,62,115644,7617178866,4,13447761,0,633,15,15,1058,798,6,585,1051425,0,9,45416,22,116486248,1172,1,0,4,4806,144047806,9,575932604,21,29,0,6,10301,585,0,0,65777416,1358133,2430152049,0,585,529,0,3,1,14,14,5444,0,3,2429662701,2401016279,80517515,146283290,146299674,1,3,1,0,7606731112,73389,73389,14,14,14,146283294,8,3,167304,1075008,1591601,20217,2429662701,1051425,64188064,6004
69093.23,28,253952,62,145878,9610165584,5,15724429,0,818,15,15,1058,991,10,585,1329997,0,9,57331,22,116486248,1172,1,0,4,4806,181768059,9,726943056,21,29,0,6,10301,585,0,0,83213856,1658072,3064258168,0,585,529,0,3,1,14,14,5444,0,3,3063004324,3029026254,100502280,184574735,184591119,1,3,1,0,9597886252,73389,73389,14,14,14,184574739,8,3,182710,1359788,1956586,25460,3063004324,1329997,81260104,6004
71097.75,36,253952,62,171011,11265185102,6,18586431,0,945,15,15,1058,1154,12,585,1548982,0,9,67181,22,116486248,1172,1,0,4,4806,213020323,9,852016592,21,29,0,6,10301,585,0,0,96783205,1845388,3593941572,0,585,529,0,3,1,14,14,5444,0,3,3592229212,3550757543,117083830,216371256,216371256,1,3,1,0,11251305344,73389,73389,14,14,14,216371260,8,3,200166,1583719,2245559,29864,3592229212,1548982,94540971,6004
73105.38,39,253952,62,193648,12758189311,11,23934055,0,1024,19,19,1058,1301,12,585,1727442,0,9,76106,22,116486248,1172,1,0,4,4806,241323308,9,965163792,21,33,0,6,10301,585,0,0,107473711,1892089,4086726675,0,585,529,0,3,1,14,14,5444,0,3,4084729038,4022801724,133189119,244962102,244976327,1,3,1,0,12738029336,73389,73389,14,14,14,244962106,8,3,213482,1766223,2465773,33969,4084729038,1727442,105011658,6004
75118.59,44,253952,62,222307,14645742718,11,25363751,0,1188,20,20,1058,1479,19,603,2012204,2,9,87356,22,120053003,1208,1,0,4,4806,277001386,9,1108005544,21,34,0,6,10301,603,0,0,123565118,2206055,4711704595,0,601,549,2,3,1,14,14,5444,0,3,4708376134,4619196631,150990764,281099939,281116323,1,3,1,0,14617196860,73389,73389,14,14,14,281099943,8,3,227998,2057149,2804973,39168,4708376134,2012204,120764436,6063
77125.76,47,253952,62,251163,16549072148,11,26963383,0,1333,20,20,1058,1663,21,639,2298988,2,9,98696,22,127615028,1280,1,0,4,4806,312906450,9,1251561328,21,34,0,6,10301,639,0,0,139812562,2515543,5351123490,0,637,592,2,3,1,14,14,5444,0,3,5347381385,5221854970,169142851,317484363,317500747,1,3,1,0,16508334940,73389,73389,14,14,14,317467983,8,3,245039,2350167,3171059,44503,5347381385,2298988,136646364,6198
79130.25,47,253952,62,275929,18179628978,14,30969531,0,1431,20,20,1058,1820,21,702,2501492,4,9,108294,22,139031967,1406,1,0,4,4806,343421526,9,1373686104,21,34,0,6,10301,702,0,0,151390643,2594016,5921536693,0,698,634,4,3,1,14,14,5444,0,3,5919537330,5740097774,184608328,348545319,348545319,1,3,1,0,18122652684,73389,73389,14,14,14,348512555,8,3,263009,2557219,3425123,49271,5919537330,2501492,147970820,6373
81137.45,49,253952,62,302796,19949413244,15,33426956,0,1538,24,24,1058,1991,22,765,2753523,4,9,118833,22,151074237,1532,1,0,4,4806,376701695,9,1506742080,21,38,0,6,10301,765,0,0,165376305,2858828,6539684918,0,761,693,4,3,1,14,14,5444,0,3,6535647291,6302151433,201498522,382272549,382272549,1,3,1,0,19877320612,73389,73389,14,14,14,382256169,8,3,294174,2814926,3790030,54377,6535647291,2753523,161592201,6589
83141.63,59,253952,62,331424,21834796310,15,34829209,0,1675,24,24,1058,2175,27,927,3036339,4,9,129977,22,179668494,1856,1,0,4,4806,412030574,9,1648122296,21,38,0,6,10301,927,0,0,180379546,3094201,7193110789,0,923,843,4,3,1,14,14,5444,0,3,7188786667,6900565531,218138185,418202983,418219367,1,3,1,0,21746555148,73389,73389,14,14,14,418202987,8,3,304732,3103723,4155554,59793,7188786667,3036339,176230482,7133
85152.71,59,253952,62,357217,23533692214,19,39613919,0,1773,29,29,1058,2337,27,1008,3231433,6,9,140026,22,194350010,2018,1,0,4,4806,443942633,9,1775520752,21,43,0,6,10301,1008,0,0,191890984,3151212,7806635916,0,1002,905,6,3,1,14,14,5444,0,3,7801481727,7441763372,234467786,450488421,450488421,1,3,1,0,23424545956,73389,73389,14,14,14,450472041,8,3,341133,3303451,4431554,64846,7801481727,3231433,187466379,7349
87160.50,68,253952,62,390255,25708947338,19,40748552,0,1954,30,30,1058,2547,27,1395,3551996,8,9,152894,22,262615991,2792,1,0,4,4806,484719414,9,1938684092,21,44,0,6,10301,1395,0,0,210508311,3536104,8583896152,0,1387,1303,8,3,1,14,14,5444,0,3,8579276449,8133716557,254577766,491846907,491896059,1,3,1,0,25575187228,73389,73389,14,14,14,491830527,8,3,358353,3631325,4843243,71271,8579276449,3551996,205672676,8717
89167.26,69,253952,62,423883,27924882078,21,43939365,0,2127,31,31,1058,2762,29,1395,3887906,8,9,165984,22,265777283,2792,1,0,4,4806,526202278,9,2104744572,21,45,0,6,10301,1395,0,0,229136311,3876848,9397641998,0,1387,1303,8,3,1,14,14,5444,0,3,9390684630,8840156124,276721790,533920897,533920897,1,3,1,0,27763886676,73389,73389,14,14,14,533920901,8,3,369302,3974920,5276363,78021,9390684630,3887906,223868212,8717
91178.19,72,253952,62,458521,30207925194,21,45294887,0,2283,34,34,1058,2981,31,1395,4244313,8,9,179421,22,267647513,2792,1,0,4,4806,568792730,9,2275170920,21,48,0,6,10301,1395,0,0,248340627,4199491,10250509331,0,1387,1303,8,3,1,14,14,5444,0,3,10245272322,9569052252,297588919,577168058,577217210,1,3,1,0,30011035112,73389,73389,14,14,14,577135294,8,3,393790,4339365,5756113,85145,10245272322,4244313,242593456,8717
92065.01,74,253952,62,476776,31410029700,24,46989706,3,2376,47,47,1058,3130,32,1395,4429778,8,9,186584,41,275000052,2799,1,1227,4,4806,591599349,9,2366397396,40,68,1146,33,10837,1395,1227,127,259087976,4478023,10688519370,8,1387,1303,8,3,1,14,14,5444,30999963,3,10679478040,9951951951,372579255,600037902,600037902,1,3,1,30999963,31201970936,73389,73389,14,14,14,600037906,8,3,418186,4528875,6028556,88706,10679478040,4429778,253068753,8717
