timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
70334.21,6,253952,62,25355,1669242728,5,6940187,174,14,14,1216,215,2,567,242830,0,15,9926,21,0,102917107,1136,1,0,4,992,31438650,6,125496360,20,28,0,6,10570,567,0,0,0,15475638,362372,560169946,0,567,578,0,3,1,14,14,1610,3,560192708,528410445,22744118,31921560,31921560,1,3,1,1659921152,73389,73389,14,14,14,31921564,10,3,114778,248090,548794,4698,560192708,242830,14927350,3667
72339.01,7,253952,62,44616,2938131726,9,12689139,240,16,16,1216,344,2,576,357871,0,15,17511,21,0,106228490,1154,1,0,4,992,55423103,6,221692412,20,30,0,6,10570,576,0,0,0,24202332,365683,961641323,0,576,584,0,3,1,14,14,1610,3,961323262,927910018,37216416,56296573,56329341,1,3,1,2926569860,73389,73389,14,14,14,56280193,10,3,125793,366313,707592,8043,961323262,357871,23495614,3691
74348.19,9,253952,62,71309,4697185238,9,13820122,393,18,18,1216,506,2,576,590011,0,15,28030,21,0,109968950,1154,1,0,4,992,88828724,6,355250080,20,32,0,6,10570,576,0,0,0,39759220,573397,1510763009,0,576,584,0,3,1,14,14,1610,3,1510697909,1481709453,54042247,90128140,90144524,1,3,1,4686663312,73389,73389,14,14,14,90128144,10,3,146984,603867,1031382,12581,1510697909,590011,38729249,3691
76361.71,16,253952,62,98169,6466893678,10,16381789,544,21,21,1216,682,4,576,833229,0,15,38605,21,0,113118176,1154,1,0,4,992,122380310,6,489391928,20,35,0,6,10570,576,0,0,0,55985795,929130,2068533891,0,576,584,0,3,1,14,14,1610,3,2068440584,2038930952,73262992,124158474,124191242,1,3,1,6456240680,73389,73389,14,14,14,124158478,10,3,162929,852885,1368293,17209,2068440584,833229,54619445,3691
78366.11,18,253952,62,124159,8178970432,12,19584822,685,22,22,1216,854,6,585,1055720,0,15,48780,21,0,117127065,1172,1,0,4,992,154747511,6,618925392,20,36,0,6,10570,585,0,0,0,70552915,1134582,2607634717,0,585,594,0,3,1,14,14,1610,3,2606290981,2577724288,91109967,157103590,157119974,1,3,1,8169386712,73389,73389,14,14,14,157103594,10,3,184139,1080622,1656163,21677,2606290981,1055720,68899212,3725
80374.77,23,253952,62,145605,9592612104,17,26067286,772,26,26,1216,986,7,585,1215563,0,15,57282,21,0,118357797,1172,1,0,4,992,181604984,6,726290680,20,40,0,6,10570,585,0,0,0,81619164,1259068,3056320535,0,585,594,0,3,1,14,14,1610,3,3054295991,3023359254,108896731,184244896,184261280,1,3,1,9580734624,73389,73389,14,14,14,184244900,10,3,211563,1244304,1917247,25390,3054295991,1215563,79704784,3725
82381.85,27,253952,62,172572,11368753728,17,27555108,944,26,26,1216,1157,7,603,1480582,0,15,67858,21,0,122006228,1208,1,0,4,992,215145604,6,860388324,20,40,0,6,10570,603,0,0,0,97802242,1689045,3618852904,0,603,612,0,3,1,14,14,1610,3,3617476543,3582859258,126941206,218377852,218410620,1,3,1,11353944400,73389,73389,14,14,14,218345088,10,3,218217,1514964,2203678,30055,3617476543,1480582,95601987,3792
84386.08,27,253952,62,196676,12956279314,20,31690637,1052,26,26,1216,1313,8,639,1646454,2,15,77267,21,0,128434419,1280,1,0,4,992,245050237,6,980071760,20,40,0,6,10570,639,0,0,0,109031777,1704861,4129911197,0,637,633,2,3,1,14,14,1610,3,4128099328,4083612601,142342432,248873560,248873560,1,3,1,12940573184,73389,73389,14,14,14,248857180,10,3,231316,1684865,2428610,34308,4128099328,1646454,106607025,3909
86392.79,29,253952,62,225932,14884197420,21,33934326,1203,32,32,1216,1509,9,666,1886214,4,15,88873,21,0,133501193,1334,1,0,4,992,281723786,6,1126830504,20,46,0,6,10570,666,0,0,0,125824096,2009793,4754658575,0,662,661,4,3,1,14,14,1610,3,4751252304,4691740912,161670581,285856444,285856444,1,3,1,14863683152,73389,73389,14,14,14,285840064,10,3,262431,1930406,2740969,39506,4751252304,1886214,123087561,3994
88400.85,31,253952,62,257862,16987796108,21,37239892,1401,32,32,1216,1710,10,765,2174706,6,15,101392,21,0,151497287,1532,1,0,4,992,321382925,6,1285467060,20,46,0,6,10570,765,0,0,0,144359821,2404124,5442802877,0,759,760,6,3,1,14,14,1610,3,5441017515,5356280658,183832442,326146293,326162677,1,3,1,16957903332,73389,73389,14,14,14,326113529,10,3,282560,2225550,3113972,45242,5441148587,2174749,141250897,4369
