timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
51650.30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
53654.65,6,0,0,19031,1252524656,0,0,0,0,1,1,5410,117,576,122928,8,1777,9,0,118681202,1154,1,0,8,15,7,843,576,0,0,0,1987728,4283,411561508,0,576,371,2,1,14,14,417,1,412778692,369350492,1992484,28161876,28178260,1,2,1,1239122544,73389,73389,14,14,14,28161876,12,3,361851,125024,806318,3167,412778692,122928,1181507,1686
55664.51,6,253952,62,35473,2336185030,15,16204191,0,44,19,19,5410,120,675,242124,8,5765,27,554,140299886,1352,1,0,26,33,7,1625,675,0,0,0,5912192,463027,735812875,0,675,401,2,1,14,14,417,1,737803056,686781229,27855691,52737371,52737371,1,2,1,2320444324,73389,73389,14,14,14,52737371,12,3,493879,246627,1208765,5648,737803056,242124,4703667,1954
57671.00,6,253952,62,48794,3213968222,17,20468305,0,82,21,21,5410,122,675,346811,8,9549,27,554,140830790,1352,1,0,26,35,7,1625,675,0,0,0,9947534,819278,991416944,0,675,401,2,1,14,14,417,1,994310960,943367381,36821426,72686989,72686989,1,2,1,3197506620,73389,73389,14,14,14,72670605,12,3,500758,353752,1366825,7605,994310960,346811,8581099,1954
59681.00,6,253952,62,62951,4146804962,17,24222389,0,123,22,22,5410,124,675,455256,8,13523,27,554,141096242,1352,1,0,26,36,7,1625,675,0,0,0,13971953,1310208,1263932743,0,675,401,2,1,14,14,417,1,1266547504,1216042894,44692465,93879632,93896016,1,2,1,4130703808,73389,73389,14,14,14,93879632,12,3,510775,464606,1514207,9682,1266547504,455256,12458288,1954
61688.13,6,253952,62,77150,5082394214,18,28054859,0,169,23,23,5410,126,675,559961,8,17504,27,554,141361694,1352,1,0,26,37,7,1625,675,0,0,0,18005402,1984942,1537107278,0,675,401,2,1,14,14,417,1,1539963696,1489603022,54533178,115154195,115154195,1,2,1,5066784580,73389,73389,14,14,14,115154195,12,3,525929,571764,1657758,11768,1539963696,559961,16348339,1954
63699.09,6,253952,62,90969,5993079786,18,33086167,0,214,23,23,5410,129,675,677390,8,21412,27,554,141627146,1352,1,0,26,37,7,1625,675,0,0,0,22012649,3229279,1805814707,0,675,401,2,1,14,14,417,1,1806039856,1755744835,62082011,135855318,135855318,1,2,1,5977633992,73389,73389,14,14,14,135855318,12,3,546487,691560,1834376,13798,1806039856,677390,20179110,1954
65709.46,6,253952,62,104181,6863719554,19,37703854,0,257,23,23,5410,131,675,788499,8,25153,27,554,142158050,1352,1,0,26,37,7,1625,675,0,0,0,26092212,3957944,2059567293,0,675,401,2,1,14,14,417,1,2060319536,2010364970,74555981,155632904,155632904,1,2,1,6847847776,73389,73389,14,14,14,155632904,12,3,568680,805005,2002397,15738,2060319536,788499,24090785,1954
67717.27,6,253952,62,118163,7784822042,20,41268583,0,311,24,24,5410,133,675,897160,8,29077,27,554,142423502,1352,1,0,26,38,7,1625,675,0,0,0,30172343,4670792,2328271908,0,675,401,2,1,14,14,417,1,2329672496,2279540143,83370065,176573754,176573754,1,2,1,7769245176,73389,73389,14,14,14,176573754,12,3,587088,916027,2170550,17793,2329672496,897160,28002905,1954
69734.54,6,253952,62,132112,8704027294,21,43837145,0,366,26,26,5410,135,675,1006542,8,32994,27,554,142688954,1352,1,0,26,40,7,1625,675,0,0,0,34431264,5406527,2598021216,0,675,401,2,1,14,14,417,1,2597845808,2548285458,91638700,197463293,197463293,1,2,1,8688384892,73389,73389,14,14,14,197463293,12,3,610242,1027779,2365660,19839,2597845808,1006542,32066845,1954
71739.30,6,253952,62,143075,9426214790,26,51264235,0,414,28,28,5410,137,675,1074214,8,36089,27,554,142942340,1352,1,0,26,42,7,1625,675,0,0,0,37300277,5706043,2809416401,0,675,401,2,1,14,14,417,1,2808871728,2759427428,102765253,213874411,213874411,1,2,1,9410474084,73389,73389,14,14,14,213874411,12,3,623518,1096957,2466184,21449,2808871728,1074214,34835440,1954
73750.20,6,253952,62,156846,10333430262,26,52633289,0,459,31,31,5410,139,675,1170023,8,39955,27,554,143473244,1352,1,0,26,45,7,1625,675,0,0,0,40946662,6143379,3072707514,0,675,401,2,1,14,14,417,1,3073084368,3024496669,108626977,234499647,234499647,1,2,1,10317984468,73389,73389,14,14,14,234499647,12,3,649306,1195560,2630665,23468,3073084368,1170023,38317470,1954
75757.84,6,253952,62,170621,11240966798,27,56612932,0,499,31,31,5410,142,675,1286858,8,43876,27,554,144004148,1352,1,0,26,45,7,1625,675,0,0,0,44991415,6849654,3336165074,0,675,401,2,1,14,14,417,1,3338505168,3289702066,117518187,255129201,255129201,1,2,1,11224963948,73389,73389,14,14,14,255112817,12,3,670709,1314710,2787082,25493,3338505168,1286858,42205943,1954
77762.73,6,253952,62,184470,12153618450,27,58922774,0,551,32,32,5410,144,675,1394240,8,47760,27,554,144269600,1352,1,0,26,46,7,1625,675,0,0,0,48878703,7471197,3604207832,0,675,401,2,1,14,14,417,1,3604974544,3556553621,124939670,275854900,275871284,1,2,1,12137615600,73389,73389,14,14,14,275854900,12,3,693338,1424328,2935648,27526,3604974544,1394240,45944800,1954
79769.04,6,253952,62,194817,12835435770,30,63673376,0,582,32,32,5410,146,675,1447835,8,50659,27,554,144535052,1352,1,0,26,46,7,1625,675,0,0,0,51149201,7487004,3804840181,0,675,401,2,1,14,14,417,1,3804335056,3755827350,132051310,291364898,291364898,1,2,1,12820055512,73389,73389,14,14,14,291364898,12,3,704440,1479175,3005605,29047,3804335056,1447835,48145441,1954
81776.65,6,253952,62,208539,13739764350,30,66272670,0,626,35,35,5410,148,675,1569568,8,54566,27,554,145065956,1352,1,0,26,49,7,1625,675,0,0,0,55141410,8192919,4068558999,0,675,401,2,1,14,14,417,1,4068445136,4020133765,139832065,311910373,311926757,1,2,1,13724056412,73389,73389,14,14,14,311910373,12,3,732184,1603208,3185809,31062,4068445136,1569568,51957573,1954
83781.26,6,253952,62,220452,14524741950,33,70634175,0,679,35,35,5410,150,675,1652922,8,57903,27,554,145331408,1352,1,0,26,49,7,1625,675,0,0,0,58168506,8403469,4298694397,0,675,401,2,1,14,14,417,1,4297690064,4249668603,147530493,329742581,329758965,1,2,1,14508673564,73389,73389,14,14,14,329742581,12,3,744275,1688212,3299444,32811,4297690064,1652922,54871136,1954
85792.35,6,253952,62,232460,15315945470,33,72161934,0,705,37,37,5410,152,675,1734588,8,61294,27,554,145596860,1352,1,0,26,51,7,1625,675,0,0,0,61197805,8741693,4529093908,0,675,401,2,1,14,14,417,1,4528507856,4480840771,152631412,347738629,347755013,1,2,1,15300499676,73389,73389,14,14,14,347738629,12,3,763730,1771557,3428047,34572,4528507856,1734588,57771940,1954
87802.84,6,253952,62,246249,16224399510,34,75877385,0,750,38,38,5410,154,675,1856294,8,65164,27,554,145862312,1352,1,0,26,52,7,1625,675,0,0,0,65239434,9461637,4794392078,0,675,401,2,1,14,14,417,1,4794190800,4746517243,160721902,368376375,368392759,1,2,1,16208560500,73389,73389,14,14,14,368376375,12,3,775875,1895663,3595127,36599,4794190800,1856294,61646625,1954
89813.65,6,253952,62,260055,17133967662,34,78708479,0,791,38,38,5410,156,675,1976515,8,69035,27,554,146127764,1352,1,0,26,52,7,1625,675,0,0,0,69313513,10069336,5061268601,0,675,401,2,1,14,14,417,1,5059873744,5012458515,169386842,389055081,389055081,1,2,1,17117702668,73389,73389,14,14,14,389038697,12,3,789714,2018318,3763731,38626,5059873744,1976515,65552250,1954
91822.03,6,253952,62,274520,18087520394,35,82342427,0,834,40,40,5410,158,675,2094965,8,73098,27,554,146658668,1352,1,0,26,54,7,1625,675,0,0,0,73417363,10897200,5339681300,0,675,401,2,1,14,14,417,1,5338794960,5291151817,178552477,410726734,410743118,1,2,1,18071976296,73389,73389,14,14,14,410726734,12,3,808580,2139162,3932120,40754,5338794960,2094965,69487869,1954
93835.79,6,253952,62,289174,19052502542,36,86742271,0,874,40,40,5410,161,675,2197379,8,77254,27,554,146924120,1352,1,0,26,54,7,1625,675,0,0,0,77462365,11822441,5621779738,0,675,401,2,1,14,14,417,1,5619948363,5573226290,188257719,432664849,432664849,1,2,1,19037253356,73389,73389,14,14,14,432664849,12,3,826902,2243867,4095788,42903,5619948363,2197379,73369356,1954
95840.93,6,253952,62,304437,20058099616,36,87872231,0,910,45,45,5410,164,675,2304157,8,81605,27,554,147455024,1352,1,0,26,59,7,1625,675,0,0,0,81571083,12539517,5914086028,0,675,401,2,1,14,14,417,1,5913549643,5867175978,197611838,455518309,455518309,1,2,1,20042805596,73389,73389,14,14,14,455518309,12,3,876499,2353046,4328316,45143,5913549643,2304157,77245694,1954
97845.29,6,253952,62,314740,20736562534,43,96070295,0,942,45,45,5410,166,675,2356258,8,84500,27,554,147720476,1352,1,0,26,59,7,1625,675,0,0,0,83942618,12567392,6113964803,0,675,401,2,1,14,14,417,1,6111368553,6065404130,208369422,470946387,470946387,1,2,1,20721641028,73389,73389,14,14,14,470946387,12,3,888833,2406339,4390253,46659,6111368553,2356258,79555382,1954
99852.00,6,253952,62,328974,21674710998,43,98619544,0,975,48,48,5410,169,675,2462716,8,88550,27,554,148251380,1352,1,0,26,62,7,1625,675,0,0,0,87642796,13853764,6385428574,0,675,401,2,1,14,14,417,1,6385177961,6339603216,216400265,492259751,492276135,1,2,1,21659429044,73389,73389,14,14,14,492259751,12,3,924872,2514919,4588110,48748,6385177961,2462716,83057855,1954
