timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
211.59,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
2214.92,253952,62,45245,2980053698,0,2907,0,3,60,60,10,121,675,314820,126,26,8528,75,179,140565338,1352,1,0,74,74,17,14,376,675,0,0,0,7041882,3048,871932743,0,549,314,126,6,1,2,1,14,14,292,1,925891376,874987461,9113814,67372984,67372984,1,2,1,2964411296,73389,73389,14,14,14,67372984,6,3,426028,319957,2079094,7083,925891376,314820,4963306,2561
4218.36,253952,62,68890,4538412334,0,2907,0,3,60,60,10,125,675,377394,126,26,15197,75,179,141361694,1352,1,0,74,74,17,14,376,675,0,0,0,10961890,3343,1328362250,0,549,314,126,6,1,2,1,14,14,292,1,1381104432,1330563632,15130813,102789481,102789481,1,2,1,4522737164,73389,73389,14,14,14,102789481,6,3,431912,384163,2170442,10556,1381104432,377394,8792131,2561
6222.81,253952,62,92126,6069435842,0,2907,0,3,60,60,10,129,675,445682,126,26,21759,75,179,141892598,1352,1,0,74,74,17,14,376,675,0,0,0,14930816,3589,1775092162,0,549,314,126,6,1,2,1,14,14,292,1,1828191024,1778101065,32753689,137587704,137587704,1,2,1,6053138080,73389,73389,14,14,14,137571320,6,3,443261,454248,2264087,13967,1828191024,445682,12667581,2561
8227.79,253952,62,109881,7239398370,0,2907,0,3,60,60,10,132,675,574987,126,26,26762,75,179,142423502,1352,1,0,74,74,17,14,376,675,0,0,0,19512370,1015517,2116677061,0,549,314,126,6,1,2,1,14,14,292,1,2170420016,2120109867,63051248,164176272,164176272,1,2,1,7223755968,73389,73389,14,14,14,164176272,6,3,476093,586014,2508993,16578,2170420016,574987,17004369,2561
10238.39,253952,62,126705,8347550526,0,2907,0,3,60,60,10,134,675,706718,126,26,31470,75,179,142423502,1352,1,0,74,74,17,14,376,675,0,0,0,24008641,2312491,2441339049,0,549,314,126,6,1,2,1,14,14,292,1,2494036784,2444029032,90344402,189362293,189362293,1,2,1,8331940892,73389,73389,14,14,14,189362293,6,3,503025,720282,2724417,19047,2494036784,706718,21285346,2561
12243.46,253952,62,146477,9650495522,0,2907,0,3,60,60,10,138,675,833662,126,26,37063,75,179,142942340,1352,1,0,74,74,17,14,376,675,0,0,0,28916395,2493358,2822833173,0,549,314,126,6,1,2,1,14,14,292,1,2874538800,2824954465,99488233,218975424,218975424,1,2,1,9634918656,73389,73389,14,14,14,218975424,6,3,515988,850070,2925508,21950,2874538800,833662,25992216,2561
14250.05,253952,62,162214,10687085674,0,2907,0,3,60,60,10,140,675,953044,126,26,41475,75,179,143738696,1352,1,0,74,74,17,14,376,675,0,0,0,33326650,4298241,3123204645,0,549,314,126,6,1,2,1,14,14,292,1,3176238032,3127870886,123972769,242537270,242537270,1,2,1,10670918984,73389,73389,14,14,14,242520886,6,3,540870,971782,3149543,24255,3176238032,953044,30178562,2561
16255.89,253952,62,182483,12022602062,0,2907,0,3,60,60,10,144,675,1075449,126,26,47197,75,179,144004148,1352,1,0,74,74,17,14,376,675,0,0,0,38174769,4362232,3513334648,0,549,314,126,6,1,2,1,14,14,292,1,3566832592,3518261746,134271900,272887681,272887681,1,2,1,12007057964,73389,73389,14,14,14,272887681,6,3,546293,1096772,3329097,27235,3566832592,1075449,34847328,2561
18270.73,253952,62,196895,12972150482,0,2907,0,3,60,60,10,146,675,1219224,126,26,51284,75,179,144535052,1352,1,0,74,74,17,14,376,675,0,0,0,42541352,6515030,3791568630,0,549,314,126,6,1,2,1,14,14,292,1,3843918800,3795776259,163138321,294473540,294473540,1,2,1,12956114864,73389,73389,14,14,14,294457156,6,3,581218,1242902,3576614,29349,3843918800,1219224,38966485,2561
20332.85,253952,62,211646,13944446510,0,2907,0,3,60,60,10,148,675,1375380,126,26,55404,75,179,145065956,1352,1,0,74,74,17,14,376,675,0,0,0,46972588,8891974,4074781385,0,549,314,126,6,1,2,1,14,14,292,1,4128213968,4080012137,178979673,316571177,316571177,1,2,1,13928410892,73389,73389,14,14,14,316554793,6,3,610074,1401554,3857408,31518,4128213968,1375380,43117027,2561
22344.66,253952,62,225735,14872826802,0,2907,0,3,60,60,10,151,675,1510597,126,26,59408,75,179,145331408,1352,1,0,74,74,17,14,376,675,0,0,0,51188779,11358426,4346460728,0,549,314,126,6,1,2,1,14,14,292,1,4399401936,4351422024,218853978,337657324,337673708,1,2,1,14856922256,73389,73389,14,14,14,337657324,6,3,643578,1539061,4090151,33587,4399401936,1510597,47099611,2561
24352.39,253952,62,239921,15807298634,0,2907,0,3,60,60,10,153,675,1645220,126,26,63384,75,179,145596860,1352,1,0,74,74,17,14,376,675,0,0,0,55777910,13942210,4615914474,0,549,314,126,6,1,2,1,14,14,292,1,4672162768,4624564671,236833536,358909470,358909470,1,2,1,15792016680,73389,73389,14,14,14,358909470,6,3,680983,1675988,4322693,35668,4672162768,1645220,51457269,2561
