timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
38609.31,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,2097278,2,1,626,0,0,0,0,0,0,0,0,626,7,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
40612.91,0,0,20354,1339759688,0,0,0,0,1,1,6610,117,0,621,124814,17,1901,16,0,128068016,1244,1,626,0,15,15,68,14,219,621,0,626,7,0,0,1968067,10891,439478101,0,621,325,2,1,14,14,428,1,442138820,395093423,1980194,30123638,30140022,1,2,1,1325440072,73389,73389,14,14,14,30123638,10,3,383316,126876,770342,3391,442138820,124814,1197819,1690
42616.25,253952,62,43233,2847410976,0,0,0,0,30,30,6610,121,0,675,210480,17,7982,45,48,140565338,1352,1,626,0,44,44,82,14,333,675,0,626,7,0,0,5890388,10945,883285680,0,675,333,2,1,14,14,428,1,886962992,836229076,8273654,64356613,64379030,1,2,1,2831690972,73389,73389,14,14,14,64356613,10,3,463679,214676,994969,6786,886962992,210480,4895678,1804
44619.00,253952,62,65790,4333923474,0,0,0,0,30,30,6610,124,0,675,292733,17,14297,45,48,141096242,1352,1,626,0,44,44,82,14,333,675,0,626,7,0,0,9998034,10987,1319795699,0,675,333,2,1,14,14,428,1,1321335600,1270727890,14247279,98147220,98147220,1,2,1,4318477680,73389,73389,14,14,14,98147220,10,3,465963,299191,1118087,10100,1321335600,292733,8880388,1804
46628.01,253952,62,87636,5773321038,2,2000224,0,12,30,30,6610,128,0,675,383701,17,20489,45,48,141627146,1352,1,626,0,44,44,82,14,333,675,0,626,7,0,0,14185579,22950,1739392910,0,675,333,2,1,14,14,428,1,1741683504,1691467491,41388627,130852609,130868993,1,2,1,5757514796,73389,73389,14,14,14,130852609,10,3,508984,392373,1277065,13307,1741683504,383701,12909178,1804
48634.48,253952,62,102211,6733817278,26,28623309,0,71,30,30,6610,130,0,675,499297,17,24560,45,48,141892598,1352,1,626,0,44,44,82,14,333,675,0,626,7,0,0,18291181,500637,2020964245,0,675,333,2,1,14,14,428,1,2022701872,1972347131,205805174,152673877,152690261,1,2,1,6717650588,73389,73389,14,14,14,152673877,10,3,531773,510418,1462051,15451,2022701872,499297,16829958,1804
50643.45,253952,62,116152,7652256922,26,31476642,0,116,30,30,6610,133,21,675,604359,17,28526,45,48,142423502,1352,1,626,0,44,44,82,14,333,675,0,626,7,0,0,22287418,976816,2289022023,0,675,333,2,1,14,14,428,1,2290744112,2240831655,211809436,173557383,173557383,1,2,1,7636524852,73389,73389,14,14,14,173557383,10,3,547353,617866,1614524,17496,2290744112,604359,20673875,1804
52647.25,253952,62,128977,8497510126,27,33917171,0,167,30,30,6610,135,21,675,686820,17,32135,45,48,142688954,1352,1,626,0,44,44,82,14,333,675,0,626,7,0,0,25684270,1103301,2537790881,0,675,333,2,1,14,14,428,1,2537683760,2487894945,220320235,192769721,192769721,1,2,1,8481867724,73389,73389,14,14,14,192769721,10,3,562052,702271,1718592,19380,2537683760,686820,23966792,1804
54658.07,253952,62,140655,9266821314,28,36512483,0,188,32,32,6610,137,21,675,751280,17,35450,45,48,142942340,1352,1,626,0,44,46,82,14,333,675,0,626,7,0,0,28227611,1186594,2760975005,0,675,333,2,1,14,14,428,1,2762472240,2712828070,225697838,210251832,210268216,1,2,1,9251080608,73389,73389,14,14,14,210251832,10,3,580019,768219,1828101,21095,2762472240,751280,26400724,1804
56666.90,253952,62,154328,10167348806,29,39922026,0,228,32,32,6610,139,21,675,865583,17,39266,45,48,143473244,1352,1,626,0,44,46,82,14,333,675,0,626,7,0,0,32331967,1472925,3022577448,0,675,333,2,1,14,14,428,1,3024587728,2975987484,233682521,230723579,230723579,1,2,1,10151116580,73389,73389,14,14,14,230707195,10,3,602365,884949,1988704,23098,3024587728,865583,30344628,1804
