timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
6155.28,14,262144,64,21445,1413177958,111,0,585,768168,6,2394,67,124484256,1172,1,66,3595,4084362,2,286489,585,6774979,35683654,464751574,585,2219,2,1,2,2,930,1,462463388,416373152,62084008,31763309,31779693,2,1,1397585596,73389,73389,2,2,2,31763309,14,3,82813,33560390,1259109,61503,3530,462463388,706665,5511245,15331
11431.05,14,262144,64,23484,1547590152,111,0,585,826113,6,2949,67,124484256,1172,1,66,3896,4521211,2,286489,585,8203057,40726445,504285275,585,2219,2,1,2,2,930,1,501784988,455669108,80507620,34828832,34828832,2,1,1532468608,73389,73389,2,2,2,34828832,14,3,89751,36325093,1375105,64331,3830,501784988,761782,6823877,15331
16492.37,14,262144,64,26037,1715699916,112,0,585,930215,6,3702,67,124484256,1172,1,66,4272,4855897,2,286489,585,9501784,45431734,553825965,585,2219,2,1,2,2,930,1,551068060,504777516,109342367,38639827,38656211,2,1,1700152388,73389,73389,2,2,2,38639827,14,3,92879,39057871,1462596,103633,4206,551068060,826582,8035125,15331
21534.56,14,262144,64,29166,1921823868,112,0,585,999383,6,4556,67,124484256,1172,1,66,4730,5040534,2,286489,585,10746222,50225141,614170321,585,2219,2,1,2,2,930,1,611099036,565068032,136210943,43333399,43333399,2,1,1906669556,73389,73389,2,2,2,43333399,14,3,95996,41308966,1552320,106815,4664,611099036,892568,9187641,15331
26607.65,14,262144,64,33051,2178023940,113,1,585,1093023,6,5669,67,124749708,1172,1,66,5300,5374510,2,286489,585,12163563,54710729,689260824,585,2219,2,1,2,2,930,1,685810076,639998162,149253337,49153149,49153149,2,1,2162738556,73389,73389,2,2,2,49153149,14,3,99077,43952159,1659592,122135,5234,685810076,970888,10497495,15331
31638.03,14,262144,64,37993,2503495564,114,1,585,1197071,6,7071,67,124749708,1172,1,66,6027,5471273,2,286489,585,14085162,59350482,785013604,585,2219,2,1,2,2,930,1,781099420,735107819,234099752,56553955,56553955,2,1,2488374020,73389,73389,2,2,2,56553955,14,3,104765,46567838,1769743,125634,5961,781099420,1071437,12309797,15331
36757.85,14,262144,64,42251,2784140564,114,1,585,1300080,6,8232,67,124749708,1172,1,66,6653,5692255,2,286489,585,16139759,64019261,867472893,585,2219,2,1,2,2,930,1,863150492,817175801,288646924,62930761,62930761,2,1,2768953484,73389,73389,2,2,2,62930761,14,3,110134,48909766,1878734,129364,6587,863150492,1170716,14254663,15331
41877.50,14,262144,64,46144,3040599472,115,1,585,1395579,6,9350,67,125015160,1172,1,66,7225,5868757,2,286489,585,18320683,69206759,942820192,585,2219,2,1,2,2,930,1,938123676,892142415,340035827,68760862,68760862,2,1,3025477928,73389,73389,2,2,2,68760862,14,3,115880,51776591,1997235,132572,7159,938123676,1263007,16317173,15331
46929.11,14,262144,64,49966,3292670776,116,1,585,1492426,6,10446,67,125280612,1172,1,66,7788,6012874,2,286489,585,19847756,73926955,1016987909,585,2219,2,1,2,2,930,1,1011917212,965896555,394800774,74474116,74490500,2,1,3276861104,73389,73389,2,2,2,74474116,14,3,118765,54441957,2097860,135819,7722,1011917212,1356607,17744346,15331
52032.50,14,262144,64,53208,3506200296,116,1,585,1569390,6,11328,67,125280612,1172,1,66,8262,6164748,2,286489,585,21370660,78743188,1079435279,585,2219,2,1,2,2,930,1,1074045340,1028262763,408065419,79331528,79347912,2,1,3490587232,73389,73389,2,2,2,79331528,14,3,120084,57248449,2161982,138536,8196,1074045340,1430854,19203251,15331
