timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5031.83,5,262144,64,51858,3417195792,116,0,585,674660,1,10962,67,604,125280612,1172,1,66,8067,192806,2,17764,585,11206163,4580195,1052706400,585,618,2,1,2,1,2,2,354,1,1048486300,1002303381,30814060,77304230,77320614,2,1,3401386120,73389,73389,2,2,2,77304230,6,3,275430,3973433,1670447,14753,8001,1048486300,659907,9533619,29559
10067.09,5,262144,64,58322,3843221630,117,0,585,847029,1,12780,67,604,125280612,1172,1,66,9013,239613,2,17764,585,14595429,8358457,1177290104,585,618,2,1,2,1,2,2,354,1,1172480412,1126806539,52655168,87000511,87000511,2,1,3827301588,73389,73389,2,2,2,86984127,6,3,279576,5893143,1861592,20243,8947,1172480412,826786,12735157,29559
15092.75,5,262144,64,65549,4319504822,118,0,585,1039730,1,14805,67,604,125546064,1172,1,66,10077,310635,2,17764,585,17250263,11962262,1317400588,585,618,2,1,2,1,2,2,354,1,1311941020,1266050313,88982474,97825129,97825129,2,1,4303584780,73389,73389,2,2,2,97808745,6,3,286196,7835353,2054844,25760,10011,1311941020,1013970,15192122,29559
20099.85,5,262144,64,103927,6848424802,125,0,585,1376517,1,25656,67,604,126837126,1172,1,66,15714,322022,2,17764,585,27703544,13464780,2059126222,585,618,2,1,2,1,2,2,354,1,2050793884,2005273672,146309191,155302621,155319005,2,1,6833315324,73389,73389,2,2,2,155302621,6,3,313326,8817660,2336829,45814,15648,2050793884,1330703,25362948,29559
25105.21,5,262144,64,147592,9725715910,132,0,585,1700093,1,37948,67,604,127886868,1172,1,66,22131,324641,2,17764,585,37828298,13762652,2903318463,585,618,2,1,2,1,2,2,354,1,2891751836,2846347017,175418444,220686664,220703048,2,1,9710213216,73389,73389,2,2,2,220686664,6,3,338027,9570127,2564974,53558,22065,2891751836,1646535,35260290,29559
30120.72,5,262144,64,196762,12965375410,140,0,585,2077528,1,51798,67,604,128948676,1172,1,66,29355,330281,2,17764,585,48530979,14090709,3853977920,585,618,2,1,2,1,2,2,354,1,3838747036,3793330913,206186818,294307097,294323481,2,1,12949512268,73389,73389,2,2,2,294307097,6,3,354281,10511907,2761068,62937,29289,3838747036,2014591,45767467,29559
35165.88,5,262144,64,203528,13411446506,141,0,585,2256605,1,53699,67,604,129214128,1172,1,66,30347,390477,2,17764,585,51327807,17887182,3984611644,585,618,2,1,2,1,2,2,354,1,3968770460,3923743334,224418069,304459971,304459971,2,1,13396238724,73389,73389,2,2,2,304459971,6,3,357380,12603419,2944158,69893,30281,3968770460,2186712,48381127,29559
40179.84,5,262144,64,208294,13725383794,142,0,585,2395750,1,55053,67,604,129214128,1172,1,66,31046,510280,2,17764,585,54454894,22138115,4076681727,585,618,2,1,2,1,2,2,354,1,4060389788,4015491402,308098249,311598633,311598633,2,1,13710339852,73389,73389,2,2,2,311598633,6,3,364986,14856069,3113908,78287,30980,4060389788,2317463,51338234,29559
45191.02,5,262144,64,212299,13989182734,143,0,585,2506422,1,56199,67,604,129479580,1172,1,66,31635,603076,2,17764,585,56828820,26781875,4154273003,585,618,2,1,2,1,2,2,354,1,4137591196,4092657227,406481305,317592574,317592574,2,1,13974073256,73389,73389,2,2,2,317592574,6,3,371224,17263307,3251573,82096,31569,4137591196,2424326,53573025,29559
50224.25,5,262144,64,215402,14193626882,143,0,585,2587757,1,57047,67,604,129479580,1172,1,66,32090,807683,2,17764,585,58472488,31151707,4214217493,585,618,2,1,2,1,2,2,354,1,4197228956,4152430827,426408260,322236994,322236994,2,1,14178427736,73389,73389,2,2,2,322236994,6,3,375744,19754931,3377217,85159,32024,4197228956,2502598,55090106,29559
