timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5031.03,23,262144,64,42515,2801442068,114,0,585,787771,34,8294,67,1918,124749708,1172,1,66,6693,651624,2,120564,585,9198470,13592796,872108147,585,1818,2,1,2,2,1349,1,868393372,822234670,35983320,63323977,63323977,2,1,2785534092,73389,73389,2,2,2,63307593,26,1,3,268839,10825491,1856390,30039,6627,868393372,757732,7343023,18352
10036.36,23,262144,64,86868,5724099462,122,0,585,1122924,34,20838,67,1918,126076968,1172,1,66,13209,654320,2,120564,585,19395685,14042529,1729451126,585,1818,2,1,2,2,1349,1,1722458524,1676666457,62004133,129746245,129746245,2,1,5708113884,73389,73389,2,2,2,129729861,26,1,3,292111,11587530,2105976,38286,13143,1722458524,1084638,17290943,18352
15041.66,23,262144,64,134001,8829972546,130,0,585,1478695,34,34092,67,1918,127368030,1172,1,66,20131,656745,2,120564,585,33414621,14299405,2640206261,585,1818,2,1,2,2,1349,1,2629738908,2584504299,115638791,200329605,200345989,2,1,8814502620,73389,73389,2,2,2,200329605,26,1,3,327511,12372338,2413292,46933,20065,2629738908,1431762,31002381,18352
20046.97,23,262144,64,179508,11828511870,137,0,585,1810453,34,46929,67,1918,128417772,1172,1,66,26820,660040,2,120564,585,42844042,14391624,3520306128,585,1818,2,1,2,2,1349,1,3506479516,3460984948,143889781,268478226,268494610,2,1,11813041944,73389,73389,2,2,2,268478226,26,1,3,343887,13112436,2612896,55202,26754,3506479516,1755251,40232433,18352
25051.75,23,262144,64,227415,14985133950,145,0,585,2159520,34,60422,67,1918,129745032,1172,1,66,33857,662777,2,120564,585,54333303,14470025,4446063529,585,1818,2,1,2,2,1349,1,4428702108,4383770526,170727619,340216658,340233042,2,1,14969532952,73389,73389,2,2,2,340216658,26,1,3,355043,13871355,2826244,63659,33791,4428702108,2095861,51508557,18352
30056.46,23,262144,64,280566,18487622826,154,0,585,2541631,34,75387,67,1918,131072292,1172,1,66,41667,667361,2,120564,585,65145929,14608036,5473643966,585,1818,2,1,2,2,1349,1,5452374428,5407664465,265370031,419826714,419843098,2,1,18472375416,73389,73389,2,2,2,419826714,26,1,3,363688,14684827,2987808,72978,41601,5452505500,2468676,62159712,18352
35087.70,23,262144,64,319640,21062179994,161,0,585,2875733,34,86463,67,1918,132134100,1172,1,66,47407,673123,2,120564,585,74793195,15433131,6229036390,585,1818,2,1,2,2,1349,1,6204858780,6160336409,289263966,478336398,478352782,2,1,21046801512,73389,73389,2,2,2,478336398,26,1,3,373330,15707789,3164123,81024,47341,6204858780,2794709,71630351,18352
40100.71,23,262144,64,327152,21557406398,162,0,585,3089614,34,88566,67,1918,132399552,1172,1,66,48508,721198,2,120564,585,77867168,18856068,6374015363,585,1818,2,1,2,2,1349,1,6349169052,6305073731,313122402,489601225,489601225,2,1,21542453900,73389,73389,2,2,2,489601225,26,1,3,376844,17548876,3369075,92770,48442,6349169052,2996844,74499217,18352
45123.20,23,262144,64,334528,22043189002,163,0,585,3301371,34,90633,67,1918,132399552,1172,1,66,49593,787290,2,120564,585,82945078,22586214,6516892410,585,1818,2,1,2,2,1349,1,6491382172,6447123468,374323327,500640994,500640994,2,1,22028203736,73389,73389,2,2,2,500640994,26,1,3,384565,19267709,3633226,98785,49527,6491382172,3202586,79313507,18352
50135.44,23,262144,64,353065,23264666134,166,0,585,3551640,34,95853,67,1918,132930456,1172,1,66,52315,802371,2,120564,585,88572860,25426978,6875124704,585,1818,2,1,2,2,1349,1,6848160156,6804143136,405288304,528390667,528407051,2,1,23249189348,73389,73389,2,2,2,528390667,26,1,3,396157,20802045,3831607,109616,52249,6848160156,3442024,84743449,18352
55159.44,23,262144,64,358896,23648664714,167,0,585,3705703,34,97500,67,1918,132930456,1172,1,66,53171,898994,2,120564,585,91107345,29778720,6987849385,585,1818,2,1,2,2,1349,1,6960357788,6916380280,545745719,537124610,537140994,2,1,23633482840,73389,73389,2,2,2,537124610,26,1,3,406020,23042399,4021895,114955,53105,6960357788,3590748,87085424,18352
60189.42,23,262144,64,363997,23985087466,168,0,585,3831008,34,98943,67,1918,133195908,1172,1,66,53922,984015,2,120564,585,93350827,33899563,7086766471,585,1818,2,1,2,2,1349,1,7058792860,7014752509,573455409,544775050,544775050,2,1,23969381304,73389,73389,2,2,2,544758666,26,1,3,407895,25288427,4147855,119709,53856,7058792860,3711299,89202205,18352
65207.69,23,262144,64,370648,24423356470,169,0,585,3999499,34,100812,67,1918,133461360,1172,1,66,54898,1046972,2,120564,585,96820392,38172195,7215295562,585,1818,2,1,2,2,1349,1,7186719132,7142928440,674874450,554717091,554733475,2,1,24407552004,73389,73389,2,2,2,554717091,26,1,3,412525,27314526,4336606,125017,54832,7186719132,3874482,92483433,18352
70218.03,23,262144,64,395176,26039330008,174,1,585,4284829,34,107778,67,1918,133992264,1172,1,66,58499,1065631,2,120564,585,103225746,40512634,7689164280,585,1818,2,1,2,2,1349,1,7658709404,7615262672,767566486,591454659,591471043,2,1,26024004996,73389,73389,2,2,2,591454659,26,1,3,424592,28783289,4559118,133284,58433,7658709404,4151545,98665449,18352
75255.85,23,262144,64,400264,26374635340,174,1,585,4440790,34,109166,67,1918,133992264,1172,1,66,59249,1198151,2,120564,585,105061789,44591015,7787821426,585,1818,2,1,2,2,1349,1,7756892918,7713292626,862527547,599082682,599082682,2,1,26359638008,73389,73389,2,2,2,599082682,26,1,3,426496,31156534,4683586,143426,59183,7756892918,4297364,100376924,18352
