timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
8521.56,31,0,0,6975,460057704,111,14,356,317290,41,675,0,49,11,0,74421057,707,1,48,1317,2790857,2,736890,356,2225581,12043708,167439357,356,1793,2,1,2,2,1277,1,166633884,136398425,17784291,10126139,10388283,2,1,427262264,73389,73389,2,2,2,9710506,27,1,3,34981,12045590,566351,84144,1278,166764956,233384,1658341,19903
16845.64,45,262144,64,22506,1483230492,111,14,585,1007627,41,2682,16,67,13,101420,124484256,1172,1,66,3755,6919645,2,838524,585,7668232,49127975,485727682,585,2923,2,1,2,2,1277,1,483303836,436876997,74915256,33364623,33364623,2,1,1468043412,73389,73389,2,2,2,33364623,27,1,3,117605,37949398,1561829,179892,3689,483303836,827735,6102986,35728
25126.18,45,262144,64,25524,1681814496,112,14,585,1106144,41,3561,16,67,13,101420,124484256,1172,1,66,4196,7783962,2,838524,585,8977128,56001686,543711638,585,2923,2,1,2,2,1277,1,540975516,494920361,99985111,37863746,37880130,2,1,1666004824,73389,73389,2,2,2,37863746,27,1,3,119811,42349061,1696371,185745,4130,540975516,920399,7275558,35728
31589.88,45,262144,64,27941,1841276816,112,14,585,1183172,41,4221,16,67,13,101420,124484256,1172,1,66,4553,8501539,2,838524,585,11138795,62379360,590881205,585,2923,2,1,2,2,1277,1,587899292,541529686,150491752,41492358,41508742,2,1,1825663752,73389,73389,2,2,2,41492358,27,1,3,129787,45819617,1837477,195159,4487,587899292,988013,9295563,35728
40304.51,45,262144,64,31318,2063919148,113,15,585,1289477,41,5194,16,67,13,101420,124749708,1172,1,66,5048,9021873,2,838524,585,12971740,70114685,656114627,585,2923,2,1,2,2,1277,1,652779932,606611304,197231723,46552411,46568795,2,1,2048306084,73389,73389,2,2,2,46552411,27,1,3,133229,49863013,1999398,200618,4982,652779932,1088859,10966565,35728
46270.26,45,262144,64,33776,2225802992,113,15,585,1358846,41,5867,16,67,13,101420,124749708,1172,1,66,5410,9409283,2,838524,585,14580186,76127799,703815387,585,2923,2,1,2,2,1277,1,700227996,653952808,250079276,50240526,50240526,2,1,2210583144,73389,73389,2,2,2,50240526,27,1,3,136350,53056789,2106592,204064,5345,700227996,1154782,12468861,35728
51308.47,45,262144,64,35774,2357540276,113,15,585,1416369,41,6411,16,67,13,101420,124749708,1172,1,66,5703,10051166,2,838524,585,16035314,80733611,742555267,585,2923,2,1,2,2,1277,1,738763164,692444606,301623786,53224129,53240513,2,1,2341861676,73389,73389,2,2,2,53224129,27,1,3,137629,55841316,2173912,206778,5638,738763164,1209591,13854729,35728
56838.28,45,262144,64,37768,2488749964,114,16,585,1475048,41,7011,16,67,13,101420,124749708,1172,1,66,5994,10289301,2,838524,585,17062968,85799977,780903295,585,2923,2,1,2,2,1277,1,776905116,730766762,336586673,56209891,56226275,2,1,2473235204,73389,73389,2,2,2,56209891,27,1,3,138815,58626088,2254461,211092,5929,776905116,1263956,14802164,35728
61942.80,45,262144,64,40165,2646636112,114,16,585,1542982,41,7665,16,67,13,101420,124749708,1172,1,66,6348,10785978,2,838524,585,18524510,90823848,827416453,585,2923,2,1,2,2,1277,1,823173532,776917283,409883441,59799702,59816086,2,1,2631186888,73389,73389,2,2,2,59799702,27,1,3,140066,61639661,2343478,214392,6282,823173532,1328590,16173462,35728
67182.91,45,262144,64,42897,2826742272,114,16,585,1610523,41,8409,16,67,13,101420,124749708,1172,1,66,6748,11066864,2,838524,585,19682074,95674816,880250889,585,2923,2,1,2,2,1277,1,875733404,829590414,480147233,63887066,63903450,2,1,2811030904,73389,73389,2,2,2,63887066,27,1,3,141733,64701390,2415144,217585,6683,875733404,1392938,17259530,35728
